calendar_year,month,dollars_per_gallon
1994,4,1.087
1994,5,1.082
1994,6,1.086
1994,7,1.094
1994,8,1.110
1994,9,1.102
1994,10,1.094
1994,11,1.101
1994,12,1.087
1995,1,1.074
1995,2,1.065
1995,3,1.068
1995,4,1.084
1995,5,1.101
1995,6,1.097
1995,7,1.075
1995,8,1.085
1995,9,1.099
1995,10,1.088
1995,11,1.098
1995,12,1.110
1996,1,1.119
1996,2,1.123
1996,3,1.172
1996,4,1.260
1996,5,1.247
1996,6,1.164
1996,7,1.145
1996,8,1.186
1996,9,1.249
1996,10,1.307
1996,11,1.314
1996,12,1.298
1997,1,1.267
1997,2,1.257
1997,3,1.204
1997,4,1.188
1997,5,1.189
1997,6,1.167
1997,7,1.141
1997,8,1.148
1997,9,1.132
1997,10,1.161
1997,11,1.167
1997,12,1.140
1998,1,1.086
1998,2,1.060
1998,3,1.049
1998,4,1.049
1998,5,1.048
1998,6,1.022
1998,7,1.009
1998,8,0.985
1998,9,1.009
1998,10,1.020
1998,11,1.003
1998,12,0.950
1999,1,0.944
1999,2,0.939
1999,3,0.973
1999,4,1.047
1999,5,1.047
1999,6,1.043
1999,7,1.091
1999,8,1.146
1999,9,1.204
1999,10,1.220
1999,11,1.260
1999,12,1.287
2000,1,1.324
2000,2,1.429
2000,3,1.463
2000,4,1.414
2000,5,1.426
2000,6,1.428
2000,7,1.420
2000,8,1.436
2000,9,1.610
2000,10,1.601
2000,11,1.580
2000,12,1.515
2001,1,1.501
2001,2,1.474
2001,3,1.375
2001,4,1.402
2001,5,1.537
2001,6,1.495
2001,7,1.350
2001,8,1.409
2001,9,1.555
2001,10,1.367
2001,11,1.266
2001,12,1.160
2002,1,1.128
2002,2,1.126
2002,3,1.208
2002,4,1.294
2002,5,1.287
2002,6,1.264
2002,7,1.287
2002,8,1.313
2002,9,1.400
2002,10,1.461
2002,11,1.421
2002,12,1.430
2003,1,1.473
2003,2,1.639
2003,3,1.661
2003,4,1.495
2003,5,1.436
2003,6,1.409
2003,7,1.408
2003,8,1.464
2003,9,1.450
2003,10,1.482
2003,11,1.470
2003,12,1.460
2004,1,1.520
2004,2,1.544
2004,3,1.596
2004,4,1.648
2004,5,1.677
2004,6,1.659
2004,7,1.693
2004,8,1.801
2004,9,1.889
2004,10,2.105
2004,11,2.112
2004,12,1.972
2005,1,1.930
2005,2,1.973
2005,3,2.163
2005,4,2.236
2005,5,2.138
2005,6,2.264
2005,7,2.341
2005,8,2.445
2005,9,2.753
2005,10,3.098
2005,11,2.541
2005,12,2.416
2006,1,2.425
2006,2,2.420
2006,3,2.512
2006,4,2.694
2006,5,2.845
2006,6,2.851
