irn,district,distribution,counties,amount
000125,POLLY FOX ACADEMY,2015-08,2,2094.41
000130,PHOENIX ACADEMY,2015-08,3,12011.05
000131,GLASS CITY ACADEMY INC,2015-08,3,6156.85
000138,PATHWAY SCHOOL OF DISCOVERY,2015-08,6,18530.58
000139,ALLIANCE ACADEMY,2015-08,2,12462.6
000162,NEWARK DIGITAL ACADEMY,2015-08,8,9368.94
000197,HAMILTON ALTERNATIVE ACADEMY,2015-08,1,908.2
000222,WILDWOOD ENVIRONMENTAL ACADEMY,2015-08,3,8604.89
000236,OHIO CONNECTIONS ACADEMY INC,2015-08,88,81637.61
000241,QUAKER DIGITAL ACADEMY,2015-08,45,17238.9
000282,GREATER OHIO VIRTUAL SCHOOL,2015-08,16,11249.58
000288,AUGLAIZE COUNTY EDUCATIONAL,2015-08,7,1699.52
000296,SUMMIT ACAD. COMM. SCHOOL,2015-08,2,1412.75
000297,SUMMIT ACAD. COMM. SCHOOL DAY,2015-08,4,4014.15
000298,SUMMIT ACADEMY SECONDARY,2015-08,3,1539.3
000300,SUMMIT ACAD. SEC. SCHOOL,2015-08,4,2225.34
000301,SUMMIT ACAD. SEC. SCHOOL LOR,2015-08,1,1967.45
000302,SUMMIT ACAD. COMM. SCHOOL PAR,2015-08,4,4818
000303,SUMMIT ACAD. SEC. SCHOOL,2015-08,3,6349.43
000304,SUMMIT ACAD. COMM. SCHOOL TOL,2015-08,2,3103.68
000305,SUMMIT ACAD. COMM. SCHOOL WAR,2015-08,3,2726.44
000306,SUMMIT ACAD. COMM. SCHOOL,2015-08,4,3180.2
000311,BRIDGES COMMUNITY ACADEMY,2015-08,4,3699.62
000316,CONSTELLATION SCHOOLS WESTPARK,2015-08,3,4817.9
000318,MENLO PARK ACADEMY,2015-08,9,9157.59
000319,CONSTELLATION SCH MADISON,2015-08,1,8046.58
000320,CONSTELLATION SCHOOLS LORAIN,2015-08,1,3077.29
000321,CONSTELLATION SCH OLD BROOKLYN,2015-08,2,5120.55
000338,HORIZON SCI ACADEMY,2015-08,1,14130.43
000360,MIAMISBURG SECONDARY DIGITAL,2015-08,1,1817.36
000392,MANSFIELD ENHANCEMENT ACADEMY,2015-08,1,631.24
000396,MANSFIELD ELECTIVE ACADEMY,2015-08,1,807.99
000402,FINDLAY DIGITAL ACADEMY,2015-08,1,3592.32
000417,BUCKEYE ON-LINE SCH FOR SUCCS,2015-08,63,25113.27
000420,COLUMBUS BILINGUAL ACADEMY,2015-08,1,4389.63
000442,MANCHESTER LOCAL SCHOOL DIST,2015-08,3,21086.72
000509,WHITEHALL PREPARATORY &,2015-08,1,6130.35
000510,SPRINGFIELD PREPARATORY &,2015-08,1,4038.83
000511,NORTHLAND PREPARATORY &,2015-08,1,6988.09
000525,PROJECT REBUILD COMMUNITY SCHL,2015-08,1,2023.17
