school_year,leaid,irn,name,agency_type,status
2008,3900001,071530,OHIO SCHOOL FOR THE DEAF,5,1
2008,3900002,071548,OHIO STATE SCHOOL FOR THE BLIN,5,1
2008,3900008,125252,MUSKINGUM VALLEY ESC,4,1
2008,3900009,125658,SOUTH CENTRAL OHIO ESC,4,1
2008,3900011,125674,PERRY-HOCKING ESC,4,1
2008,3900012,125682,GALLIA-VINTON ESC,4,1
2008,3900013,125690,NORTH POINT EDUCATIONAL SERVICE CENTER,4,1
2008,3900014,123281,OHIO VALLEY ESC,4,1
2008,3900015,124297,NORTHWEST OHIO ESC,4,1
2008,3900017,134072,YOUNGSTOWN COMMUNITY SCHOOL,7,1
2008,3900018,134080,EAGLE HEIGHTS ACADEMY,7,1
2008,3900019,134098,CONSTELLATION SCHOOLS:  OLD BROOKLYN COMMUNITY ELEMENTARY,7,1
2008,3900020,134106,HARMONY COMMUNITY SCHOOL,7,1
2008,3900022,134122,M.O.D.E.L. COMMUNITY SCHOOL,7,1
2008,3900023,134148,AURORA ACADEMY,7,1
2008,3900024,134171,MEADOWS CHOICE COMMUNITY,7,1
2008,3900025,134197,HOPE ACADEMY CHAPELSIDE CAMPUS,7,1
2008,3900026,134205,HOPE ACADEMY CATHEDRAL CAMPUS,7,1
2008,3900027,134213,HOPE ACADEMY UNIVERSITY,7,1
2008,3900028,134221,HOPE ACADEMY BROWN ST CAMPUS,7,1
2008,3900029,134247,CITY DAY COMMUNITY SCHOOL,7,1
2008,3900031,133512,CINCINNATI COLLEGE PREPARATORY ACADEMY,7,1
2008,3900032,133520,CITIZENS ACADEMY,7,1
2008,3900033,133538,EDGE ACADEMY  THE,7,1
2008,3900035,133553,IDA B WELLS COMMUNITY ACADEMY,7,2
2008,3900036,133561,MILLENNIUM COMMUNITY,7,1
2008,3900038,133587,SUMMIT ACADEMY COMMUNITY SCHOOL FOR ALT LEARNERS OF AKRON,7,1
2008,3900040,133629,HORIZON SCIENCE ACAD CLEVELAND,7,1
2008,3900042,133660,HORIZON SCIENCE ACADEMY COLUMBUS,7,1
2008,3900043,133678,RIVERSIDE ACADEMY,7,1
2008,3900047,133736,RICHARD ALLEN ACADEMY,7,1
2008,3900048,133744,THE ISUS INSTITUTE OF CONSTRUCTION TECHNOLOGY,7,1
2008,3900050,133801,LIFE SKILLS CTR OF YOUNGSTOWN,7,1
2008,3900051,133819,HOPE ACADEMY LINCOLN PARK,7,1
2008,3900052,133835,LIFE SKILLS CTR OF CLEVELAND,7,1
2008,3900053,133868,LIFE SKILLS CENTER OF AKRON,7,1
2008,3900056,133942,TOLEDO SCHOOL FOR THE ARTS,7,1
2008,3900057,133959,DAYTON ACADEMY  THE,7,1
2008,3900058,133967,GEORGE WASHINGTON CARVER PREPARATORY ACADEMY,7,1
