fips,state,systems,enrollment,total_revenue,federal_revenue,state_revenue,local_revenue,property_tax_revenue,parent_government_revenue,current_spending
01,Alabama,137,741082,12867858,2074025,6758890,4034943,1972890,0,10320397
02,Alaska,54,131243,2873840,604208,1585473,684159,0,579958,2765335
04,Arizona,229,884915,13954219,2502138,6553711,4898370,4040592,0,10900381
05,Arkansas,234,458186,7159266,1018163,4984733,1156370,685010,0,6224277
06,California,988,5274263,141212278,15969942,73814066,51428270,32281558,1606923,111845716
08,Colorado,178,841065,16561519,1362102,6068041,9131376,7737711,0,13364067
09,Connecticut,166,472293,13796474,1060370,4794880,7941224,0,7240681,12228805
10,Delaware,19,123393,2924927,312117,1668554,944256,832830,0,2753108
11,District of Columbia,1,50839,1926103,267152,0,1658951,0,1645176,1678831
12,Florida,67,2841039,44564274,6813900,13064188,24686186,19176817,0,36951964
13,Georgia,180,1705143,31582327,3769094,12434370,15378863,9859431,0,26942060
15,Hawaii,1,169308,4119294,541560,3515152,62582,0,0,4068232
16,Idaho,115,285690,3780574,442612,2546488,791474,503997,0,3176711
17,Illinois,849,1838674,47688298,4851736,18230942,24605620,21718165,0,39640934
18,Indiana,290,978458,17023821,1892868,9482057,5648896,4142249,0,13392949
19,Iowa,325,507866,9073173,689053,4461606,3922514,2769949,0,6964482
20,Kansas,286,482918,8926187,991937,5448866,2485384,1513250,0,7227217
21,Kentucky,171,656427,11237003,1924847,5150940,4161216,2951972,0,9683649
22,Louisiana,70,628335,12481937,2388357,4182772,5910808,2272411,0,9816617
23,Maine,219,169315,3769716,310396,1491730,1967590,969674,858632,3492943
24,Maryland,24,889728,21332571,1998512,9409515,9924544,0,9320362,18024158
25,Massachusetts,318,862765,23446374,1915425,10154668,11376281,0,8813739,22889346
26,Michigan,537,1224595,25173314,2375448,14309643,8488223,5182282,0,20239586
27,Minnesota,328,794003,16466954,1280491,10227495,4958968,3364039,0,13570236
28,Mississippi,138,432375,6608589,1497580,2956064,2154945,1720795,8272,5358091
29,Missouri,517,865208,15343750,1733636,5328194,8281920,6694326,22524,12604933
30,Montana,396,154013,2496345,431228,966215,1098902,691612,0,2089921
31,Nebraska,244,328649,5972258,603091,2024180,3344987,2733562,0,5127654
32,Nevada,17,417474,7610968,1030840,5334631,1245497,863895,0,6207207
33,New Hampshire,161,155148,4132270,333450,1140058,2658762,2053524,385085,3614286
34,New Jersey,561,1323927,41741754,2589273,19142164,20010317,16818980,1146015,37653572
35,New Mexico,89,289851,6820219,1345640,4336502,1138077,903848,0,5124868
36,New York,677,2350583,92506929,7720690,37607032,47179207,22535863,18116039,81346799
37,North Carolina,116,1396880,19911392,3459725,11365845,5085822,0,4285964,18222586
38,North Dakota,167,119016,2440708,347586,1123231,969891,629078,0,1980675
39,Ohio,655,1550261,30737703,3549640,10799253,16388810,13054118,0,25749793
40,Oklahoma,507,647207,9340242,1292868,4168915,3878459,2902535,0,7902138
41,Oregon,197,545641,11365037,1163943,5862604,4338490,3492821,0,9684521
42,Pennsylvania,497,1506485,39834850,3320248,14693373,21821229,16444528,0,32777358
44,Rhode Island,36,122128,3129876,390491,1247677,1491708,132192,1270193,2924302
45,South Carolina,70,738314,14272664,1846235,6067553,6358876,4720226,0,11140811
46,South Dakota,148,140930,2325808,451291,712527,1161990,973663,0,1837793
47,Tennessee,141,991563,15188452,2415509,6707873,6065070,83440,4495243,12949014
48,Texas,1028,5111073,82316213,10585868,29530931,42199414,35609212,0,65500746
49,Utah,41,609785,8656781,684827,4373186,3598768,2877002,0,6992187
50,Vermont,114,81265,2378025,145416,2106251,126358,955,0,2036768
51,Virginia,131,1258795,24587921,2396083,10057744,12134094,0,11325511,21612092
53,Washington,294,1086202,23484624,1854803,15412703,6217118,5181552,0,20033479
54,West Virginia,55,244054,4712584,851397,2173792,1687395,1478832,0,3816328
55,Wisconsin,421,802501,16261941,1856762,8127986,6277193,4585047,0,13208484
56,Wyoming,48,90761,2126013,329807,961660,834546,501951,0,1873779
