fips,state,systems,enrollment,total_revenue,federal_revenue,state_revenue,local_revenue,property_tax_revenue,parent_government_revenue,current_spending
01,Alabama,138,745178,10694424,1848577,5525643,3320204,1546294,0,8989322
02,Alaska,54,129944,2769880,571188,1603626,595066,0,539458,2633081
04,Arizona,222,900136,12106060,2363411,4923083,4819566,3805890,0,9464049
05,Arkansas,234,465413,6512361,1315027,4385118,812216,590458,0,5541819
06,California,991,5360701,118524451,16194904,61094839,41234708,27925732,1392673,92721182
08,Colorado,178,856067,14055040,1462768,5418401,7173871,6290696,0,11492582
09,Connecticut,166,468926,13047498,996384,4487374,7563740,0,6900118,11418307
10,Delaware,19,122734,2698023,340951,1492208,864864,792386,0,2386739
11,District of Columbia,1,48635,1597449,221113,0,1376336,0,1365273,1397560
12,Florida,67,2805486,37247849,6598372,12021492,18627985,14576140,0,31804550
13,Georgia,180,1699426,27768795,4380086,11027361,12361348,7862284,0,23089877
15,Hawaii,1,173178,3564705,517246,3019577,27882,0,0,3034178
16,Idaho,115,286544,3305980,600448,1936157,769375,600116,0,2789189
17,Illinois,848,1861261,42638354,4511844,16888295,21238215,19721163,0,34965756
18,Indiana,290,984851,15221147,1840659,8721026,4659462,3537300,0,12190696
19,Iowa,327,510661,8527200,985286,4125641,3416273,2649118,0,6456016
20,Kansas,286,484035,7774673,721740,5006565,2046368,1303305,0,6720979
21,Kentucky,171,654098,10627717,2109005,5021275,3497437,2632532,0,8951150
22,Louisiana,70,607687,10854097,1942522,3800564,5111011,1953209,0,9086529
23,Maine,208,170093,3513144,356777,1381567,1774800,895601,764259,3124724
24,Maryland,24,881064,18695976,2141011,7573912,8981053,0,8400146,15669446
25,Massachusetts,318,859323,21024424,1958927,8771577,10293920,0,7981750,20369643
26,Michigan,535,1244451,21454782,3134979,11440715,6879088,4613864,0,17758470
27,Minnesota,328,797739,14477310,1664761,8687890,4124659,3070723,0,12215736
28,Mississippi,138,438567,5733675,1333727,2508366,1891582,1602445,2062,4834618
29,Missouri,517,863316,13703581,2027125,4733562,6942894,5859187,0,11118406
30,Montana,397,148977,2351093,479140,924400,947553,642729,0,2010453
31,Nebraska,244,327055,5233001,618545,1581371,3033085,2594019,0,4512667
32,Nevada,17,430975,6200818,993423,4292613,914782,768577,0,5056203
33,New Hampshire,163,160371,3739951,321129,1067051,2351771,1825359,352803,3473637
34,New Jersey,561,1307453,38188599,2779172,16896189,18513238,15478222,1101820,34049147
35,New Mexico,89,299234,5041317,880411,3237752,923154,795606,0,3970475
36,New York,676,2372983,85446109,6174900,30778417,48492792,21436443,19297659,76053898
37,North Carolina,116,1392119,18721812,3811401,10448047,4462364,0,3935517,17182104
38,North Dakota,170,116834,2165503,374184,1054673,736646,551920,0,1798977
39,Ohio,641,1554712,27652374,3834210,9502388,14315776,12032547,0,23201068
40,Oklahoma,509,638821,8348882,1627934,3482125,3238823,2510532,0,6989102
41,Oregon,197,551275,10004889,1078522,5267069,3659298,3145026,0,8568003
42,Pennsylvania,497,1508920,36119476,3804111,12624108,19691257,15551327,0,29779031
44,Rhode Island,36,126075,2888391,331560,1133732,1423099,128011,1230244,2697909
45,South Carolina,76,736234,12532172,1911024,5422884,5198264,4064886,0,9942851
46,South Dakota,149,141021,2002129,433140,611954,957035,853496,0,1650560
47,Tennessee,140,984331,13435491,2554828,5426657,5454006,79140,4237757,11222525
48,Texas,1030,5053217,73594290,12852850,22933222,37808218,35270608,0,59394832
49,Utah,41,612933,7128679,907328,3401055,2820296,2474548,0,5906768
50,Vermont,112,83675,2091273,135091,1851169,105013,8586,0,1834786
51,Virginia,132,1249688,21214119,2546995,8128353,10538771,0,9901893,18897185
53,Washington,295,1075813,21594438,2587078,13675094,5332266,4677740,0,18232760
54,West Virginia,55,252207,3991800,732155,1882890,1376755,1260402,0,3497616
55,Wisconsin,421,818471,14742146,1633746,7376573,5731827,4463764,0,12167726
56,Wyoming,48,92756,2055688,265929,1068334,721425,536975,0,1725414
