school_year,ctpd_irn,ctpd,member,district_irn,career_technical_enrolment
2025,021357,Bedford City Comprehensive CTPD,Bedford City,043562,730
2025,200001,Apollo JVSD CTPD,Ada Exempted Village,045187,183
2025,200001,Apollo JVSD CTPD,Allen East Local,045757,315
2025,200001,Apollo JVSD CTPD,Auglaize County Educational Academy,,12
2025,200001,Apollo JVSD CTPD,Bath Local,045765,84
2025,200001,Apollo JVSD CTPD,Bluffton Exempted Village,045211,90
2025,200001,Apollo JVSD CTPD,Columbus Grove Local,049312,118
2025,200001,Apollo JVSD CTPD,Elida Local,045773,416
2025,200001,Apollo JVSD CTPD,Hardin Northern Local,047498,95
2025,200001,Apollo JVSD CTPD,Perry Local,045781,105
2025,200001,Apollo JVSD CTPD,Shawnee Local,045799,363
2025,200001,Apollo JVSD CTPD,Spencerville Local,045807,238
2025,200001,Apollo JVSD CTPD,Wapakoneta City,044982,570
2025,200002,Lima City CTPD,Heir Force Community School,,0
2025,200002,Lima City CTPD,Lima City,044222,508
2025,200002,Lima City CTPD,West Central Learning Academy II,,0
2025,200003,Heartland Technical Education Center CTPD,Ashland City,043505,468
2025,200003,Heartland Technical Education Center CTPD,Ashland County Community Academy,,5
2025,200003,Heartland Technical Education Center CTPD,Hillsdale Local,045823,195
2025,200003,Heartland Technical Education Center CTPD,Loudonville-Perrysville Exempted Village,045468,169
2025,200003,Heartland Technical Education Center CTPD,Mapleton Local,045831,277
2025,200003,Heartland Technical Education Center CTPD,West Holmes Local,047696,176
2025,200004,Ashtabula County Technical and Career Center  CTPD,Ashtabula Area City,043513,329
2025,200004,Ashtabula County Technical and Career Center  CTPD,Buckeye Local,045856,373
2025,200004,Ashtabula County Technical and Career Center  CTPD,Conneaut Area City,043810,228
2025,200004,Ashtabula County Technical and Career Center  CTPD,Geneva Area City,044057,480
2025,200004,Ashtabula County Technical and Career Center  CTPD,Grand Valley Local,045864,349
2025,200004,Ashtabula County Technical and Career Center  CTPD,Jefferson Area Local,045872,154
2025,200004,Ashtabula County Technical and Career Center  CTPD,Pymatuning Valley Local School District,045880,401
2025,200005,Tri-County JVSD CTPD,Alexander Local,045906,406
2025,200005,Tri-County JVSD CTPD,Athens City School District,043521,399
2025,200005,Tri-County JVSD CTPD,Federal Hocking Local,045914,127
2025,200005,Tri-County JVSD CTPD,Logan-Hocking Local,044248,992
2025,200005,Tri-County JVSD CTPD,Nelsonville-York City,044446,191
2025,200005,Tri-County JVSD CTPD,New Lexington School District,044479,631
2025,200005,Tri-County JVSD CTPD,Southeast Ohio Classical Academy,,0
2025,200005,Tri-County JVSD CTPD,Southern Local,049064,123
2025,200005,Tri-County JVSD CTPD,Trimble Local,045922,40
2025,200006,Belmont-Harrison Area JVSD CTPD,Barnesville Exempted Village,045203,495
2025,200006,Belmont-Harrison Area JVSD CTPD,Bellaire Local,043570,49
2025,200006,Belmont-Harrison Area JVSD CTPD,Bridgeport Exempted Village,045237,297
2025,200006,Belmont-Harrison Area JVSD CTPD,Harrison Hills City,045245,230
2025,200006,Belmont-Harrison Area JVSD CTPD,Lakeland Academy Community School,,2
2025,200006,Belmont-Harrison Area JVSD CTPD,Martins Ferry City,044347,324
2025,200006,Belmont-Harrison Area JVSD CTPD,Shadyside Local,046003,198
2025,200006,Belmont-Harrison Area JVSD CTPD,St Clairsville-Richland City,045997,508
2025,200006,Belmont-Harrison Area JVSD CTPD,Union Local,046011,532
2025,200007,Southern Hills JVSD CTPD,Bright Local,047613,203
2025,200007,Southern Hills JVSD CTPD,Eastern Local School District,046037,327
2025,200007,Southern Hills JVSD CTPD,Fayetteville-Perry Local,046045,249
2025,200007,Southern Hills JVSD CTPD,Georgetown Exempted Village,045377,413
2025,200007,Southern Hills JVSD CTPD,Ripley-Union-Lewis-Huntington Local,046078,242
2025,200007,Southern Hills JVSD CTPD,Western Brown Local,046060,805
2025,200008,Butler County JVSD CTPD,Edgewood City School District,046094,1066
2025,200008,Butler County JVSD CTPD,Fairfield City,046102,2298
2025,200008,Butler County JVSD CTPD,Fairfield Preparatory Academy,,0
2025,200008,Butler County JVSD CTPD,Hamilton City,044107,1274
2025,200008,Butler County JVSD CTPD,Lakota Local,046110,3627
2025,200008,Butler County JVSD CTPD,Madison Local,046128,341
2025,200008,Butler County JVSD CTPD,Marshall High School,,0
2025,200008,Butler County JVSD CTPD,Middletown City,044404,1418
2025,200008,Butler County JVSD CTPD,Middletown Preparatory & Fitness Academy,,0
2025,200008,Butler County JVSD CTPD,Monroe Local,139303,590
2025,200008,Butler County JVSD CTPD,New Miami Local,046136,35
2025,200008,Butler County JVSD CTPD,Northwest Local,047365,2422
2025,200008,Butler County JVSD CTPD,Ross Local,046144,749
2025,200008,Butler County JVSD CTPD,Summit Academy Secondary School - Middletown,,0
2025,200008,Butler County JVSD CTPD,Summit Acdy Comm Schl for Alternative Learners of Middletown,,0
2025,200008,Butler County JVSD CTPD,Talawanda City,046151,348
2025,200011,Springfield-Clark County JVSD CTPD,Buckeye Community School - Springfield,,1
2025,200011,Springfield-Clark County JVSD CTPD,Clark-Shawnee Local,046284,227
2025,200011,Springfield-Clark County JVSD CTPD,Cliff Park High School,,0
2025,200011,Springfield-Clark County JVSD CTPD,Global Impact STEM Academy,,697
2025,200011,Springfield-Clark County JVSD CTPD,Greenon Local,046235,477
2025,200011,Springfield-Clark County JVSD CTPD,Northeastern Local,046250,441
2025,200011,Springfield-Clark County JVSD CTPD,Northwestern Local,046268,404
2025,200011,Springfield-Clark County JVSD CTPD,Southeastern Local,046276,173
2025,200011,Springfield-Clark County JVSD CTPD,Springfield City School District,044818,150
2025,200011,Springfield-Clark County JVSD CTPD,Springfield Preparatory and Fitness Academy,,0
2025,200011,Springfield-Clark County JVSD CTPD,Springfield Sports Academy,,0
2025,200011,Springfield-Clark County JVSD CTPD,Tecumseh Local,046243,483
2025,200012,U S Grant JVSD CTPD,Bethel-Tate Local,046318,368
2025,200012,U S Grant JVSD CTPD,Felicity-Franklin Local,046334,229
2025,200012,U S Grant JVSD CTPD,New Richmond Exempted Village,045559,388
2025,200012,U S Grant JVSD CTPD,New Richmond Preparatory Academy,,0
2025,200012,U S Grant JVSD CTPD,Williamsburg Local,046367,240
2025,200015,Columbiana County JVSD CTPD,Beaver Local,046425,94
2025,200015,Columbiana County JVSD CTPD,Columbiana Exempted Village,045328,30
2025,200015,Columbiana County JVSD CTPD,Crestview Local,046433,56
