irn,district,enrolled_adm_fy24,econ_disadvantaged_pct_fy24,assessed_valuation_per_pupil_fy23,current_operating_millage_ty23,effective_class1_millage_ty23,operating_expenditure_per_pupil_fy24,state_revenue_per_pupil_fy24,local_revenue_per_pupil_fy24
045187,Ada Exempted Village (045187) - Hardin County,847.823,0.5022,172358.0613,36.7998,20,15209.1542,8971.8518,5987.9015
061903,Adams County Ohio Valley Local (061903) - Adams County,3273.8026,0.658,161566.7753,24.5,20,17725.1031,10310.0307,3038.9922
049494,Adena Local (049494) - Ross County,1067.8596,0.5376,195890.3722,33.8,20,13137.8363,8846.1807,3738.1008
043489,Akron City (043489) - Summit County,19094.5748,1,182655.7237,76,34.4133,23093.1965,10452.2292,6477.1963
045906,Alexander Local (045906) - Athens County,1400.5706,0.4715,248565.1742,33.7,20,15049.242,7593.8442,6916.1445
045757,Allen East Local (045757) - Allen County,1003.5369,0.412,160667.9792,29.188,22.0926,11506.6218,8002.0165,3137.4618
043497,Alliance City (043497) - Stark County,2592.6485,1,123152.0518,53.3,26.4,18565.2655,10680.6235,3014.5717
046847,Amanda-Clearcreek Local (046847) - Fairfield County,1453.2647,0.4201,214548.8101,34.9999,20.0195,15800.2705,7722.4809,7076.0461
045195,Amherst Exempted Village (045195) - Lorain County,3493.8542,0.34,208465.0422,65.58,28.5821,12584.1391,4753.5913,5295.9518
049759,Anna Local (049759) - Shelby County,1081.9378,0.2002,228524.321,28.1999,20,13464.5737,7163.8232,7411.6695
046623,Ansonia Local (046623) - Darke County,690.5768,0.4065,170997.395,32.2999,20,15715.3211,9995.764,4872.6316
048207,Anthony Wayne Local (048207) - Lucas County,3932.1055,0.1695,346979.9712,65.95,24.3425,13893.2091,2874.0247,8432.9149
048991,Antwerp Local (048991) - Paulding County,596.1966,0.3623,177051.3218,37.6,20,17257.2614,9763.9371,5637.9847
047415,Arcadia Local (047415) - Hancock County,581.5033,0.4195,344846.3414,27.0998,24.1968,14586.6128,6843.6388,9201.6045
046631,Arcanum-Butler Local (046631) - Darke County,1049.4693,0.3471,188395.0927,23.6,20,13219.1907,8007.6884,5496.2748
047043,Archbold-Area Local (047043) - Fulton County,1134.9384,0.2744,301880.1728,46.86,31.71,13693.1082,5228.4206,7989.846
047423,Arlington Local (047423) - Hancock County,598.7093,0.2839,198549.135,30.9299,20,13467.7092,9031.9068,7248.0397
043505,Ashland City (043505) - Ashland County,2901.7068,0.4152,273524.2603,61,22.0227,13057.9553,5488.133,6727.7745
043513,Ashtabula Area City (043513) - Ashtabula County,2698.2555,1,218189.5446,40.3,20,16742.6186,10270.0159,4344.3369
043521,Athens City School District (043521) - Athens County,2233.8287,0.4709,346925.8336,51.82,24.84,17499.6754,5315.1759,10593.1805
049171,Aurora City (049171) - Portage County,2819.3417,0.107,321223.3814,87.18,44.4107,17488.8286,3093.5487,12018.1636
048298,Austintown Local Schools (048298) - Mahoning County,4109.7154,0.6434,226245.1679,54.6,20.6747,12896.3535,6869.6296,4674.9903
048124,Avon Lake City (048124) - Lorain County,3296.3372,0.1422,359299.2577,62.324,33.064,15923.4867,2527.5991,10584.269
048116,Avon Local (048116) - Lorain County,4133.7908,0.1415,274424.5956,52.118,35.018,12848.3239,2769.8877,8313.9397
046706,Ayersville Local (046706) - Defiance County,662.17,0.1743,198449.3342,41.1799,20,14193.6139,9249.5859,6087.5853
043539,Barberton City (043539) - Summit County,3228.3032,0.7684,166560.4916,56.6,33.51,18437.4002,9798.7448,4549.2317
045203,Barnesville Exempted Village (045203) - Belmont County,1229.0851,0.5169,210298.617,39.2,20.0149,14792.7074,6869.4255,4502.5751
046300,Batavia Local (046300) - Clermont County,2288.5314,0.4881,170137.5235,52.35,20,11339.2309,6816.4877,4404.0178
045765,Bath Local (045765) - Allen County,1603.6758,0.4766,208222.5311,30.157,30.157,12977.4531,5894.6456,5831.7821
043547,Bay Village City (043547) - Cuyahoga County,2318.8431,0.1021,324041.8723,125.0099,47.9061,17729.098,3699.9488,14193.9005
043554,Beachwood City (043554) - Cuyahoga County,1365.5798,0.2306,649467.7717,85.2,34.4244,28244.3249,2329.6109,21225.9118
046425,Beaver Local (046425) - Columbiana County,1679.9952,0.5133,224986.3363,28.91,23.31,12168.9458,6957.204,5021.1039
047241,Beavercreek City (047241) - Greene County,7527.1837,0.2104,359082.0309,46.1,35.3,14200.2153,2743.385,10877.858
043562,Bedford City (043562) - Cuyahoga County,2633.9287,0.7998,325011.5205,74.72,36.1986,26189.7005,5397.8517,13156.561
043570,Bellaire Local (043570) - Belmont County,1084.8568,0.7107,314196.0335,29.5,22,15511.3158,8689.9969,6780.0828
047274,Bellbrook-Sugarcreek Local (047274) - Greene County,2559.0618,0.1895,343386.2778,62.97,30.0002,13451.4982,3429.8707,9420.8526
043588,Bellefontaine City (043588) - Logan County,2117.3309,0.5739,184374.5577,51.68,27.45,14531.311,7515.5966,4786.6117
043596,Bellevue City (043596) - Huron County,1706.1468,0.4747,223220.5606,34.0999,26.4,13618.514,6571.9853,6372.8382
043604,Belpre City (043604) - Washington County,892.9651,0.5873,290542.0091,39.954,29.0878,14937.9177,7843.3617,8396.3312
048074,Benjamin Logan Local (048074) - Logan County,1603.7671,0.3474,319439.0603,32.1999,23,12947.1227,5224.1208,7371.2103
048926,Benton Carroll Salem Local (048926) - Ottawa County,1264.3139,0.3733,304685.604,40.43,27.8,16678.3046,7241.4289,9672.5781
043612,Berea City (043612) - Cuyahoga County,4946.3534,0.4455,341626.2261,76.1,33.9298,17496.5662,3531.8557,11729.2772
