irn,district,county,typology,enrollment_2013,median_income_2013,student_poverty_2013,pct_minority_2013
064964,College Corner Local,Preble,0,88,,,0.02
046797,Kelleys Island Local,Erie,0,,,,0
048959,Middle Bass Local,Ottawa,0,,,,
048967,North Bass Local,Ottawa,0,,,,
048975,Put-In-Bay Local,Ottawa,0,71,,,0
061903,Adams County/Ohio Valley Local,Adams,1,3962.1629892650699,25268,0.64309816820562504,1.9288674068250078E-2
000442,Manchester Local (Adams),Adams,1,842.09621085324795,22901,0.73242766382938296,3.083414648400563E-2
045468,Loudonville-Perrysville Exempted Village,Ashland,1,1185.6968920212801,27227,0.45523120033927,2.656156803109317E-2
045880,Pymatuning Valley Local,Ashtabula,1,1370.4042737366799,26857,0.55211505596815402,3.5723853287557721E-2
045864,Grand Valley Local,Ashtabula,1,1431.91240474493,29251,0.49067512868803198,4.78865547503739E-2
045914,Federal Hocking Local,Athens,1,1057.52081715601,27767,0.64424280699178205,7.9765468433036502E-2
045922,Trimble Local,Athens,1,870.58260159582505,25599,0.63838136391564904,1.5722645096037602E-2
044446,Nelsonville-York City,Athens,1,1287.0555428571399,22857,0.61267019578508997,3.1103463977489802E-2
044982,Wapakoneta City,Auglaize,1,3027.4227110659799,31317,0.41428915112959502,2.7630208704302012E-2
045203,Barnesville Exempted Village,Belmont,1,1131.9281193412701,26921,0.41606037367062698,2.5587976317561351E-2
046011,Union Local,Belmont,1,1535.78086911643,29787,0.41580438485617499,1.5707949148428699E-2
045377,Georgetown Exempted Village,Brown,1,1064.43755063766,27067,0.46332066985451997,3.3966404377044762E-2
046078,Ripley-Union-Lewis-Huntington Local,Brown,1,1123.8744970206801,25858,0.53825642253538397,7.8667544450380295E-2
046060,Western Brown Local,Brown,1,3337.88055513879,29608,0.49994287200561699,1.2340521062956791E-2
046136,New Miami Local,Butler,1,770.28468072084297,24031,0.783955457516887,9.9986072879366047E-2
046128,Madison Local (Butler),Butler,1,1568.2537977296199,35097,0.27738957529179298,4.172828194673979E-2
045278,Carrollton Exempted Village,Carroll,1,2386.94625956236,29935,0.46998527340379198,1.8748395187125347E-2
046177,Brown Local,Carroll,1,687.51611003906999,30395,0.49501679177997199,4.3444665672063773E-2
046193,Graham Local,Champaign,1,2303.4922794437498,34364,0.30787842793578402,3.2123202513534024E-2
046318,Bethel-Tate Local,Clermont,1,1872.87981613749,31695,0.43422013110859298,3.3168540298162998E-2
046334,Felicity-Franklin Local,Clermont,1,1034.24096028342,29171,0.53663655202562999,4.6358423411969482E-2
046367,Williamsburg Local,Clermont,1,1043.2692174958499,31580,0.40207289512646999,3.2274587589158729E-2
046383,Blanchester Local,Clinton,1,1690.4215762537301,29967,0.457122442886153,3.4517138770993973E-2
045450,Lisbon Exempted Village,Columbiana,1,1004.9128550543001,27255,0.53859996817015998,1.7103109405437199E-2
045443,Leetonia Exempted Village,Columbiana,1,732.10162273629999,27944,0.47215742721760101,3.0414103655551989E-2
046441,Southern Local (Columbiana),Columbiana,1,909.86240909938499,29004,0.55823723462459096,3.4268028264083768E-2
043927,East Palestine City,Columbiana,1,1264.7457952638399,28743,0.51244662314118805,2.6055695882886219E-2
046425,Beaver Local,Columbiana,1,2063.67961588663,30554,0.45548140894205402,2.4083349277745358E-2
046474,Ridgewood Local,Coshocton,1,1343.7007272727301,28654,0.51700525924932506,2.230286552289263E-2
046482,River View Local,Coshocton,1,2163.6146793694202,29811,0.46887294219402198,2.6556225905975651E-2
046516,Colonel Crawford Local,Crawford,1,936.413341512888,32226,0.33860097443703402,1.7827621893484059E-2
046524,Wynford Local,Crawford,1,1132.94230997405,31377,0.40010589304251198,5.0372025071622126E-2
