ranking_year,rank,lea_irn,lea_name,building_irn,building_name,building_org_type,performance_index
2023,1069,045187,Ada Exempted Village,000059,Ada Elementary School,Public School,91.243
2023,974,045187,Ada Exempted Village,000067,Ada High School,Public School,92.355
2023,2568,044743,Sandusky City,000083,Sandusky Middle School,Public School,63.352
2023,2073,048520,Meigs Local,000102,Meigs Primary School,Public School,78.416
2023,2404,048520,Meigs Local,000105,Meigs Intermediate School,Public School,69.615
2023,1363,048876,Tri-Valley Local,000117,Adamsville Elementary School,Public School,87.901
2023,1642,046953,Hamilton Local,000118,Hamilton Intermediate School,Public School,84.762
2023,1942,047761,Oak Hill Union Local,000119,Oak Hill Middle/High School,Public School,80.829
2023,831,047761,Oak Hill Union Local,000124,Oak Hill Elementary,Public School,94.054
2023,1573,046250,Northeastern Local,000137,Northridge Middle School,Public School,85.484
2023,1296,065680,Gallia County Local,000141,Addaville Elementary School,Public School,88.696
2023,950,047936,Fairland Local,000177,Fairland West Elementary School,Public School,92.617
2023,1278,047829,Centerburg Local,000187,Centerburg Middle School,Public School,88.926
2023,1627,047787,Buckeye Local,000190,Buckeye West Elementary School,Public School,84.979
2023,2216,049494,Adena Local,000208,Adena High School,Public School,75.337
2023,1079,049536,Union-Scioto Local,000231,Unioto Elementary,Public School,91.14
2023,837,044792,South Euclid-Lyndhurst City,000232,Adrian Elementary School,Public School,93.952
2023,2600,044909,Toledo City,000234,Ella P. Stewart Academy for Girls,Public School,61.593
2023,816,050336,North Union Local School District,000242,North Union Elementary School,Public School,94.291
2023,1535,045906,Alexander Local,000257,Alexander Elementary School,Public School,85.9
2023,263,044545,North Royalton City,000265,North Royalton Elementary School,Public School,103.121
2023,1487,044560,Norwalk City,000270,Main Street School,Public School,86.473
2023,1905,046177,Brown Local,000291,Malvern Middle School,Public School,81.433
2023,1604,045906,Alexander Local,000315,Alexander Jr. / Sr. High School,Public School,85.269
2023,705,050682,Elmwood Local,000345,Elmwood Elementary School,Public School,95.71
2023,2704,044263,Lorain City,000348,Palm Elementary School,Public School,55.594
