irn,district,unweighted_adm_fy25,operating_expenditure_per_pupil_fy25,instruction_per_pupil,pupil_support_per_pupil,instructional_staff_support_per_pupil,classroom_instruction_per_pupil,general_admin_per_pupil,school_admin_per_pupil,operations_maintenance_per_pupil,pupil_transportation_per_pupil,other_support_per_pupil,food_service_per_pupil,nonclassroom_per_pupil
000442,Manchester Local,667.9763,17868.14,10486.57,1049.51,139.07,11675.14,613.03,1041.62,1817.19,1083.84,863.48,773.84,6193
043489,Akron City,19737.4703,20459.69,10965.22,1484.01,1051.01,13500.24,363.02,1515.35,2110.3,892.56,1230.77,847.46,6959.45
043497,Alliance City,2878.0025,17143.14,9526.62,1227.69,590.96,11345.27,452.31,1142.98,2083.67,613,651.01,854.92,5797.88
043505,Ashland City,2895.6297,13485.61,7950.94,989.51,602.38,9542.83,293.77,893.5,850.05,527.34,844.08,534.04,3942.78
043513,Ashtabula Area City,2598.745,18415.77,8280.76,1326.12,721.52,10328.4,227.32,818.19,3325.77,1700.65,1066.46,948.98,8087.37
043521,Athens City School District,2214.7097,19648.92,12841.12,1494.31,422.98,14758.41,544.22,999.61,1509.97,839.72,420.14,576.84,4890.51
043539,Barberton City,3253.6324,19000.87,11618.12,1301.75,432.35,13352.22,528.31,933.61,1622.37,915.69,849.78,798.88,5648.64
043547,Bay Village City,2327.1006,17820.1,10513.3,1499.25,774.35,12786.9,510.84,1103.09,1644.59,442.88,850.51,481.28,5033.19
043554,Beachwood City,1525.2086,26252.73,14402.95,1779.74,1187.5,17370.19,1063.55,1131.74,2939.59,1860.6,1369.06,518,8882.54
043562,Bedford City,2847.4075,22355.5,11708.23,1693.79,485.58,13887.6,923.75,1332.03,2117.32,1267.13,2129.78,697.88,8467.9
043570,Bellaire Local,1162.5512,15474.93,8372.54,866.91,286.43,9525.88,600.95,875.86,2160.68,961.13,699.23,651.2,5949.05
043588,Bellefontaine City,2163.7995,13718.68,7891.63,1069.14,208.21,9168.98,532.41,927.44,1267.07,507.92,773.02,541.84,4549.69
043596,Bellevue City,1664.9971,14760.09,7952.2,1542.63,707.42,10202.25,368.02,806.55,1586.46,818.83,304.15,673.83,4557.84
043604,Belpre City,870.4516,16153.93,9643.49,758.34,839.42,11241.24,705.87,908.4,1287.77,687.36,720.19,603.11,4912.69
043612,Berea City,5049.8626,17134.18,10019.94,1261.92,569.24,11851.1,370.14,869.66,1418.95,1154.24,990.57,479.53,5283.09
043620,Bexley City,2481.9122,21025.56,12925.87,1413.67,912.64,15252.18,605.77,982.79,2079.04,550.19,1062.77,492.84,5773.39
043638,Bowling Green City School District,2454.6101,16821.75,10282.63,1186.9,654.1,12123.63,497.07,716.16,1687.83,549.21,744.82,503.03,4698.12
043646,Brecksville-Broadview Heights City,3597.4444,16298.9,10033.32,1014.26,560.3,11607.88,421.43,676.25,1262.45,1125.76,788.99,416.14,4691.02
043653,Brooklyn City,1027.6706,20957.63,12369.27,1405.42,355.28,14129.96,963.1,839.84,2629.18,659.99,1351.79,383.76,6827.67
043661,Brunswick City,5727.3576,15657.84,8903.49,1958.77,347.67,11209.93,242.94,931.46,1349.5,929.48,571.97,422.56,4447.91
043679,Bryan City,1734.4834,15513.87,9595.56,1101.44,543.87,11240.87,571.74,509.1,1075.28,650.1,783.51,683.27,4273
043687,Bucyrus City,1003.9477,17980.25,10048.36,826.01,347.03,11221.41,556.25,1620.4,2176.05,230.98,1831.45,343.71,6758.85
043695,Cambridge City,1790.3061,15678.8,8440.01,1564.33,241.87,10246.21,450.3,1187.53,1642.11,646.46,846.16,660.03,5432.59
043703,Campbell City,1032.9556,19762.08,10996.72,804.75,356.78,12158.25,759.52,1306.2,3080.08,476.13,971.01,1010.88,7603.83
043711,Canton City,7351.8676,21314.9,10750.81,1985.96,1409.34,14146.11,375.13,1510.74,2141.19,982.73,1127.68,1031.33,7168.79
043729,Celina City,2576.3602,14392.55,8742.08,1112.96,426.7,10281.74,514.1,721.92,1124.79,641.82,546.43,561.76,4110.81
043737,Centerville City,7958.1639,16171.31,9442.72,2000.55,291.77,11735.04,326.67,1013.13,1212.06,976.96,452.08,455.36,4436.27
043745,Chillicothe City,2453.2239,16678.9,9720.68,1216.23,279.83,11216.75,559.47,1007.06,1710.91,665.85,638.18,880.68,5462.15
043752,Cincinnati Public Schools,34389.6885,20295.7,10578.57,1753.25,1026.78,13358.6,388.91,944.79,2059.93,1376.24,1366.46,800.76,6937.09
043760,Circleville City,2032.6849,15931.8,8658.35,866.27,1450.23,10974.84,714.94,731.6,1244.57,907.37,652.57,705.91,4956.96
043778,Claymont City,1503.9459,16220.56,9942.36,1072.67,307.74,11322.77,499.38,865.79,1893.01,576.09,359.93,703.58,4897.79
043786,Cleveland Municipal,33398.8674,24296.87,13325.77,1722.67,611.64,15660.07,677.13,1366.7,2759.59,1239.56,1887.4,706.43,8636.8
043794,Cleveland Heights-University Heights City,4863.3068,26608.95,13735.27,2235.47,1109.48,17080.23,867.87,1375.07,3438.69,1185.46,1998.07,663.56,9528.72
043802,Columbus City Schools District,46052.4116,24505.17,10835.73,2627.89,1213.24,14676.86,432.32,1439.2,3794.17,1631.66,1750.85,780.11,9828.31
043810,Conneaut Area City,1558.905,15692.91,8527.77,1110.65,253.65,9892.07,527.56,1014.9,1890.66,893.17,832.6,641.95,5800.84
043828,Coshocton City,1469.3198,16914.83,10090.01,988.07,441.77,11519.85,723.12,1221.68,1557.77,415.66,706.32,770.43,5394.98
043836,Cuyahoga Falls City School District,3707.6581,18046.22,11108.2,1317.05,541.56,12966.8,576.42,1101.91,1450.49,510.52,820.1,619.98,5079.42
043844,Dayton City,12771.038,21777.34,10332.91,1757.72,698.47,12789.09,526.54,1004.74,3233.56,1596.95,1760.43,866.02,8988.24
043851,Deer Park Community City,1044.2217,20284.59,12249.51,1263.32,621.71,14134.53,1182.1,958.03,1887.39,490.58,1161.6,470.37,6150.06
043869,Defiance City,2317.3666,14858.99,9276.06,1018.26,495.74,10790.06,380.97,634.55,1473.81,510.45,426.62,642.53,4068.93
043877,Delaware City,5429.5485,15727.3,9619.95,1179.02,411.12,11210.09,396.56,1078.83,1201.03,858.67,585.23,396.9,4517.21
043885,Delphos City,897.8545,13732.65,7771.25,925.38,286.2,8982.83,475.66,697.65,1697.69,580.69,663.18,634.95,4749.81
043893,Dover City,2576.2033,12542.55,7835.69,692.55,342.2,8870.44,373.27,617.69,1546.42,378.03,289.84,466.86,3672.1
043901,East Cleveland City School District,1158.765,38140.32,15721.65,2861.97,2070.01,20653.64,2268.87,2590.71,6034.01,1266.43,4368.96,957.7,17486.69
043919,East Liverpool City,1941.5419,17253.25,10561.9,1124.64,387.73,12074.27,374,698.51,2099.7,730.38,490.18,786.21,5178.98
043927,East Palestine City,932.0396,15061.91,8325.96,902.83,777.51,10006.29,567.19,966.01,1537.85,793.95,533.03,657.58,5055.61
043935,Eaton Community City,1717.4299,16750.41,9437.33,1200.02,255.37,10892.72,571.36,1196.22,1788.9,912.96,844.66,543.59,5857.68
043943,Elyria City Schools,5649.0408,15729.06,8813.31,1178.04,373.1,10364.45,389.14,862.44,1524.77,1129.22,687.59,771.44,5364.61
043950,Euclid City,4307.8315,23256.66,11538.43,2497.79,1148.88,15185.1,467.27,1524.1,2442.18,1550.82,1338.36,748.85,8071.57
043968,Fairborn City,4203.6116,15245.11,8941.32,1218.17,410.31,10569.8,327.41,794.34,1248.9,903.58,783.34,617.74,4675.31
043976,Fairview Park City,1389.5174,18814.63,11501.55,1278.86,625.59,13406,328.69,1067.44,1947.4,658.57,1020.76,385.77,5408.63
043984,Findlay City,5222.1877,14739.68,9665.35,984.99,437.13,11087.47,409.59,695.71,1260.32,521.59,284.42,480.58,3652.21
043992,Fostoria City,1717.3241,15044.54,7976.57,1152.27,1198.07,10326.92,657.87,795.06,1389.32,536.2,591.43,747.73,4717.62
044008,Franklin City,2548.4532,16793.29,9573.78,1736.73,519.31,11829.82,403.72,808.91,1409.9,919.73,840.24,580.96,4963.47
044016,Fremont City,3116.7944,15955.55,8902.83,1091.04,436.32,10430.19,335.14,1064.89,1965.76,741.44,795.48,622.65,5525.36
044024,Galion City,1548.5461,15685.38,8998.26,1198.33,368.76,10565.35,577.51,927.68,1365.55,747.27,666.68,835.33,5120.02
044032,Gallipolis City,1797.2589,15909.72,7924.72,1066.43,573,9564.15,350.99,718.19,3421.82,797.72,391.16,665.7,6345.57
044040,Garfield Heights City Schools,2564.7872,21437.81,10658.57,1697.39,823.92,13179.87,801.7,2127.72,2828.36,811.84,998.43,689.89,8257.93
044057,Geneva Area City,1922.4211,15813.28,8870.07,997.68,247.7,10115.46,737.13,872.44,2220.81,664.74,525.12,677.58,5697.81
044065,Girard City School District,1478.803,16742.36,10691.41,1223.66,364.31,12279.37,907.03,782.62,1443.44,447.31,268.33,614.26,4462.98
044073,Grandview Heights Schools,1124.9078,21567.26,12729.29,1667.89,1756.25,16153.43,983.2,1009.31,1688.75,28.49,1122.79,581.28,5413.83
044081,Winton Woods City,3975.2819,16655.97,9216.4,1127.79,1116.16,11460.35,398.24,1074.63,1247.67,941.64,781.59,751.84,5195.62
044099,Greenville City,2223.7509,15461.53,9762.42,821.27,401.87,10985.56,320.79,1401.99,1225.38,592.46,462.42,472.93,4475.97
044107,Hamilton City,8682.5236,15153.27,8700.54,1190.79,402.94,10294.27,356.17,955.22,1523.21,977.66,334.64,712.11,4859
044115,Heath City,1527.0804,15907.16,8787.91,800.58,529.79,10118.28,885.34,1077.49,1307.63,656.66,970.93,890.84,5788.88
044123,Hillsboro City,2099.8865,16816.45,8937.03,1023.7,515.38,10476.11,382.58,2236.91,1267.49,1086.5,531.44,835.42,6340.34
044131,Huron City Schools,1131.4753,14643.54,8599.31,989.39,245.98,9834.68,733.29,806.36,1430.82,624.98,682.95,530.46,4808.86
044149,Ironton City School District,1226.2252,16843.11,8245.96,742.51,442.42,9430.89,994.55,832.61,3544.44,489.59,895.01,656.02,7412.23
044156,Jackson City,2154.1049,15981.53,10032.39,562.17,545,11139.56,420.2,952.73,1447.34,852.75,401.94,767.02,4841.97
044164,Kent City,3024.5053,19667.87,12432.9,1580.5,732.87,14746.27,541.75,909.9,1778.25,651.56,615.79,424.34,4921.6
044172,Kenton City,1754.1644,15586.54,9081.5,945.1,248,10274.6,358.32,843.21,1369.7,630.1,1385.18,725.43,5311.94
044180,Kettering City School District,7565.0557,17538.83,10590.53,1519.61,600.14,12710.28,495.82,779.77,1531.12,724.66,708.43,588.75,4828.54
044198,Lakewood City,4314.4836,20822.29,13615.33,1365.34,929.42,15910.09,348.93,1022.94,2281.05,23.82,834.18,401.28,4912.2
044206,Lancaster City,6075.0313,16179.13,9156.27,1600.76,667.5,11424.52,637.16,863.23,1367.36,585.63,632.06,669.17,4754.61
044214,Lebanon City,4836.5988,15232.94,8899.79,1207.89,548.64,10656.32,353.37,646.65,1231.72,1321.53,536.33,487.03,4576.62
044222,Lima City,3356.9946,19241.01,9597.88,1442.94,1648.96,12689.77,445.76,1250.39,2905.99,391.66,500.96,1056.48,6551.24
044230,Lockland Local,410.7395,23647.81,9690.3,2964.75,390.91,13045.96,2864.6,1362.37,2854.8,1563.34,1945.22,11.51,10601.84
044248,Logan-Hocking Local,3350.4098,17695.26,10495.63,1308.75,702.22,12506.61,478.33,817.23,1554.49,1082.59,514.23,741.77,5188.66
044255,London City,2033.6327,13750.84,7813.96,946.17,292.78,9052.91,507.55,670.32,1798.09,502.13,677.23,542.61,4697.92
044263,Lorain City,6069.8863,19886.74,11398.87,1407.48,618.65,13425,820.3,1138.4,1954.01,886.36,822.62,840.05,6461.74
044271,Loveland City,3935.0292,15678.91,9682.7,1199.18,450.89,11332.76,183.09,918.21,1238.15,854.21,843.01,309.48,4346.14
044289,Madeira City,1738.4913,15215.45,9582.41,949.13,521.65,11053.18,290.69,1128.63,1337.99,856.61,548.34,0,4162.27
044297,Mansfield City,2939.721,22066.94,11872.75,2082.14,294.54,14249.43,808.29,1157.59,2194.35,1009.69,1766.55,881.04,7817.5
044305,Maple Heights City,2886.5278,20337.84,10362.57,1106.49,812.28,12281.34,523.11,1382.81,2900.6,1067.9,1234.3,947.78,8056.5
044313,Mariemont City,1497.3128,19377.41,11207.41,1249.93,823.45,13280.79,710.15,1399.29,2228.65,800.6,702.95,254.99,6096.62
044321,Marietta City,2034.1184,15494.74,7748.08,875.36,1113.7,9737.14,520.19,712.32,2490.27,829.65,679.47,525.71,5757.6
044339,Marion City,3979.9947,18046.49,9620.02,1755.59,629.86,12005.47,534.71,1137.05,2167.79,621.8,659.8,919.86,6041.02
044347,Martins Ferry City,1261.5914,17301.95,10917.05,854.6,361.12,12132.77,722.69,1117.5,1445.52,639.82,653.44,590.22,5169.18
044354,Massillon City,4059.012,14009.69,8375.87,1244.94,351.96,9972.78,361.27,598.04,1442.04,565.93,513.45,556.17,4036.91
044362,Maumee City,2053.3539,18376.14,10906.68,1484.31,297.63,12688.61,886.26,1103.89,1886.31,624.38,701.03,485.68,5687.53
044370,Mayfield City,3959.7836,19153.61,10735.88,1238.72,1564,13538.6,629.69,1047.78,2007.72,466.34,1035.75,427.73,5615.01
044388,Medina City SD,5734.7368,16273.74,10414.76,1125.49,229.4,11769.64,372.24,845.54,1627.77,724.84,485.36,448.35,4504.1
044396,Miamisburg City,4747.6417,15374.82,8895.17,1417.68,860.87,11173.71,279.99,660.8,1293.7,878.94,547,540.68,4201.11
044404,Middletown City,5642.7309,16464.46,8891.8,1528.44,581.04,11001.28,451.27,668.27,1648.45,1329.79,648.42,716.98,5463.19
044412,Mt Healthy City,2630.4634,17948.63,9428.12,1990.03,798.02,12216.17,675.1,940.69,1552.08,1279.13,473.53,811.93,5732.46
044420,Mount Vernon City,3313.9131,15342.69,8562.99,1148.59,736.69,10448.28,1296.78,752.73,1285.32,463.68,522.15,573.75,4894.41
044438,Napoleon Area City,1656.6366,14956.19,9125.06,1080.35,760.24,10965.65,473.52,565.8,1219.1,478.16,605.29,648.67,3990.53
044446,Nelsonville-York City,965.989,19815.57,12313.22,1114.16,791.34,14218.71,792.93,927.9,1566.87,899.25,511.2,898.71,5596.86
044453,Newark City,5619.7374,17677.66,10285.17,1397.57,916.42,12599.17,403.72,728.95,1840,781.04,716.5,608.29,5078.49
044461,New Boston Local,370.9878,21539.35,11880.2,879.58,536.74,13296.52,941.76,1347.67,3292.51,651.42,943.56,1065.93,8242.84
044479,New Lexington School District,1725.8342,19290.25,11699.2,799.85,500.27,12999.31,166.26,1303.54,2205.66,956.88,616.48,1042.12,6290.94
044487,New Philadelphia City,2946.1709,12928.74,8337.68,648.39,199.17,9185.24,551.38,803.72,1158.36,411.37,419.71,398.97,3743.51
044495,Niles City,1871.0416,15708.01,8031.08,710,513.52,9254.6,544.64,1222.7,1895.07,908.72,1076.21,806.08,6453.41
044503,North Canton City,4265.7339,14254.39,8759.24,981.01,415.79,10156.05,349.19,995.97,1004.76,723.48,533.89,491.06,4098.35
044511,North College Hill City,1298.737,18045.69,10424.69,1723.13,592.48,12740.3,723.25,1160.1,1480.93,571.78,692.2,677.12,5305.39
