leaid,irn,state,comparable,enrollment,total_revenue,federal_revenue,state_revenue,local_revenue,property_tax,current_spending
0100005,,AL,1,5956,74598000,13132000,42566000,18900000,7070000,61142000
0100006,,AL,1,5898,88554000,24404000,45327000,18823000,9059000,71969000
0100007,,AL,1,13606,219069000,18644000,87393000,113032000,88509000,188495000
0100008,,AL,1,12302,177759000,14037000,85179000,78543000,38617000,132175000
0100011,,AL,1,2169,31585000,5158000,15284000,11143000,5368000,24789000
0100012,,AL,1,2448,33044000,6230000,18456000,8358000,3420000,28105000
0100013,,AL,1,4941,70990000,4946000,36179000,29865000,18151000,56961000
0100030,,AL,1,2927,42737000,9072000,21452000,12213000,3203000,36781000
0100060,,AL,1,1862,26857000,4582000,15297000,6978000,923000,21293000
0100090,,AL,1,1908,31767000,8744000,14131000,8892000,5868000,26514000
0100100,,AL,1,2645,34542000,4021000,21321000,9200000,2170000,28253000
0100120,,AL,1,4788,87363000,7934000,33925000,45504000,3929000,51018000
0100180,,AL,1,1523,19049000,3886000,12048000,3115000,1080000,16795000
0100185,,AL,1,3261,45243000,5452000,24503000,15288000,7680000,39620000
0100188,,AL,1,2688,28157000,5189000,19151000,3817000,2489000,25707000
0100189,,AL,1,1520,19348000,2313000,11945000,5090000,3043000,17663000
0100190,,AL,1,6354,99923000,9915000,50231000,39777000,18468000,78637000
0100194,,AL,1,3520,58070000,6059000,24733000,27278000,13880000,41105000
0100195,,AL,1,2688,31039000,1749000,20475000,8815000,2159000,26119000
0100202,,AL,1,2338,38864000,4240000,9600000,25024000,5942000,26800000
0100210,,AL,1,9395,155726000,9925000,65320000,80481000,26241000,103130000
0100240,,AL,1,9008,111646000,18710000,68710000,24226000,9277000,92509000
0100270,,AL,1,31812,528300000,55636000,196974000,275690000,67019000,381717000
0100300,,AL,1,737,13297000,5709000,5102000,2486000,1549000,10921000
0100330,,AL,1,3409,52179000,13709000,24274000,14196000,12496000,46295000
0100360,,AL,1,3076,47810000,8528000,30335000,8947000,2223000,39608000
0100390,,AL,1,21328,360241000,83478000,157853000,118910000,104898000,296250000
0100420,,AL,1,7659,103251000,17782000,65432000,20037000,4261000,82559000
0100450,,AL,1,1212,21039000,3985000,10462000,6592000,2233000,15793000
0100480,,AL,1,1443,23205000,8001000,11798000,3406000,2040000,20016000
0100510,,AL,1,2927,42300000,10007000,22516000,9777000,3226000,33719000
0100540,,AL,1,8118,109620000,17784000,66011000,25825000,10423000,94709000
0100600,,AL,1,3347,44560000,9462000,24830000,10268000,4993000,40343000
0100630,,AL,1,3895,53952000,9616000,29545000,14791000,6857000,47657000
0100660,,AL,1,7723,96304000,19844000,59922000,16538000,5568000,78631000
0100690,,AL,1,1067,20102000,4322000,8421000,7359000,5058000,16421000
0100720,,AL,1,2254,40349000,12258000,19485000,8606000,4284000,29940000
0100750,,AL,1,1826,23509000,5148000,14668000,3693000,1536000,20509000
0100780,,AL,1,2517,33398000,5011000,22197000,6190000,2592000,28459000
0100810,,AL,1,2782,35431000,6921000,21367000,7143000,3126000,29148000
0100840,,AL,1,2658,39578000,7108000,18739000,13731000,5889000,37109000
0100870,,AL,1,1513,26177000,4343000,16368000,5466000,1632000,22537000
0100900,,AL,1,788,16221000,4663000,6249000,5309000,2073000,12043000
0100930,,AL,1,2982,42537000,7565000,23750000,11222000,2544000,35316000
0100960,,AL,1,2250,30423000,6283000,18150000,5990000,1957000,25543000
0100990,,AL,1,3224,48471000,6662000,23871000,17938000,6411000,39450000
