fiscal_year,leaid,irn,comparable,enrollment,total_revenue,federal_revenue,state_revenue,local_revenue,property_tax,current_spending,student_transportation,charter_payments,general_formula_assistance,state_nonspecified,capital_outlay
2009,3900017,134072,0,327,3298000,610000,2574000,114000,,3171000,0,0,2544000,23000,33000
2009,3900018,134080,0,774,9433000,1871000,6344000,1218000,,7815000,13000,0,5032000,620000,49000
2009,3900019,134098,0,249,2312000,222000,1799000,291000,,2262000,1000,0,1785000,11000,50000
2009,3900022,134122,0,89,2805000,77000,2688000,40000,,2754000,172000,0,2685000,3000,138000
2009,3900023,134148,0,166,1551000,385000,1157000,9000,,1598000,25000,0,1149000,8000,3000
2009,3900024,134171,0,157,1696000,325000,1356000,15000,,1539000,161000,0,1348000,8000,5000
2009,3900025,134197,0,459,4070000,693000,3370000,7000,,4009000,0,0,3357000,5000,0
2009,3900026,134205,0,526,4940000,924000,4005000,11000,,5013000,0,0,3990000,7000,0
2009,3900027,134213,0,360,3034000,452000,2580000,2000,,2995000,0,0,2567000,6000,0
2009,3900028,134221,0,246,2283000,375000,1905000,3000,,2257000,0,0,1894000,5000,0
2009,3900029,134247,0,159,1409000,246000,1058000,105000,,1385000,0,0,969000,4000,0
2009,3900031,133512,0,677,6001000,1328000,4460000,213000,,4912000,0,0,4348000,8000,1280000
2009,3900032,133520,0,395,3932000,680000,2852000,400000,,4101000,0,0,2828000,5000,54000
2009,3900033,133538,0,251,2180000,150000,2023000,7000,,2079000,6000,0,1897000,3000,4000
2009,3900036,133561,0,580,4747000,751000,3972000,24000,,4659000,3000,0,3966000,0,40000
2009,3900038,133587,0,111,2038000,232000,1802000,4000,,2038000,0,0,1791000,9000,19000
2009,3900040,133629,0,505,3974000,583000,3155000,236000,,3378000,2000,0,3150000,5000,116000
2009,3900042,133660,0,328,2760000,599000,2108000,53000,,2750000,0,0,2096000,9000,12000
2009,3900043,133678,0,594,5311000,1180000,4127000,4000,,5255000,0,0,4117000,8000,0
2009,3900047,133736,0,153,1723000,177000,1537000,9000,,1787000,2000,0,1445000,9000,0
2009,3900048,133744,0,206,4155000,1491000,2431000,233000,,4270000,0,0,1222000,1207000,26000
2009,3900050,133801,0,228,2986000,234000,2750000,2000,,3027000,0,0,2743000,5000,0
2009,3900051,133819,0,155,1438000,238000,1199000,1000,,1439000,0,0,1190000,5000,0
2009,3900052,133835,0,196,2534000,246000,2280000,8000,,2484000,0,0,2273000,5000,0
2009,3900053,133868,0,140,1752000,207000,1538000,7000,,1726000,0,0,1531000,5000,0
2009,3900056,133942,0,512,4603000,312000,3589000,702000,,3942000,0,0,3567000,19000,367000
2009,3900057,133959,0,680,6274000,1288000,4928000,58000,,5484000,0,0,4903000,5000,492000
2009,3900058,133967,0,143,1023000,0,1023000,0,,1022000,0,0,902000,0,0
2009,3900059,133975,0,269,2702000,601000,1998000,103000,,2421000,59000,0,1974000,22000,21000
2009,3900061,134189,0,492,4357000,706000,3643000,8000,,4287000,0,0,3629000,5000,0
2009,3900062,134262,0,208,1489000,162000,1327000,0,,1556000,5000,0,1319000,8000,21000
2009,3900065,133215,0,176,1985000,279000,1255000,451000,,1705000,2000,0,1248000,6000,39000
2009,3900066,133223,0,130,1199000,367000,768000,64000,,1177000,0,0,760000,8000,15000
2009,3900068,133256,0,659,4859000,364000,4195000,300000,,4662000,0,0,4180000,13000,149000
2009,3900071,133306,0,82,1787000,201000,1578000,8000,,1755000,0,0,1571000,5000,0
2009,3900072,133330,0,389,3282000,564000,2672000,46000,,3210000,0,0,2363000,79000,20000
2009,3900073,133348,0,49,379000,60000,319000,0,,379000,1000,0,297000,5000,0
2009,3900075,133363,0,143,1368000,387000,965000,16000,,1293000,0,0,954000,8000,9000
2009,3900077,133389,0,40,1121000,112000,748000,261000,,1038000,56000,0,743000,3000,14000
2009,3900078,133405,0,201,1487000,160000,1300000,27000,,1216000,9000,0,1287000,4000,34000
2009,3900079,133413,0,7272,64566000,6704000,57543000,319000,,60937000,0,0,50339000,7196000,1433000
2009,3900080,133421,0,228,3128000,267000,1507000,1354000,,3184000,29000,0,1500000,5000,0
2009,3900081,133439,0,142,1015000,89000,905000,21000,,1047000,0,0,898000,7000,32000
2009,3900083,133454,0,608,5967000,1194000,4719000,54000,,5964000,0,0,4461000,5000,4000
2009,3900084,133488,0,332,3288000,343000,2936000,9000,,3352000,0,0,2929000,5000,0
2009,3900086,133785,0,113,2284000,214000,2063000,7000,,2289000,0,0,2056000,5000,0
2009,3900087,133918,0,121,1194000,212000,939000,43000,,1185000,0,0,932000,7000,1000
2009,3900089,134288,0,62,503000,150000,353000,0,,614000,0,0,348000,5000,0
2009,3900094,139303,1,2334,22999000,792000,6681000,15526000,12356000,19556000,1464000,0,6620000,38000,960000
2009,3900096,132746,0,47,968000,108000,852000,8000,,968000,0,0,844000,6000,0
2009,3900097,132761,0,46,940000,95000,839000,6000,,939000,0,0,830000,7000,0
2009,3900098,132779,0,51,1015000,163000,841000,11000,,1015000,0,0,835000,4000,0
2009,3900099,132787,0,216,1911000,317000,1578000,16000,,1831000,28000,0,1509000,69000,6000
2009,3900100,132795,0,230,2339000,252000,2084000,3000,,2343000,0,0,2077000,5000,0
2009,3900101,132803,0,219,2406000,194000,2208000,4000,,2377000,0,0,2201000,5000,0
2009,3900102,132951,0,187,1666000,235000,1370000,61000,,1604000,0,0,1356000,12000,10000
2009,3900103,132969,0,250,2025000,185000,1774000,66000,,1902000,0,0,1761000,11000,5000
2009,3900104,132985,0,161,1689000,106000,1394000,189000,,1300000,12000,0,0,1361000,74000
2009,3900105,132993,0,273,2462000,246000,2070000,146000,,2307000,0,0,2056000,12000,321000
2009,3900106,133264,0,101,1040000,123000,858000,59000,,876000,0,0,852000,6000,0
2009,3900107,133280,0,233,2181000,385000,1772000,24000,,2004000,0,0,1740000,5000,1000
2009,3900108,133314,0,146,2690000,386000,2301000,3000,,2689000,0,0,2289000,10000,0
2009,3900109,133322,0,144,2671000,318000,2345000,8000,,2590000,0,0,2335000,10000,0
2009,3900110,133397,0,53,770000,225000,545000,0,,1291000,0,0,403000,0,2000
2009,3900113,133504,0,374,3119000,507000,2535000,77000,,2990000,2000,0,2525000,5000,489000
2009,3900115,133769,0,225,1954000,26000,1656000,272000,,2026000,0,0,1547000,5000,16000
2009,3900117,143297,0,53,1699000,62000,1633000,4000,,1689000,175000,0,1628000,5000,56000
2009,3900118,143305,0,1359,10705000,627000,10077000,1000,,9466000,0,0,10071000,4000,604000
2009,3900119,143313,0,461,4085000,654000,3424000,7000,,4053000,0,0,3411000,5000,0
2009,3900120,143552,0,148,1561000,350000,1208000,3000,,1262000,0,0,1201000,5000,167000
2009,3900121,143602,0,416,3181000,206000,2398000,577000,,2619000,0,0,2397000,1000,547000
2009,3900122,143636,0,91,1179000,353000,826000,0,,1174000,0,0,806000,9000,0
2009,3900123,143644,0,367,3477000,473000,2620000,384000,,3509000,26000,0,2612000,8000,130000
2009,3900125,000125,0,141,1958000,629000,1019000,310000,,1682000,10000,0,1014000,5000,76000
2009,3900126,000130,0,695,5968000,184000,5707000,77000,,5364000,0,0,5702000,5000,1132000
2009,3900127,000131,0,177,1233000,0,1208000,25000,,1119000,0,0,1203000,5000,1365000
2009,3900129,000138,0,724,4251000,430000,3615000,206000,,5474000,0,0,3601000,6000,0
2009,3900130,000139,0,460,4043000,717000,3230000,96000,,5950000,0,0,3117000,107000,0
2009,3900131,000140,0,106,1152000,343000,794000,15000,,1090000,21000,0,783000,9000,47000
2009,3900132,000143,0,77,829000,176000,651000,2000,,741000,0,0,647000,3000,55000
2009,3900133,000162,0,98,742000,23000,716000,3000,,537000,0,0,710000,6000,7000
2009,3900134,000195,0,376,3483000,555000,2924000,4000,,3491000,0,0,2912000,5000,0
2009,3900135,000197,0,106,696000,14000,679000,3000,,878000,0,0,674000,5000,40000
2009,3900138,000222,0,157,1482000,122000,1348000,12000,,1304000,14000,0,1340000,5000,93000
2009,3900144,148973,0,151,1500000,326000,1167000,7000,,1320000,0,0,1160000,5000,138000
2009,3900145,148981,0,35,594000,38000,539000,17000,,613000,0,0,533000,6000,0
2009,3900146,148999,0,152,1418000,101000,1253000,64000,,1485000,0,0,1247000,4000,3000
2009,3900151,149047,0,336,2198000,90000,2106000,2000,,1984000,4000,0,2098000,8000,194000
2009,3900152,149054,0,544,4971000,556000,4397000,18000,,4996000,0,0,4392000,5000,48000
2009,3900153,149062,0,53,363000,0,361000,2000,,400000,0,0,357000,4000,0
2009,3900155,149088,0,92,799000,56000,739000,4000,,712000,0,0,735000,4000,54000
2009,3900174,149286,0,24,237000,52000,183000,2000,,279000,0,0,180000,3000,5000
2009,3900175,142901,0,160,1724000,145000,1426000,153000,,1549000,0,0,1419000,5000,0
2009,3900176,142919,0,173,1841000,232000,1606000,3000,,1849000,0,0,1598000,6000,0
2009,3900177,142927,0,191,1852000,224000,1628000,0,,1798000,0,0,1619000,7000,0
2009,3900178,142935,0,212,2197000,277000,1920000,0,,2118000,0,0,1910000,8000,0
2009,3900179,142943,0,150,1894000,350000,1544000,0,,1838000,0,0,1532000,7000,0
2009,3900180,142950,0,7277,45502000,3222000,42188000,92000,,44304000,0,0,42156000,30000,115000
2009,3900181,142968,0,286,2580000,444000,2133000,3000,,2588000,0,0,2124000,3000,0
2009,3900182,142976,0,206,2025000,447000,1540000,38000,,2046000,0,0,1529000,11000,49000
