irn,school,county,designation,enrolled_adm,base_cost,special_education,dpia,english_learners,career_technical,core_foundation_funding,transportation,equity_supplement,formula_transition_supplement,base_funding_supplement,facilities,total_state_support
000131,Glass City Academy,Lucas,site-based,384.437565,2992235.58,655109.74,313859.67,0,63300.7,4024505.69,0,153775.03,0,15377.5,376317.55,4569975.77
000138,Pathway School of Discovery,Montgomery,site-based,794.200718,6499371,994518.7,679742.86,191866.01,0,8365498.56,0,317680.29,0,31768.03,777425.77,9492372.65
000139,Alliance Academy of Cincinnati,Hamilton,site-based,311.717483,2564746.22,312597.92,463186.22,9636.84,0,3350167.2,270110.36,124686.99,0,12468.7,305133.45,4062566.7
000222,Wildwood Environmental Academy,Lucas,site-based,357.698834,2897385.26,939278.75,299679.85,0,0,4136343.86,0,143079.53,0,14307.95,350143.59,4643874.94
000236,Ohio Connections Academy  Inc,Franklin,e-school,4666.063781,37171596.11,8874774.11,0,49505.86,273728.05,46369604.12,0,0,0,186642.55,114187.7,46670434.38
000241,Quaker Digital Academy,Tuscarawas,e-school,819.487949,6389190.42,990068.74,0,24284.38,11129.26,7414672.8,0,0,0,32779.52,20054.47,7467506.79
000282,Greater Ohio Virtual School,Warren,e-school,364.24099,2810671.53,637638.95,0,8706.12,0,3457016.6,0,0,0,14569.64,8913.69,3480499.93
000288,Auglaize County Educational Academy,Auglaize,e-school,87.240168,780058.41,73219.74,0,0,217440.86,1070719,0,0,0,3489.61,2134.94,1076343.55
000298,Summit Academy Secondary - Akron,Summit,site-based,68.30137,523744.69,801053.87,42730.28,0,0,1367528.85,0,27320.55,0,2732.05,66858.72,1464440.17
000300,Summit Academy Secondary - Canton,Stark,site-based,78.822811,604366.33,666881.01,80094.83,0,0,1351342.17,0,31529.12,0,3152.91,77157.93,1463182.14
000301,Summit Academy - Toledo,Lucas,site-based,135.836879,1084247.05,877646.43,120134.57,0,0,2082028.05,0,54334.75,94324.2,5433.48,132967.76,2369088.23
000302,Summit Academy Community School - Parma,Cuyahoga,site-based,116.997662,925498.92,1193579.67,61683.89,2138.42,0,2182900.91,0,46799.06,0,4679.91,114526.46,2348906.34
000303,Summit Academy Secondary - Youngstown,Mahoning,site-based,74.1817,575379.05,600280.34,90592.26,0,0,1266251.65,0,29672.68,0,2967.27,72614.85,1371506.45
000305,Summit Academy Community School-Warren,Trumbull,site-based,91.479288,743302.64,1024064.4,135930.6,1299.7,0,1904597.35,0,36591.72,0,3659.17,89547.08,2034395.32
000311,Bridges Community Academy dba Bridges Preparatory Academy,Seneca,site-based,115.042206,946455.4,164541.08,106042.69,0,0,1217039.16,0,46016.88,0,4601.69,112612.31,1380270.04
000316,Constellation Schools: Westpark Community Middle,Cuyahoga,site-based,147.987041,1177230.13,163230.71,169085.04,7924.74,0,1517470.62,0,59194.82,0,5919.48,144861.29,1727446.21
000318,Menlo Park Academy,Cuyahoga,site-based,350.460626,2857306.7,400788.08,13733.72,9978.12,0,3281806.62,0,140184.25,0,14018.43,343058.27,3779067.56
000319,Constellation Schools: Madison Community Elementary,Cuyahoga,site-based,219.134718,1798065.34,241763.01,189733.45,46985.39,0,2276547.2,0,87653.89,0,8765.39,214506.2,2587472.67
000320,Constellation Schools: Lorain Community Middle,Lorain,site-based,88.058281,700329.5,125375.49,117263.6,7592.05,0,950560.63,0,35223.31,0,3522.33,86198.33,1075504.61
000321,Constellation Schools: Old Brooklyn Community Middle,Cuyahoga,site-based,235.078697,1869391.76,569893.12,310867.79,3033.74,0,2753186.41,0,94031.48,0,9403.15,230113.41,3086734.45
000338,Horizon Science Academy Toledo,Lucas,site-based,533.560412,4355203.65,439696.15,406798.75,16465.09,228449.37,5446613.01,413188.62,213424.16,0,21342.42,522290.66,6616858.86
000402,Findlay Digital Academy,Hancock,e-school,236.424992,1829931.92,346793.16,0,1685.88,0,2178410.95,0,0,0,9457,5785.78,2193653.73
000417,Buckeye On-Line School for Success,Columbiana,e-school,600.978041,4736471.43,1216806.59,0,6401.13,0,5959679.15,0,0,0,24039.12,14707.11,5998425.38
000509,Whitehall Preparatory and Fitness Academy,Franklin,site-based,368.194328,3013319.84,714363.01,399010.74,39294.86,0,4165988.45,0,147277.73,0,14727.77,360417.4,4688411.35
000510,Springfield Preparatory and Fitness Academy,Clark,site-based,158.971256,1307591.9,329512.7,166672.64,34715.9,0,1838493.14,0,63588.5,0,6358.85,155613.5,2064053.99
000511,Northland Preparatory and Fitness Academy,Franklin,site-based,124.928357,1019040.25,251513.43,153728.38,14377.56,0,1438659.62,0,49971.34,0,4997.13,122289.65,1615917.75
000525,Canton Harbor High School,Stark,site-based,95.017877,738487.64,182571.21,91686.27,0,14087.21,1026832.33,0,38007.15,0,3800.72,93010.93,1161651.12
000527,Cleveland Academy for Scholarship Technology and Leadership,Cuyahoga,site-based,291.600252,2490200.13,519819.03,302922.5,2599.4,885468.31,4201009.37,131043.64,116640.1,0,11664.01,285441.13,4745798.25
000534,Constellation Schools: Puritas Community Middle,Cuyahoga,site-based,85.923062,683314.46,61791.86,101760.3,15894.42,0,862761.05,0,34369.22,0,3436.92,84108.21,984675.41
000543,Pinnacle Academy,Cuyahoga,site-based,724.581836,5921044.66,871184.94,704502.84,2540.66,0,7499273.1,0,289832.73,0,28983.27,709277.36,8527366.48
000546,Winterfield Venture Academy,Lucas,site-based,309.366504,2540122.12,389038.11,459692.87,1255.64,0,3390108.74,156450.06,123746.6,0,12374.66,302832.13,3985512.19
000553,Columbus Humanities  Arts and Technology Academy,Franklin,site-based,626.564386,5148868.05,462416.01,551864.54,203413.9,0,6366562.5,0,250625.75,0,25062.58,613330.22,7255581.05
000556,A+ Arts Academy,Franklin,site-based,187.362809,1529935.4,108281.23,278405.53,0,0,1916622.16,0,74945.12,0,7494.51,183405.37,2182467.17
000557,Columbus Arts & Technology Academy,Franklin,site-based,615.198617,4998539.52,513903.26,430074.74,65829.67,144010.3,6152357.48,0,246079.45,0,24607.94,602204.51,7025249.39
000558,Columbus Preparatory Academy,Franklin,site-based,728.433367,5871065.27,355077.72,688190.51,162486.63,0,7076820.12,0,291373.35,0,29137.33,713047.54,8110378.35
000559,Orion Academy,Hamilton,site-based,446.137091,3643243.05,357241.83,467774.92,42330.64,0,4510590.44,407839.9,178454.84,0,17845.48,436713.87,5551444.53
000560,Apex Academy,Cuyahoga,site-based,449.355882,3692419.42,473090.9,599373.43,1204.24,0,4766088,0,179742.35,0,17974.24,439864.68,5403669.26
000575,Northwest School of the Arts,Cuyahoga,site-based,303.388237,2475764.43,302244.5,288574.91,8234.19,0,3074818.03,0,121355.29,0,12135.53,296980.13,3505288.99
000577,Emerson Academy,Montgomery,site-based,597.28856,4863566.67,468266.88,792583,29330.08,0,6153746.63,0,238915.42,0,23891.54,584672.75,7001226.35
000598,Coshocton Opportunity School,Coshocton,site-based,42.582872,345938.66,42567.29,63274.6,0,25937.09,477717.64,0,17033.15,0,1703.31,41683.45,538137.55
000608,Summit Academy School - Cincinnati,Hamilton,site-based,100.891304,797576.01,1063240.37,110795.99,0,0,1971612.37,0,40356.52,0,4035.65,98760.3,2114764.84
000613,Heir Force Community School,Allen,site-based,222.187211,1819148.89,118171.69,162543.04,0,0,2099863.62,0,88874.88,0,8887.49,217494.22,2415120.21
000614,Summit Academy School–Columbus,Franklin,site-based,85.132435,678688.57,658331.16,102695.57,0,0,1439715.3,0,34052.97,0,3405.3,83334.28,1560507.86
000616,Summit Academy Alternative LearnersWarren Middle & Secondary,Trumbull,site-based,64.482993,497135.14,413664.38,68365.93,0,0,979165.45,0,25793.2,120061.34,2579.32,63121,1190720.3
000621,Summit Academy School–Dayton,Montgomery,site-based,128.822036,1022302.95,1124497.89,129471.73,0,0,2276272.57,0,51528.81,0,5152.88,126101.08,2459055.35
000623,Summit Academy-Youngstown,Mahoning,site-based,127.75425,1043295.01,891861.02,147778.46,1299.7,0,2084234.19,0,51101.7,0,5110.17,125055.85,2265501.91
000634,Summit Academy Secondary School - Middletown,Butler,site-based,93.708988,730163.26,1076217.74,64248.78,0,0,1870629.78,0,37483.6,0,3748.36,91729.69,2003591.42
000640,Rittman Academy,Wayne,site-based,25.561822,196854.69,33650.22,16078.4,0,0,246583.31,0,10224.73,0,1022.47,25021.91,282852.42
000664,Capital City Career Prep High School,Franklin,site-based,101.942078,854210.52,157703.04,132216.15,15550.76,207439.03,1367119.51,0,40776.83,0,4077.68,99788.88,1511762.9
000679,Oakstone Community School,Franklin,site-based,151.443252,1192591.8,4233482.89,50.31,3467.25,0,5429592.25,0,60577.3,0,6057.73,148244.5,5644471.78
000725,Zenith Academy,Franklin,site-based,466.08229,3774244.2,204814.52,453225.62,81109.23,303806.19,4817199.76,510802.76,186432.92,0,18643.29,456237.79,5989316.52
000736,Phoenix Village Academy Primary 2 dba Wings Academy 1,Cuyahoga,site-based,94.242783,769314.2,20369.96,106117.87,0,0,895802.03,0,37697.11,0,3769.71,92252.21,1029521.06
000770,Maritime Academy of Toledo  The,Lucas,site-based,135.00996,1044098.88,379296.3,200613.56,4333.44,0,1628342.17,0,54003.98,0,5400.4,132158.31,1819904.86
000779,Educational Academy for Boys & Girls,Franklin,site-based,160.932099,1331887.14,32031.49,112916.68,165552.29,0,1642387.61,0,64372.84,0,6437.28,157532.92,1870730.65
000780,Midnimo Cross Cultural Middle School,Franklin,site-based,189.939591,1511068.71,83796.01,164066.33,106404.99,0,1865336.05,0,75975.84,0,7597.58,185927.72,2134837.2
000804,Horizon Science Academy-Cincinnati,Hamilton,site-based,254.296601,2107097.37,272336.43,194124,3899.11,180670.84,2758127.74,0,101718.64,0,10171.86,248925.4,3118943.65
000808,Horizon Science Academy-Dayton,Montgomery,site-based,196.755555,1630360.91,76413.16,193635.54,0,0,1900409.61,197902.64,78702.22,0,7870.22,192599.72,2377484.42
000813,Gem City Career Prep High School,Montgomery,site-based,152.648136,1169307.22,148847.18,159357.99,8147.84,326980.12,1812640.34,0,61059.25,0,6105.93,149423.93,2029229.45
000825,Horizon Science Academy-Springfield,Lucas,site-based,372.592955,3113664.79,123502.45,298286.86,4745.7,144862.12,3685061.9,379759.12,149037.18,0,14903.72,364723.12,4593485.05
000838,Horizon Science Academy-Denison Middle School,Cuyahoga,site-based,268.574909,2217071.7,224928.52,288846.94,71519.13,111329.93,2913696.21,0,107429.96,0,10743,262902.12,3294771.3
000843,Bennett Venture Academy,Lucas,site-based,371.981596,3064408.25,217519.04,552733.68,1255.64,0,3835916.61,0,148792.64,0,14879.26,364124.68,4363713.19
000855,Stambaugh Charter Academy,Mahoning,site-based,437.881359,3602692.13,669997.07,624447.63,64028.49,0,4961165.32,0,175152.54,0,17515.25,428632.52,5582465.63
000858,Horizon Science Academy-Cleveland Middle School,Cuyahoga,site-based,260.565732,2167516.66,171703.12,303560.27,0,154699.06,2797479.11,0,104226.29,0,10422.63,255062.11,3167190.15
000875,Westside Academy,Franklin,site-based,344.971268,2833926.98,163295.09,408145.48,267655.48,0,3673023.03,0,137988.51,0,13798.85,337684.85,4162495.24
000912,Early College Academy,Franklin,site-based,95.48378,732187.95,134532.37,127955.06,0,0,994675.38,0,38193.51,0,3819.35,93466.99,1130155.23
000936,Promise Academy,Cuyahoga,site-based,84.586134,647350.95,100636.59,125687.95,0,0,873675.5,0,33834.45,0,3383.45,82799.52,993692.92
000938,East Bridge Academy of Excellence,Franklin,site-based,84.151514,706856.18,21727.96,125042.14,41830.84,32976.2,928433.32,0,33660.61,0,3366.06,82374.08,1047834.07
000941,Par Excellence Academy dba Par Excellence STEM Academy,Licking,site-based,227.189387,1879240.25,466719.81,146629.6,3033.74,0,2495623.39,0,90875.75,0,9087.58,222390.74,2817977.46
000951,Toledo Preparatory and Fitness Academy,Lucas,site-based,256.477088,2112464.59,619285.57,292836.25,3468.07,0,3028054.47,0,102590.84,0,10259.08,251059.83,3391964.22
000952,Columbus Preparatory and Fitness Academy,Franklin,site-based,452.853697,3697300.68,493751.52,228026.73,269288.75,0,4688367.69,0,181141.48,0,18114.15,443288.61,5330911.93
000953,Mt. Healthy Preparatory and Fitness Academy,Hamilton,site-based,192.749793,1588371,327678.03,235096.75,1387.95,0,2152533.74,0,77099.92,0,7709.99,188678.57,2426022.22
007984,Youngstown Academy of Excellence,Mahoning,site-based,268.976606,2215472.75,171427.14,219141.44,62927.62,0,2668968.95,0,107590.64,0,10759.06,263295.34,3050614
