irn,district,county,published_year,published,students_floor,students_ceiling
000442,Manchester Local (Adams),Adams,SY21-22,.,0,
043489,Akron City,Summit,SY21-22,373,373,373
043497,Alliance City,Stark,SY21-22,70,70,70
043505,Ashland City,Ashland,SY21-22,179,179,179
043513,Ashtabula Area City,Ashtabula,SY21-22,75,75,75
043521,Athens City,Athens,SY21-22,117,117,117
043539,Barberton City,Summit,SY21-22,105,105,105
043547,Bay Village City,Cuyahoga,SY21-22,88,88,88
043554,Beachwood City,Cuyahoga,SY21-22,<10,0,9
043562,Bedford City,Cuyahoga,SY21-22,67,67,67
043570,Bellaire Local,Belmont,SY21-22,13,13,13
043588,Bellefontaine City,Logan,SY21-22,57,57,57
043596,Bellevue City,Huron,SY21-22,63,63,63
043604,Belpre City,Washington,SY21-22,27,27,27
043612,Berea City,Cuyahoga,SY21-22,130,130,130
043620,Bexley City,Franklin,SY21-22,41,41,41
043638,Bowling Green City,Wood,SY21-22,0,0,0
043646,Brecksville-Broadview Heights City,Cuyahoga,SY21-22,87,87,87
043653,Brooklyn City,Cuyahoga,SY21-22,NC,0,
043661,Brunswick City,Medina,SY21-22,112,112,112
043679,Bryan City,Williams,SY21-22,89,89,89
043687,Bucyrus City,Crawford,SY21-22,0,0,0
043695,Cambridge City,Guernsey,SY21-22,40,40,40
043703,Campbell City,Mahoning,SY21-22,<10,0,9
043711,Canton City,Stark,SY21-22,150,150,150
043729,Celina City,Mercer,SY21-22,117,117,117
043737,Centerville City,Montgomery,SY21-22,406,406,406
043745,Chillicothe City,Ross,SY21-22,64,64,64
043752,Cincinnati City,Hamilton,SY21-22,0,0,0
043760,Circleville City,Pickaway,SY21-22,67,67,67
043778,Claymont City,Tuscarawas,SY21-22,39,39,39
043786,Cleveland Municipal City,Cuyahoga,SY21-22,326,326,326
043794,Cleveland Heights-University Heights City,Cuyahoga,SY21-22,185,185,185
043802,Columbus City,Franklin,SY21-22,1352,1352,1352
043810,Conneaut Area City,Ashtabula,SY21-22,73,73,73
043828,Coshocton City,Coshocton,SY21-22,NC,0,
043836,Cuyahoga Falls City,Summit,SY21-22,183,183,183
043844,Dayton City,Montgomery,SY21-22,329,329,329
043851,Deer Park Community City,Hamilton,SY21-22,43,43,43
043869,Defiance City,Defiance,SY21-22,0,0,0
043877,Delaware City,Delaware,SY21-22,343,343,343
043885,Delphos City,Allen,SY21-22,43,43,43
043893,Dover City,Tuscarawas,SY21-22,100,100,100
043901,East Cleveland City,Cuyahoga,SY21-22,0,0,0
043919,East Liverpool City,Columbiana,SY21-22,23,23,23
043927,East Palestine City,Columbiana,SY21-22,60,60,60
043935,Eaton Community City,Preble,SY21-22,156,156,156
043943,Elyria City,Lorain,SY21-22,128,128,128
043950,Euclid City,Cuyahoga,SY21-22,NC,0,
043968,Fairborn City,Greene,SY21-22,332,332,332
043976,Fairview Park City,Cuyahoga,SY21-22,0,0,0
043984,Findlay City,Hancock,SY21-22,200,200,200
043992,Fostoria City,Seneca,SY21-22,23,23,23
044008,Franklin City,Warren,SY21-22,177,177,177
044016,Fremont City,Sandusky,SY21-22,112,112,112
044024,Galion City,Crawford,SY21-22,62,62,62
044032,Gallipolis City,Gallia,SY21-22,77,77,77
044040,Garfield Heights City,Cuyahoga,SY21-22,31,31,31
044057,Geneva Area City,Ashtabula,SY21-22,86,86,86
044065,Girard City,Trumbull,SY21-22,22,22,22
044073,Grandview Heights City,Franklin,SY21-22,16,16,16
044081,Winton Woods City,Hamilton,SY21-22,129,129,129
044099,Greenville City,Darke,SY21-22,175,175,175
044107,Hamilton City,Butler,SY21-22,248,248,248
044115,Heath City,Licking,SY21-22,46,46,46
044123,Hillsboro City,Highland,SY21-22,153,153,153
044131,Huron City,Erie,SY21-22,38,38,38
044149,Ironton City,Lawrence,SY21-22,15,15,15
044156,Jackson City,Jackson,SY21-22,81,81,81
044164,Kent City,Portage,SY21-22,74,74,74
044172,Kenton City,Hardin,SY21-22,67,67,67
044180,Kettering City,Montgomery,SY21-22,301,301,301
044198,Lakewood City,Cuyahoga,SY21-22,127,127,127
044206,Lancaster City,Fairfield,SY21-22,280,280,280
044214,Lebanon City,Warren,SY21-22,391,391,391
044222,Lima City,Allen,SY21-22,874,874,874
044230,Lockland Local,Hamilton,SY21-22,0,0,0
044248,Logan-Hocking Local,Hocking,SY21-22,59,59,59
044255,London City,Madison,SY21-22,85,85,85
044263,Lorain City,Lorain,SY21-22,105,105,105
044271,Loveland City,Hamilton,SY21-22,163,163,163
044289,Madeira City,Hamilton,SY21-22,56,56,56
044297,Mansfield City,Richland,SY21-22,202,202,202
044305,Maple Heights City,Cuyahoga,SY21-22,37,37,37
044313,Mariemont City,Hamilton,SY21-22,20,20,20
044321,Marietta City,Washington,SY21-22,136,136,136
044339,Marion City,Marion,SY21-22,49,49,49
044347,Martins Ferry City,Belmont,SY21-22,30,30,30
044354,Massillon City,Stark,SY21-22,91,91,91
044362,Maumee City,Lucas,SY21-22,37,37,37
044370,Mayfield City,Cuyahoga,SY21-22,55,55,55
044388,Medina City,Medina,SY21-22,294,294,294
044396,Miamisburg City,Montgomery,SY21-22,123,123,123
044404,Middletown City,Butler,SY21-22,153,153,153
044412,Mt Healthy City,Hamilton,SY21-22,NC,0,
044420,Mount Vernon City,Knox,SY21-22,267,267,267
044438,Napoleon Area City,Henry,SY21-22,67,67,67
044446,Nelsonville-York City,Athens,SY21-22,23,23,23
044453,Newark City,Licking,SY21-22,352,352,352
044461,New Boston Local,Scioto,SY21-22,<10,0,9
044479,New Lexington City,Perry,SY21-22,56,56,56
044487,New Philadelphia City,Tuscarawas,SY21-22,95,95,95
044495,Niles City,Trumbull,SY21-22,51,51,51
044503,North Canton City,Stark,SY21-22,149,149,149
044511,North College Hill City,Hamilton,SY21-22,45,45,45
044529,North Olmsted City,Cuyahoga,SY21-22,84,84,84
044537,North Ridgeville City,Lorain,SY21-22,109,109,109
044545,North Royalton City,Cuyahoga,SY21-22,.,0,
044552,Norton City,Summit,SY21-22,134,134,134
044560,Norwalk City,Huron,SY21-22,102,102,102
044578,Norwood City,Hamilton,SY21-22,47,47,47
044586,Oakwood City,Montgomery,SY21-22,141,141,141
044594,Oberlin City,Lorain,SY21-22,0,0,0
044602,Oregon City,Lucas,SY21-22,91,91,91
044610,Orrville City,Wayne,SY21-22,95,95,95
044628,Painesville City Local,Lake,SY21-22,24,24,24
044636,Parma City,Cuyahoga,SY21-22,167,167,167
044644,Piqua City,Miami,SY21-22,114,114,114
044651,Port Clinton City,Ottawa,SY21-22,24,24,24
044669,Portsmouth City,Scioto,SY21-22,45,45,45
044677,Princeton City,Hamilton,SY21-22,106,106,106
044685,Ravenna City,Portage,SY21-22,51,51,51
