status,building_irn,building_name,lea_irn,lea_name,school_type,subgroups,year_identified,open_closed,cycle,school_year
atsi,000236,Ohio Connections Academy; Inc,000236,Ohio Connections Academy; Inc,Community School,Economic Disadvantage,,,Year 1,2025
atsi,000470,Independence Elementary School,044222,Lima City,Traditional School,Students with Disabilities;White Non-Hispanic,,,Year 1,2025
atsi,000519,Whiteoak Junior High School,047613,Bright Local,Traditional School,Students with Disabilities,,,Year 1,2025
atsi,000546,Winterfield Venture Academy,000546,Winterfield Venture Academy,Community School,Multiracial,,,Year 1,2025
atsi,001339,Austintown Middle School,048298,Austintown Local Schools,Traditional School,Students with Disabilities,,,Year 1,2025
atsi,001396,Avondale Elementary School,043802,Columbus City Schools District,Traditional School,Economic Disadvantage,,,Year 1,2025
atsi,001537,Barber Community Learning Center,043489,Akron City,Traditional School,Students with Disabilities,,,Year 1,2025
atsi,002048,Beechwood Elementary School,045070,Whitehall City,Traditional School,Students with Disabilities,,,Year 1,2025
atsi,003301,Bowsher High School,044909,Toledo City,Traditional School,Multiracial,,,Year 1,2025
atsi,003905,Brown Middle School,044685,Ravenna City,Traditional School,Hispanic,,,Year 1,2025
atsi,004135,Buckeye Middle School,043802,Columbus City Schools District,Traditional School,English Learner,,,Year 1,2025
atsi,004341,Burroughs Elementary School,043802,Columbus City Schools District,Traditional School,Students with Disabilities,,,Year 1,2025
atsi,004739,Streetsboro Elementary School,049239,Streetsboro City,Traditional School,Students with Disabilities,,,Year 1,2025
atsi,005157,Chestnut Elementary School,044628,Painesville City Local,Traditional School,Students with Disabilities,,,Year 1,2025
atsi,006239,Cheviot School,043752,Cincinnati Public Schools,Traditional School,Students with Disabilities,,,Year 1,2025
atsi,006338,Circleville Middle School,043760,Circleville City,Traditional School,Multiracial,,,Year 1,2025
atsi,007799,Crissey Elementary School,048223,Springfield Local,Traditional School,Students with Disabilities,,,Year 1,2025
atsi,008185,Daw Elementary School,045039,Wellsville Local,Traditional School,Multiracial,,,Year 1,2025
atsi,008298,Lima Senior High School,044222,Lima City,Traditional School,Multiracial;White Non-Hispanic,,,Year 1,2025
atsi,008508,West Muskingum Elementary School,048884,West Muskingum Local,Traditional School,Students with Disabilities,,,Year 1,2025
atsi,008649,Dorr Street Elementary School,048223,Springfield Local,Traditional School,Black Non-Hispanic;Students with Disabilities,,,Year 1,2025
atsi,008698,Frederick Douglass School,043752,Cincinnati Public Schools,Traditional School,Black Non-Hispanic;Students with Disabilities,,,Year 1,2025
atsi,008912,Duxberry Park Alternative Elementary School,043802,Columbus City Schools District,Traditional School,Economic Disadvantage,,,Year 1,2025
atsi,009001,East Columbus Elementary School,043802,Columbus City Schools District,Traditional School,Black Non-Hispanic,,,Year 1,2025
atsi,009031,J.F. Kennedy School,044305,Maple Heights City,Traditional School,Economic Disadvantage;Students with Disabilities,,,Year 1,2025
atsi,009200,James N. Gamble Montessori High School,043752,Cincinnati Public Schools,Traditional School,English Learner,,,Year 1,2025
