fiscal_year,irn,district,county,enrolled_adm,base_cost_enrolled_adm,enrolment_is_provisional,base_cost_per_pupil,aggregate_base_cost,property_valuation_annual,property_valuation_three_year_average,property_valuation_used,state_share_percentage,state_share_of_base_cost,core_foundation_funding,guarantee,formula_transition_supplement,base_funding_supplement,total_state_support
2022,050773,Apollo,Allen,914.730781,852.91,no,,7517827.05,2516045200,2465332030,2465332030,0.8360343,6285161.03,7491459.04,0,0,0,7491459.04
2022,050799,Southern Hills,Brown,588.234834,515.909273,no,,4941238.38,982873710,972310746.67,972310746.67,0.9016126,4455083.01,4732729.92,0,0,0,4732729.92
2022,050815,Ashtabula County Technical and Career Center,Ashtabula,669.406082,627.740591,no,,5664460.41,2021006160,1938100906.67,1938100906.67,0.8289245,4695409.96,5726543.07,0,0,0,5726543.07
2022,050856,Belmont-Harrison,Belmont,434.567611,455.37,no,,4615693.22,2825149940,2683369573.33,2683369573.33,0.7093211,3274008.43,4652027.56,0,11920.15,0,4663947.71
2022,050880,Butler Technology & Career Development Schools,Butler,3852.256647,3634.773632,no,,30608896.02,11410394160,10383810253.33,10383810253.33,0.8303792,25416990.89,32146550.13,0,0,0,32146550.13
2022,050906,Columbiana County,Columbiana,301.147419,313.4,no,,3516150.56,1556225900,1446799660,1446799660,0.7942637,2792750.73,3863741.67,0,191562.21,0,4055303.88
2022,050922,Cuyahoga Valley Career Center,Cuyahoga,349.467143,401.51,no,,4182765.49,6881044100,6631328456.67,6631328456.67,0.2073033,867101.26,1624660.05,39488.48,62950.68,0,1727099.21
2022,050948,Polaris,Cuyahoga,610.028741,595.27,no,,5637847.15,5304047010,5259729533.33,5259729533.33,0.5335339,3007982.38,3144634.17,0,0,0,3144634.17
2022,050963,Four County Career Center,Henry,953.134816,912.35,no,,7873213.55,4003644680,3850846796.67,3850846796.67,0.7554463,5947790.15,7780828.89,0,0,0,7780828.89
2022,050989,Delaware Area Career Center,Delaware,790.090759,684.240052,no,,6244755.97,7668127390,7013840240,7013840240,0.4384216,2737835.85,3792845.32,0,45620.92,0,3838466.24
2022,051003,Eastland-Fairfield Career & Technical Schools,Franklin,1441.223753,1407.256556,no,,11805903.15,10288861020,9385177496.67,9385177496.67,0.6025218,7113314.4,6303742.97,0,0,0,6303742.97
2022,051029,EHOVE Career Center,Erie,735.881902,780.57,no,,6956495.4,3895482180,3713014386.67,3713014386.67,0.7331261,5099988.21,6002078.53,0,0,0,6002078.53
2022,051045,Greene County Vocational School District,Greene,1070.624126,892.84,no,,7694547.35,4759538340,4414913490,4414913490,0.7131142,5487090.6,6342798.93,0,0,0,6342798.93
2022,051060,Great Oaks Career Campuses,Hamilton,4117.560175,3884.633656,no,,32834350.34,22630076580,21138950796.67,21138950796.67,0.678097,22264874.94,22034394.39,0,0,0,22034394.39
2022,051128,Jefferson County,Jefferson,300.253758,332.11,no,,3639148.19,1813574520,1706348550,1706348550,0.7655566,2785973.91,2963688.66,0,0,0,2963688.66
2022,051144,Knox County JVSD,Knox,511.478193,538.99,no,,5117761.4,1834649019,1659446769.33,1659446769.33,0.8378738,4288038.02,5376334.18,0,0,0,5376334.18
2022,051169,Auburn,Lake,344.251048,342.61,no,,3765789.72,4895711470,4719647303.33,4719647303.33,0.3733523,1405966.07,1929656.08,0,17385.83,0,1947041.91
2022,051185,Lawrence County,Lawrence,673.076007,625.487694,no,,5869517.09,1418221120,1405763000,1405763000,0.8802488,5166635.59,6377877.95,0,0,0,6377877.95
2022,051201,Career and Technology Educational Centers,Licking,865.975715,842.98,no,,7248225.45,5566438599,4994695345,4994695345,0.6554539,4750877.78,5469224.77,0,0,0,5469224.77
2022,051227,Lorain County JVS,Lorain,1169.148682,1176.990002,no,,10153537.62,7022195840,6835794790,6835794790,0.6633787,6735640.22,7466788.19,0,0,0,7466788.19
2022,051243,Mahoning Co Career & Tech Ctr,Mahoning,751.162403,742.179084,no,,6726589.21,4212009460,3938199683.33,3938199683.33,0.7072662,4757489.37,5029900.64,0,0,0,5029900.64
2022,051284,Miami Valley Career Tech,Montgomery,1978.124818,2049.54,no,,17342564.38,7832673350,7387424643.33,7387424643.33,0.7870146,13648852.06,16302891.19,0,0,0,16302891.19
2022,051300,Mid-East Career and Technology Centers,Muskingum,1023.405747,1053.11,no,,9012603.88,4774170263,4521174201.33,4521174201.33,0.7491749,6752016.78,8719111.55,0,0,0,8719111.55
2022,051334,Ohio Hi-Point Career Center,Logan,933.188801,925.03,no,,7976944.78,3740376890,3652127866.67,3652127866.67,0.7710823,6150880.85,7128430.17,0,0,0,7128430.17
2022,051359,Penta Career Center - District,Wood,2062.62628,1931.871001,no,,16518912.26,7269496900,6906714370,6906714370,0.7909452,13065555.07,17533668.87,0,0,0,17533668.87
2022,051375,Pike County Area,Pike,440.272577,406.41,no,,4121374.95,568448060,544669926.67,544669926.67,0.9339213,3849039.99,4887188.16,0,0,0,4887188.16
2022,051391,Maplewood Career Center District,Portage,658.604104,599.45,no,,5425970.09,2661239780,2609678816.67,2609678816.67,0.7595196,4121130.68,5121061.03,0,0,0,5121061.03
2022,051417,Pioneer Career & Technology,Richland,1262.906404,1274.8,no,,10898880.09,3117643030,2882058650,2882058650,0.8677819,9457850.76,12245492.54,0,0,0,12245492.54
2022,051433,Pickaway-Ross County JVSD,Ross,1017.118426,1038.65,no,,8914986.82,2558690300,2463985033.33,2463985033.33,0.8618066,7682994.3,10740227.27,0,0,0,10740227.27
2022,051458,Vanguard-Sentinel Career & Technology Centers,Sandusky,682.944015,711.28,no,,6571064.52,3733626260,3596926240,3596926240,0.7263057,4772601.4,8165972.97,76761.63,247653.62,0,8490388.22
2022,051474,Warren County Vocational School,Warren,1142.675888,1139.648153,no,,9772070.12,5362101110,5175399413.33,5175399413.33,0.7351943,7184370.41,7964633.16,0,0,0,7964633.16
2022,051490,Scioto County Joint Vocational School,Scioto,580.748625,593.658956,no,,5036204.82,1192837030,1161222423.33,1161222423.33,0.8847126,4455593.61,5617312.92,0,0,0,5617312.92
2022,051532,Springfield-Clark County,Clark,672.151623,697.13,no,,6296434.64,2616816950,2537897510,2537897510,0.7984655,5027485.88,6163761.87,0,0,0,6163761.87
2022,051607,Tri-County Career Center,Athens,512.775528,497.199065,no,,4880318.74,2545457930,2318254900,2318254900,0.7624894,3721191.29,4179880.74,0,0,0,4179880.74
2022,051631,Trumbull Career & Tech Ctr,Trumbull,869.768823,884.11,no,,7740976.11,3654136780,3454901090,3454901090,0.7768433,6013525.56,8072465.33,0,0,0,8072465.33
2022,051656,Buckeye,Tuscarawas,921.873731,923.21,no,,7860054.79,4056581530,3828795666.67,3828795666.67,0.7564396,5945656.96,7553091.94,0,8471.74,0,7561563.68
2022,051672,Vantage Career Center,Van Wert,532.372177,459.981401,no,,4600643.07,1789063870,1792614033.33,1789063870,0.8055637,3706111.13,4164345.01,0,0,0,4164345.01
