fiscal_year,sponsor_irn,sponsor_name,county,sponsor_type,stream,sites,enrollment,enrollment_basis,free_lunch,reduced_lunch,identified,claimable
1998,043489,Akron City SD,Summit,Unknown,single,60,33154,adm,15437,2226,0,17663
1998,043497,Alliance City SD,Stark,Unknown,single,9,3782,adm,1600,394,0,1994
1998,043505,Ashland City SD,Ashland,Unknown,single,7,3636,adm,754,218,0,972
1998,043513,Ashtabula Area City SD,Ashtabula,Unknown,single,13,4846,adm,1930,409,0,2339
1998,043521,Athens City SD,Athens,Unknown,single,7,2931,adm,788,131,0,919
1998,043539,Barberton City SD,Summit,Unknown,single,11,4501,adm,1714,286,0,2000
1998,043547,Bay Village City SD,Cuyahoga,Unknown,single,5,2483,adm,63,64,0,127
1998,043554,Beachwood City SD,Cuyahoga,Unknown,single,5,1595,adm,55,13,0,68
1998,043562,Bedford City SD,Cuyahoga,Unknown,single,7,3764,adm,728,201,0,929
1998,043570,Bellaire Local SD,Belmont,Unknown,single,7,1762,adm,724,76,0,800
1998,043588,Bellefontaine City SD,Logan,Unknown,single,6,2719,adm,589,163,0,752
1998,043596,Bellevue City SD,Huron,Unknown,single,7,2441,adm,320,177,0,497
1998,043604,Belpre City SD,Washington,Unknown,single,3,1022,adm,190,44,0,234
1998,043612,Berea City SD,Cuyahoga,Unknown,single,12,7892,adm,585,378,0,963
1998,043620,Bexley City SD,Franklin,Unknown,single,3,2362,adm,59,36,0,95
1998,043638,Bowling Green City SD,Wood,Unknown,single,9,3672,adm,349,123,0,472
1998,043646,Brecksville-Broadview Heights,Cuyahoga,Unknown,single,6,3822,adm,129,56,0,185
1998,043653,Brooklyn City SD,Cuyahoga,Unknown,single,3,1304,adm,192,104,0,296
1998,043661,Brunswick City SD,Medina,Unknown,single,10,6305,adm,540,394,0,934
1998,043679,Bryan City SD,Williams,Unknown,single,5,2194,adm,214,76,0,290
1998,043687,Bucyrus City SD,Crawford,Unknown,single,8,1945,adm,589,183,0,772
1998,043695,Cambridge City SD,Guernsey,Unknown,single,8,2905,adm,888,185,0,1073
1998,043703,Campbell City SD,Mahoning,Unknown,single,3,1481,adm,771,111,0,882
1998,043711,Canton City SD,Stark,Unknown,single,25,12776,adm,6811,1260,0,8071
1998,043729,Celina City SD,Mercer,Unknown,single,6,3301,adm,384,155,0,539
1998,043737,Centerville City SD,Montgomery,Unknown,single,11,6843,adm,194,80,0,274
1998,043745,Chillicothe City SD,Ross,Unknown,single,10,3646,adm,1143,182,0,1325
1998,043752,Cincinnati City SD,Hamilton,Unknown,single,76,46958,adm,27240,2993,0,30233
1998,043760,Circleville City SD,Pickaway,Unknown,single,6,2472,adm,487,127,0,614
1998,043778,Claymont City SD,Tuscarawas,Unknown,single,4,2131,adm,574,171,0,745
1998,043786,Cleveland City SD,Cuyahoga,Unknown,single,118,80191,adm,59727,4905,0,64632
1998,043794,Cleveland Hts-Univ Hts City SD,Cuyahoga,Unknown,single,13,7127,adm,1382,371,0,1753
1998,043802,Columbus City SD,Franklin,Unknown,single,142,65306,adm,32892,5168,0,38060
1998,043810,Conneaut Area City SD,Ashtabula,Unknown,single,6,2558,adm,658,249,0,907
1998,043828,Coshocton City SD,Coshocton,Unknown,single,5,2144,adm,614,118,0,732
1998,043836,Cuyahoga Falls City SD,Summit,Unknown,single,11,5309,adm,493,333,0,826
1998,043844,Dayton City SD,Montgomery,Unknown,single,56,30040,adm,16752,2534,0,19286
1998,043851,Deer Park Community City SD,Hamilton,Unknown,single,4,1273,adm,112,92,0,204
1998,043869,Defiance City SD,Defiance,Unknown,single,6,2675,adm,378,104,0,482
1998,043877,Delaware City SD,Delaware,Unknown,single,8,4586,adm,614,229,0,843
1998,043885,Delphos City SD,Allen,Unknown,single,4,1179,adm,172,113,0,285
1998,043893,Dover City SD,Tuscarawas,Unknown,single,5,2623,adm,243,100,0,343
1998,043901,East Cleveland City SD,Cuyahoga,Unknown,single,8,6516,adm,4213,365,0,4578
1998,043919,East Liverpool City SD,Columbiana,Unknown,single,5,3429,adm,1140,140,0,1280
1998,043927,East Palestine City SD,Columbiana,Unknown,single,3,1692,adm,406,166,0,572
1998,043935,Eaton Community Schools City S,Preble,Unknown,single,4,2115,adm,307,112,0,419
1998,043943,Elyria City SD,Lorain,Unknown,single,18,7957,adm,2471,670,0,3141
1998,043950,Euclid City SD,Cuyahoga,Unknown,single,8,5485,adm,1527,668,0,2195
1998,043968,Fairborn City SD,Greene,Unknown,single,7,4886,adm,823,307,0,1130
1998,043976,Fairview Park City SD,Cuyahoga,Unknown,single,1,1068,adm,74,21,0,95
1998,043984,Findlay City SD,Hancock,Unknown,single,15,6612,adm,971,361,0,1332
1998,043992,Fostoria City SD,Seneca,Unknown,single,6,2667,adm,863,222,0,1085
1998,044008,Franklin City SD,Warren,Unknown,single,8,2970,adm,490,147,0,637
1998,044016,Fremont City SD,Sandusky,Unknown,single,9,5016,adm,1465,413,0,1878
1998,044024,Galion City SD,Crawford,Unknown,single,6,2352,adm,400,126,0,526
1998,044032,Gallipolis City SD,Gallia,Unknown,single,4,2437,adm,659,71,0,730
1998,044040,Garfield Heights City SD,Cuyahoga,Unknown,single,5,3457,adm,572,318,0,890
1998,044057,Geneva Schools City SD,Ashtabula,Unknown,single,6,3268,adm,727,337,0,1064
1998,044065,Girard City SD,Trumbull,Unknown,single,2,1463,adm,301,78,0,379
1998,044073,Grandview Heights City SD,Franklin,Unknown,single,3,1280,adm,51,41,0,92
1998,044081,Winton Woods City SD,Hamilton,Unknown,single,7,4136,adm,602,185,0,787
1998,044099,Greenville City SD,Darke,Unknown,single,7,3229,adm,461,211,0,672
1998,044107,Hamilton City SD,Butler,Unknown,single,18,9729,adm,3638,658,0,4296
1998,044115,Heath City SD,Licking,Unknown,single,4,1494,adm,123,71,0,194
1998,044123,Hillsboro City SD,Highland,Unknown,single,5,2669,adm,457,109,0,566
1998,044131,Huron City SD,Erie,Unknown,single,5,1531,adm,134,46,0,180
1998,044149,Ironton City SD,Lawrence,Unknown,single,5,2125,adm,738,106,0,844
1998,044156,Jackson City SD,Jackson,Unknown,single,9,2741,adm,651,207,0,858
