building_irn,building_name,district_irn,district_name,county,enrollment,chronic_absenteeism,achievement_star_rating,performance_index_2425,performance_index_2324,performance_index_2223
000059,Ada Elementary School,045187,Ada Exempted Village,Hardin,460,11.9,4,94.7,89.7,91.2
000067,Ada High School,045187,Ada Exempted Village,Hardin,349,16.9,4,94.0,91.6,92.4
000083,Sandusky Middle School,044743,Sandusky City,Erie,407,37.4,2,64.3,61.4,63.4
000102,Meigs Primary School,048520,Meigs Local,Meigs,359,25.2,,NC,NC,NC
000105,Meigs Intermediate School,048520,Meigs Local,Meigs,326,18.4,2,70.8,66.5,69.6
000117,Adamsville Elementary School,048876,Tri-Valley Local,Muskingum,255,13.6,4,91.1,85.9,87.9
000118,Hamilton Intermediate School,046953,Hamilton Local,Franklin,704,25.0,3,83.7,83.7,84.8
000119,Oak Hill Middle/High School,047761,Oak Hill Union Local,Jackson,519,36.7,2,77.0,77.2,80.8
000124,Oak Hill Elementary,047761,Oak Hill Union Local,Jackson,537,24.9,4,91.1,92.7,94.1
000131,Glass City Academy,000131,Glass City Academy,Lucas,364,99.7,1,42.7,40.3,43.7
000138,Pathway School of Discovery,000138,Pathway School of Discovery,Montgomery,819,30.2,2,76.1,73.6,71.5
000139,Alliance Academy of Cincinnati,000139,Alliance Academy of Cincinnati,Hamilton,351,58.7,2,75.7,71.3,67.0
000141,Addaville Elementary School,065680,Gallia County Local,Gallia,315,12.3,3,85.8,79.6,88.7
000177,Fairland West Elementary School,047936,Fairland Local,Lawrence,306,9.8,4,95.7,91.0,92.6
000187,Centerburg Middle School,047829,Centerburg Local,Knox,243,12.8,3,86.0,88.4,88.9
000190,Buckeye West Elementary School,047787,Buckeye Local,Jefferson,166,48.8,3,83.6,76.4,85.0
000208,Adena High School,049494,Adena Local,Ross,253,27.0,2,76.4,76.8,75.3
000222,Wildwood Environmental Academy,000222,Wildwood Environmental Academy,Lucas,341,27.9,2,71.8,71.4,73.3
000224,Adlai Stevenson School,043786,Cleveland Municipal,Cuyahoga,287,34.4,1,51.2,47.7,43.2
000231,Unioto Elementary,049536,Union-Scioto Local,Ross,1034,22.1,3,88.1,88.9,91.1
000232,Adrian Elementary School,044792,South Euclid-Lyndhurst City,Cuyahoga,266,26.7,4,99.8,89.9,94.0
000234,Ella P. Stewart Academy for Girls,044909,Toledo City,Lucas,211,27.1,2,69.8,62.6,61.6
000236,Ohio Connections Academy; Inc,000236,Ohio Connections Academy; Inc,Franklin,4743,11.5,2,69.9,69.8,65.7
000241,Quaker Digital Academy,000241,Quaker Digital Academy,Tuscarawas,753,18.2,2,56.5,55.6,57.8
000242,North Union Elementary School,050336,North Union Local School District,Union,657,10.7,4,91.5,91.3,94.3
000257,Alexander Elementary School,045906,Alexander Local,Athens,666,18.8,3,86.4,86.3,85.9
000265,North Royalton Elementary School,044545,North Royalton City,Cuyahoga,1509,12.9,5,102.0,104.8,103.1
000270,Main Street School,044560,Norwalk City,Huron,370,16.5,3,84.6,84.5,86.5
000282,Greater Ohio Virtual School,000282,Greater Ohio Virtual School,Warren,435,0.7,2,56.4,52.7,48.7
000288,Auglaize County Educational Academy,000288,Auglaize County Educational Academy,Auglaize,83,0.0,2,65.9,70.6,66.7
000291,Malvern Middle School,046177,Brown Local,Carroll,146,25.6,2,75.3,76.7,81.4
000296,Summit Academy Community School-Columbus,000296,Summit Academy Community School-Columbus,Franklin,55,61.4,1,39.4,41.5,44.0
000297,Summit Academy Community School - Dayton,000297,Summit Academy Community School - Dayton,Montgomery,40,82.7,1,42.2,35.4,43.2
000298,Summit Academy Secondary - Akron,000298,Summit Academy Secondary - Akron,Summit,58,53.7,1,55.1,55.7,61.8
000300,Summit Academy Secondary - Canton,000300,Summit Academy Secondary - Canton,Stark,81,62.5,1,55.0,49.4,43.2
000301,Summit Academy - Toledo,000301,Summit Academy - Toledo,Lucas,124,47.3,1,46.0,47.3,49.2
000302,Summit Academy Community School - Parma,000302,Summit Academy Community School - Parma,Cuyahoga,92,68.2,1,48.0,49.9,46.3
000303,Summit Academy Secondary - Youngstown,000303,Summit Academy Secondary - Youngstown,Mahoning,83,86.7,1,44.3,45.2,43.2
000305,Summit Academy Community School-Warren,000305,Summit Academy Community School-Warren,Trumbull,114,27.0,1,53.3,50.5,48.6
000306,Summit Academy Community School - Cincinnati,000306,Summit Academy Community School - Cincinnati,Hamilton,66,68.1,1,44.7,38.6,38.9
000311,Bridges Community Academy dba Bridges Preparatory Academy,000311,Bridges Community Academy dba Bridges Preparatory Academy,Seneca,108,45.0,2,64.0,63.9,54.2
000315,Alexander Jr. / Sr. High School,045906,Alexander Local,Athens,685,21.8,3,86.6,85.9,85.3
000316,Constellation Schools: Westpark Community Middle,000316,Constellation Schools: Westpark Community Middle,Cuyahoga,168,43.5,2,72.4,70.9,72.0
000318,Menlo Park Academy,000318,Menlo Park Academy,Cuyahoga,330,14.8,5,104.2,97.7,99.4
000319,Constellation Schools: Madison Community Elementary,000319,Constellation Schools: Madison Community Elementary,Cuyahoga,199,52.8,1,46.6,44.5,43.2
000320,Constellation Schools: Lorain Community Middle,000320,Constellation Schools: Lorain Community Middle,Lorain,98,52.1,1,49.6,52.1,52.5
000321,Constellation Schools: Old Brooklyn Community Middle,000321,Constellation Schools: Old Brooklyn Community Middle,Cuyahoga,269,61.7,1,48.1,55.2,56.8
