irn,district,performance_index_2425,performance_index_2324,performance_index_2223,unweighted_adm_fy25,weighted_adm_fy25,operating_expenditures_fy25,exp_per_equivalent_pupil_fy25,exp_per_equivalent_pupil_federal_fy25,exp_per_equivalent_pupil_state_local_fy25,progress_composite_2425,progress_effect_size_2425
000442,Manchester Local,83.7,80.8,82.1,667.9763,941,11935497.4,12677,1285,11392,1.04,0.02
043489,Akron City,65.8,63.4,61.2,19737.4703,29162,403822560.61,13848,844,13004,2.56,0.01
043497,Alliance City,73.6,72.6,72.8,2878.0025,4062,49338009.33,12147,1009,11138,-7.41,-0.07
043505,Ashland City,93.3,92.1,92.7,2895.6297,3455,39049327.82,11302,539,10762,-4.99,-0.04
043513,Ashtabula Area City,62.5,63.6,66.3,2598.745,3776,47857886.99,12673,1247,11426,-9.84,-0.1
043521,Athens City School District,88.9,86.2,86.6,2214.7097,3304,43516661.76,13172,633,12539,11.14,0.13
043539,Barberton City,79.4,75.3,78.1,3253.6324,4456,61821830.29,13873,891,12982,-7.23,-0.07
043547,Bay Village City,107.9,106.1,106.6,2327.1006,2699,41469161.75,15367,106,15260,8.34,0.09
043554,Beachwood City,106.3,105,106.3,1525.2086,1955,40040892.2,20477,306,20171,10.96,0.17
043562,Bedford City,65.4,63.5,63.5,2847.4075,4250,63655218.42,14977,949,14028,5.46,0.06
043570,Bellaire Local,89.8,88.2,89,1162.5512,1635,17990397.86,11004,1911,9093,-1.86,-0.02
043588,Bellefontaine City,84,82.2,83.3,2163.7995,2805,29684464.87,10583,615,9967,-4.1,-0.04
043596,Bellevue City,93.8,92,92.6,1664.9971,2115,24575509.27,11622,430,11193,1.47,0.02
043604,Belpre City,81.4,79.4,80,870.4516,1154,14061215.69,12187,940,11247,-2.05,-0.03
043612,Berea City,85.6,85.5,85.3,5049.8626,7147,86525277.42,12107,671,11436,3.43,0.03
043620,Bexley City,102.7,100.5,101.6,2481.9122,3109,52183605.49,16787,437,16350,19.03,0.21
043638,Bowling Green City School District,90.6,88.1,85,2454.6101,3187,41290840.05,12955,517,12438,14.5,0.16
043646,Brecksville-Broadview Heights City,106.4,106.8,106.5,3597.4444,4223,58634388.73,13883,202,13681,20.51,0.19
043653,Brooklyn City,79.8,76,76.9,1027.6706,1407,21537538.02,15313,794,14519,7.83,0.13
043661,Brunswick City,93.5,91.8,92.3,5727.3576,7119,89678057.23,12597,322,12275,3.86,0.03
043679,Bryan City,90.5,89,90.3,1734.4834,2431,26908551.84,11068,408,10659,-4.64,-0.05
043687,Bucyrus City,75.8,73.2,73.7,1003.9477,1434,18051235.14,12588,1080,11509,-1.41,-0.02
043695,Cambridge City,70.8,69.7,70.3,1790.3061,2569,28069851.6,10927,1052,9875,-8.9,-0.11
043703,Campbell City,73.9,70.6,68.6,1032.9556,1437,20413347.39,14210,1739,12471,0.89,0.02
043711,Canton City,62.8,58.5,57.7,7351.8676,10258,156704298.44,15276,1861,13415,-0.81,0
043729,Celina City,88.8,87.9,85.8,2576.3602,3205,37080389.78,11571,1218,10353,-3.71,-0.04
043737,Centerville City,96.6,95.4,96.2,7958.1639,9608,128693936.37,13394,381,13013,15.75,0.1
043745,Chillicothe City,73.2,71.6,70.9,2453.2239,3406,40917071.1,12012,1222,10790,-2.45,-0.02
043752,Cincinnati Public Schools,69,66.1,62.8,34389.6885,49935,697962700.69,13978,1489,12488,-2.98,-0.01
043760,Circleville City,78.6,76.3,77.4,2032.6849,2926,32384334.31,11066,720,10346,-3.33,-0.03
043778,Claymont City,82.6,81,81.6,1503.9459,2042,24394843.74,11946,721,11225,-2.02,-0.02
043786,Cleveland Municipal,59.6,55.8,55.3,33398.8674,54002,811488003.59,15027,1379,13648,20.78,0.07
043794,Cleveland Heights-University Heights City,74.6,69.2,70.6,4863.3068,7186,129407499.89,18008,945,17064,-0.68,0
043802,Columbus City Schools District,60.7,57.1,56.3,46052.4116,69943,1128521954.89,16135,1352,14783,-7.62,-0.02
043810,Conneaut Area City,80.2,78.5,76.2,1558.905,2171,24463753.24,11269,1057,10212,2.7,0.04
