irn,district,county,tax_year,agricultural_value,residential_value,class1_value,mineral_value,industrial_value,commercial_value,railroad_value,class2_value,real_property_value,public_utility_value,total_value,class1_taxes_charged,class2_taxes_charged,real_property_taxes_charged,real_property_taxes_charged_with_jvsd,public_utility_taxes_charged,class1_rate,class2_rate,real_property_millage,public_utility_millage,value_per_pupil,adm
000442,Manchester Local SD,Adams,2021,17834990,38770670,56605660,0,4378730,2291420,0,6670150,63275810,21957430,85233240,1132113,176758,1308871,1308871,581871,20,26.4999,20.6852,26.5,,
000442,MANCHESTER LSD,Adams,2022,20766290,48859820,69626110,0,298780,5731650,0,6030430,75656540,23452120,99108660,1392522,159806,1552328,1552328,621481,20,26.4999,20.5181,26.5,143827.5344,689.0799
000442,MANCHESTER LSD,Adams,2023,20545490,49498470,70043960,0,166270,6158810,0,6325080,76369040,26966600,103335640,1400879,167614,1568493,1568493,714614,20,26.5,20.54,26.5,146268.3737,706.4797
000442,MANCHESTER LSD,Adams,2024,21115080,49823200,70938280,0,150030,6387680,0,6537710,77475990,32606150,110082140,1418765,166992,1585757,1585757,864062,20,25.5429,20.4677,26.5,154701.9652,711.5756
043489,Akron City SD,Summit,2021,591020,1775762130,1776353150,296300,100921800,731916460,533020,833667580,2610020730,174372860,2784393590,83038292,46708143,129746435,129746435,13252337,46.7465,56.0273,49.7109,76,,
043489,AKRON CSD,Summit,2022,606460,1779937490,1780543950,435710,105190980,705150700,560110,811337500,2591881450,185561240,2777442690,83154785,45390519,128545304,128545304,14102654,46.7019,55.9453,49.5954,76,106521.1949,26074.085
043489,AKRON CSD,Summit,2023,720550,2507280670,2508001220,413340,97843710,686293320,611280,785161650,3293162870,194570510,3487733380,86308598,43446370,129754968,129754968,14787358,34.41,55.33,39.4,76,131731.31,26476.1155
043489,AKRON CSD,Summit,2024,642790,2503985870,2504628660,383700,97613930,677461960,683020,776142610,3280771270,223588210,3504359480,105350943,48520943,153871886,153871886,18691974,42.0625,62.5155,46.9011,83.6,131208.755,26708.2748
043497,Alliance City SD,Stark,2021,832460,213905590,214738050,74710,9628350,57188390,128720,67020170,281758220,30154280,311912500,5712031,2145052,7857083,7857083,1613253,26.6,32.0061,27.8859,53.5,,
043497,ALLIANCE CSD,Stark,2022,782940,215663730,216446670,86110,9719160,56576770,135320,66517360,282964030,29601990,312566020,5757479,2160110,7917589,7917589,1583705,26.6,32.4744,27.9809,53.5,105270.7364,2969.1634
043497,ALLIANCE CSD,Stark,2023,880030,218411970,219292000,96550,10100820,56805660,147050,67150080,286442080,32847900,319289980,5789307,2152239,7941546,7941546,1750792,26.4,32.05,27.72,53.3,110207.3287,2897.1756
043497,ALLIANCE CSD,Stark,2024,1090750,288567930,289658680,81660,21577580,75596240,139690,97395170,387053850,35613680,422667530,7212499,2425138,9637637,9637637,1844787,24.9,24.9,24.9,51.8,145968.7767,2895.6023
043505,Ashland City SD,Ashland,2021,21655760,372727410,394383170,31540,35804880,104725510,197150,140759080,535142250,96894420,632036670,11361942,5179019,16540961,17655653,5910559,28.8094,36.7935,30.9095,61,,
043505,ASHLAND CSD,Ashland,2022,21211690,373830630,395042320,20840,31493970,130253920,194650,161963380,557005700,99680480,656686180,11375283,5905217,17280500,18425980,6080508,28.7951,36.4602,31.0239,61,197978.1083,3316.9636
043505,ASHLAND CSD,Ashland,2023,36168740,509208670,545377410,40460,32575500,115555970,190390,148362320,693739730,99947480,793687210,12010682,5323729,17334411,18746252,6096795,22.02,35.88,24.99,61,239976.1759,3307.3584
043505,ASHLAND CSD,Ashland,2024,36865560,510306400,547171960,28530,35274330,120659800,197790,156160450,703332410,110838710,814171120,12050367,5368780,17419147,18842662,6761160,22.023,34.3799,24.7666,61,252637.924,3222.6797
043513,Ashtabula Area City SD,Ashtabula,2021,26304570,304958190,331262760,36910,26080440,60097870,4693240,90908460,422171220,50150710,472321930,6979606,2650527,9630133,10513512,2021073,21.0697,29.156,22.811,40.3,,
043513,ASHTABULA AREA CSD,Ashtabula,2022,25783120,306420660,332203780,32800,26132750,59005490,4966080,90137120,422340900,54724270,477065170,6993819,2643586,9637405,10521549,2205388,21.0528,29.3285,22.819,40.3,126225.0335,3779.4814
043513,ASHTABULA AREA CSD,Ashtabula,2023,35206630,402724040,437930670,37620,26115850,60261610,5420500,91835580,529766250,58964880,588731130,8758613,2692628,11451241,12550281,2376284,20,29.32,21.62,40.3,158322.8836,3718.5473
043513,ASHTABULA AREA CSD,Ashtabula,2024,34973870,403243330,438217200,42310,28298900,61408600,5247310,94997120,533214320,63921160,597135480,8778060,2771493,11549553,12656421,2576022,20.0313,29.1745,21.6602,40.3,164397.7772,3632.2601
043521,Athens City SD,Athens,2021,24943740,386693700,411637440,192370,1758080,202983620,333620,205267690,616905130,57379160,674284290,10513220,5242536,15755756,16993467,3013553,25.54,25.54,25.54,52.52,,
043521,ATHENS CSD,Athens,2022,24804880,387196070,412000950,191950,1758080,203110180,329040,205389250,617390200,68718260,686108460,10485877,5252193,15738070,16972850,3602898,25.4511,25.5719,25.4913,52.43,293551.5108,2337.2677
043521,ATHENS CSD,Athens,2023,28657190,463766200,492423390,190810,1778870,206878060,358010,209205750,701629140,73343730,774972870,12231797,5196670,17428467,18831725,3800672,24.84,24.84,24.84,51.82,326006.3158,2377.1713
043521,ATHENS CSD,Athens,2024,28661710,465269550,493931260,194870,1782620,207390820,351660,209719970,703651230,77071070,780722300,12255274,5203152,17458426,18866847,3991510,24.8117,24.81,24.8112,51.79,334577.272,2333.4589
043539,Barberton City SD,Summit,2021,393230,298712420,299105650,1650,24495210,52519550,335880,77352290,376457940,19809590,396267530,11463882,3591257,15055139,15055139,1204621,38.3272,46.4273,39.9916,60.81,,
