school_year,census_year,october_year,district_irn,district_name,census_poverty,neglected,delinquent,foster,tanf,total_formula_count,population_5_to_17,title1_share
2023-2024,2021,2022,000442,Manchester Local School District,206,0,,21,0,227,811,0.279901356350185
2023-2024,2021,2022,043489,Akron City School District,8128,0,,103,53,8284,27548,0.300711485407289
2023-2024,2021,2022,043497,Alliance City School District,799,0,,11,2,812,3132,0.259259259259259
2023-2024,2021,2022,043505,Ashland City School District,482,0,,39,0,521,3815,0.136566186107471
2023-2024,2021,2022,043513,Ashtabula Area City School District,1179,0,,7,2,1188,4158,0.285714285714286
2023-2024,2021,2022,043521,Athens City School District,544,0,,16,2,562,2673,0.210250654695099
2023-2024,2021,2022,043539,Barberton City School District,885,0,,92,6,983,3680,0.267119565217391
2023-2024,2021,2022,043547,Bay Village City School District,90,0,,5,0,95,3010,0.03156146179402
2023-2024,2021,2022,043554,Beachwood City School District,148,0,,5,1,154,2364,0.065143824027073
2023-2024,2021,2022,043562,Bedford City School District,830,17,,114,3,964,3794,0.254085397996837
2023-2024,2021,2022,043570,Bellaire Local School District,349,0,,0,0,349,1292,0.270123839009288
2023-2024,2021,2022,043588,Bellefontaine City School District,490,0,,26,0,516,2885,0.178856152512998
2023-2024,2021,2022,043596,Bellevue City School District,258,0,,7,1,266,2329,0.114212108200945
2023-2024,2021,2022,043604,Belpre City School District,271,0,,8,1,280,1261,0.222045995241871
2023-2024,2021,2022,043612,Berea City School District,836,37,,131,3,1007,6850,0.147007299270073
2023-2024,2021,2022,043620,Bexley City School District,118,0,,0,1,119,2877,0.041362530413625
2023-2024,2021,2022,043638,Bowling Green City School District,418,0,,8,2,428,3602,0.1188228761799
2023-2024,2021,2022,043646,Brecksville-Broadview Heights City School District,243,0,,1,1,245,4658,0.05259768140833
2023-2024,2021,2022,043653,Brooklyn City School District,285,0,,9,1,295,1558,0.189345314505777
2023-2024,2021,2022,043661,Brunswick City School District,548,0,,15,3,566,7861,0.072001017682229
2023-2024,2021,2022,043679,Bryan City School District,301,0,,3,0,304,2145,0.141724941724942
