irn,district,enrolled_adm_fy24,headcount_kindergarten,headcount_grades_1_3,headcount_grades_4_8,headcount_grades_9_12
045187,Ada Exempted Village (045187) - Hardin County,847.8230,68,202,349,229
061903,Adams County Ohio Valley Local (061903) - Adams County,3273.8026,245,766,1215,1126
049494,Adena Local (049494) - Ross County,1067.8596,78,266,455,297
043489,Akron City (043489) - Summit County,19094.5748,1528,4588,7348,5933
045906,Alexander Local (045906) - Athens County,1400.5706,117,358,539,383
045757,Allen East Local (045757) - Allen County,1003.5369,101,219,422,258
043497,Alliance City (043497) - Stark County,2592.6485,191,586,995,929
046847,Amanda-Clearcreek Local (046847) - Fairfield County,1453.2647,127,362,557,419
045195,Amherst Exempted Village (045195) - Lorain County,3493.8542,256,780,1410,1050
049759,Anna Local (049759) - Shelby County,1081.9378,91,256,434,300
046623,Ansonia Local (046623) - Darke County,690.5768,49,168,264,212
048207,Anthony Wayne Local (048207) - Lucas County,3932.1055,216,925,1710,1283
048991,Antwerp Local (048991) - Paulding County,596.1966,47,133,232,173
047415,Arcadia Local (047415) - Hancock County,581.5033,39,134,210,200
046631,Arcanum-Butler Local (046631) - Darke County,1049.4693,90,265,388,307
047043,Archbold-Area Local (047043) - Fulton County,1134.9384,81,258,449,338
047423,Arlington Local (047423) - Hancock County,598.7093,61,148,222,164
043505,Ashland City (043505) - Ashland County,2901.7068,205,677,1184,858
043513,Ashtabula Area City (043513) - Ashtabula County,2698.2555,208,591,1107,845
043521,Athens City School District (043521) - Athens County,2233.8287,167,505,894,670
049171,Aurora City (049171) - Portage County,2819.3417,198,636,1149,961
048298,Austintown Local Schools (048298) - Mahoning County,4109.7154,335,926,1578,1228
048124,Avon Lake City (048124) - Lorain County,3296.3372,209,733,1370,1066
048116,Avon Local (048116) - Lorain County,4133.7908,234,934,1705,1386
046706,Ayersville Local (046706) - Defiance County,662.1700,50,135,280,207
043539,Barberton City (043539) - Summit County,3228.3032,245,757,1240,1186
045203,Barnesville Exempted Village (045203) - Belmont County,1229.0851,87,283,523,364
046300,Batavia Local (046300) - Clermont County,2288.5314,176,534,938,657
045765,Bath Local (045765) - Allen County,1603.6758,120,379,677,434
043547,Bay Village City (043547) - Cuyahoga County,2318.8431,161,509,892,745
043554,Beachwood City (043554) - Cuyahoga County,1365.5798,89,281,532,573
046425,Beaver Local (046425) - Columbiana County,1679.9952,114,380,680,517
047241,Beavercreek City (047241) - Greene County,7527.1837,526,1887,3126,2087
043562,Bedford City (043562) - Cuyahoga County,2633.9287,188,594,1003,948
043570,Bellaire Local (043570) - Belmont County,1084.8568,94,246,434,287
047274,Bellbrook-Sugarcreek Local (047274) - Greene County,2559.0618,190,605,1073,819
043588,Bellefontaine City (043588) - Logan County,2117.3309,172,497,815,652
043596,Bellevue City (043596) - Huron County,1706.1468,121,406,670,526
043604,Belpre City (043604) - Washington County,892.9651,73,223,354,245
