irn,district,base_cost_enrolled_adm,school_buildings,adm_kindergarten,adm_grades_1_3,adm_grades_4_8_non_cte,adm_grades_9_12_non_cte,adm_cte,adm_grades_9_12_total,funded_classroom_teachers,funded_special_teachers,teacher_base_cost,aggregate_base_cost,base_cost_per_pupil,temp_transitional_aid_guarantee,enrolled_adm_fy24,enrolled_adm_fy25,enrolled_adm_fy26,assessed_valuation_per_pupil_fy23,core_foundation_funding,base_cost_state_share,total_state_support,total_transfers,service_center_charge,other_adjustments,net_state_funding,capacity_per_pupil,state_share_percentage,valuation_ty25,valuation_ty24,valuation_ty23,agi_ty24,agi_ty23,agi_ty22,tax_returns,federal_median_income,statewide_median_income,benchmark_ratio,capacity_rate,targeted_assistance,special_education,dpia,english_learners,gifted,career_technical,sped_adm_cat1,sped_adm_cat2,sped_adm_cat3,sped_adm_cat4,sped_adm_cat5,sped_adm_cat6,sped_aid_cat1,sped_aid_cat2,sped_aid_cat3,sped_aid_cat4,sped_aid_cat5,sped_aid_cat6,dpia_econ_disadvantaged_adm,dpia_directly_certified_adm,dpia_weighted_adm,dpia_percentage,dpia_index,cte_fte_cat1,cte_fte_cat2,cte_fte_cat3,cte_fte_cat4,cte_fte_cat5,cte_aid_cat1,cte_aid_cat2,cte_aid_cat3,cte_aid_cat4,cte_aid_cat5,cte_associated_services,el_adm_cat1,el_adm_cat2,el_adm_cat3,el_aid_cat1,el_aid_cat2,el_aid_cat3,gifted_adm_k6,gifted_fte_k8,gifted_fte_9_12,gifted_identification,gifted_referral,gifted_professional_development,gifted_coordinator_units,gifted_coordinator_aid,gifted_specialist_k8_units,gifted_specialist_k8_aid,gifted_specialist_9_12_units,gifted_specialist_9_12_aid,ta_open_enrollment_in,ta_open_enrollment_out,ta_fy19_wealth_index,ta_fy19_enrolled_adm,ta_fy19_total_adm,ta_property_valuation,ta_federal_gross_income,ta_weighted_wealth,ta_capacity_index,ta_capacity_amount,ta_wealth_per_pupil,ta_wealth_index,ta_wealth_amount,ta_supplemental,ta_supplement_eligible,categorical_enrolled_adm,county,performance_stars,performance_progress,performance_progress_prior,performance_eligible,performance_supplement,base_funding_supplement,enrolled_adm_fy23,enrollment_change_three_year,growth_supplement_eligible,enrollment_growth_supplement,trans_public_riders,trans_nonpublic_riders,trans_community_riders,trans_weighted_riders,trans_mass_transit_riders,trans_other_riders,trans_bus_miles,trans_assigned_buses,trans_rider_capacity_target,trans_efficiency_index,trans_district_density,trans_square_miles,trans_reported_sped_cost,trans_school_bus,trans_mass_transit,trans_other,trans_efficiency,trans_density,trans_fy21_base,trans_guarantee,trans_total,trans_special_education,funding_base,funding_base_econ_dis,open_enrollment_fte_prior,open_enrollment_fte_current,open_enrollment_threshold,open_enrollment_adjustment,fy21_funding_base,formula_transition_supplement,prek_sped_adm_cat1,prek_sped_adm_cat2,prek_sped_adm_cat3,prek_sped_adm_cat4,prek_sped_adm_cat5,prek_sped_adm_cat6,prek_sped_aid_cat1,prek_sped_aid_cat2,prek_sped_aid_cat3,prek_sped_aid_cat4,prek_sped_aid_cat5,prek_sped_aid_cat6,prek_sped_total
000442,Manchester Local,673.6075,2,48.8734,140.7566,252.252,198.914,32.8116,224.8101,27.84,6,3327619.91,6259667.94,9292.75,0,687.2855,688.0377,645.4995,150353.3,9595722.6,4320398.88,10450319.55,-660002.77,-95414.43,-564588.34,9790316.78,2599.6391,0.7202506,128981594.13,110082140,103335640,92787219.74,87956500,83490169,1660,42382.2075,54546.6375,1.46503636,0.0174822815,3635227.09,804446.08,619727.78,0,74588.16,141334.62,10.9174,105.1716,6,1,10.8064,7.0773,15780.28,385755.88,52872.17,11760.45,172106.42,166170.88,677.3963,337.307,558.365,0.865012,2.63008815,23.715089,6.198714,0,2.806678,0,104877.03,25982.99,0,3645.95,0,6828.65,0,0,0,0,0,0,331.302967,16.251693,18.061901,5726.91,1162.3,0,0.5,30890.11,0.3,19312.37,0.3,17496.47,68.245204,62,0.873792992,830.29,812.37,114133124.71,88077962.9136,103711059.9914,3.78119081,2307521.97,162237.57,1.70557886,1327705.11,0,0,645.499459,Adams,3.5,3,3,1,29370.23,25819.98,686.965048,-0.060360551,0,0,386,0,0,386,0,1,615,7,31.935,1.7267,3.356522,115,82621.35,547517.8,0,668.59,82127.67,103033.72,239508.35,0,733347.77,54596.26,3512229.3,775614.95,68.671833,68.245204,20,0,3968132.45,0,1.270677,1,0,0,0,0,5812.27,5650.43,0,0,0,0,11462.7
043489,Akron City,19005.5028,42,1498.5974,4579.4007,7104.6195,4743.7042,1079.181,5598.5479,793.87,126.7,90523258.27,155649116.02,8189.69,0,19094.5748,19079.4848,18842.4489,182655.72,181169882.72,98246212.85,195858984.2,-1763993.53,-130669.5,-1633324.03,194094990.67,2989.3963,0.6349803,3502561778,3504359480,3487733380,4211040596.69,4020497718,3856586968,76489,39287.85,54546.6375,1.46503636,0.0162058867,33608935.83,23603794.64,19117035.68,2184002.68,1278225.86,3131675.18,107.348,2781.1305,254.6052,13.474,173.0167,479.5679,136793.47,8993150.85,1977970.13,139700.12,2429299.18,9926880.89,19077.4128,12087.8079,16631.05,0.880301,2.72388288,362.660347,248.691463,171.880376,201.645865,132.769185,1413944.36,919020.04,231694.75,230932.26,130449.12,205634.64,415.174479,1800.224676,437.635892,457139.44,1485698.6,241164.63,10452.867403,1229.174739,759.229756,159296.76,29990.83,0,5.7249845,311817.41,8.77981956,498283.46,5.42306969,278837.4,307.693238,1253.113987,1.686436555,20610.87,26278.44,3498218212.67,4029375094.2311,3710680965.2925,0.10568176,0,187050.38,1.47932856,33608935.83,0,1,18892.448853,Summit,3.5,4,2,1,982407.34,755697.95,19437.845781,-0.028058507,0,0,2842,580,754,5133,1840,193,7293.5,93,57.3988,0.7823,75.927273,55,7287400.05,5724476.6,861140.7,129037.39,0,0,4130820.03,0,6714654.69,4245412.35,152615894.06,19968882.55,389.605817,307.693238,38.96,353998.4,161984606.21,0,18.017081,159.998072,6.392858,0,16.922716,58.290774,80919.85,870411.24,48818.29,0,180629.1,810150.67,1990929.15
043497,Alliance City,2588.5818,5,202.7844,584.7306,973.2946,727.0066,100.7657,812.6898,107.02,17.26,12220939.79,21139149.97,8166.31,0,2592.6485,2586.2025,2586.8944,123152.05,26490615.19,14747160.92,28783717.06,-3499.25,-87000,83500.75,28780217.81,2465.5871,0.6980782,423707587.4,422667530,319289980,482867690.15,453194124,429248184,8938,39240.99,54546.6375,1.46503636,0.0161865574,5559154.54,3197614.44,2365063.3,7093.89,191155.04,423373.06,39.0655,397.5016,11.3514,2,12.8882,62.0083,54727.86,1413101.02,96949.83,22796.83,198943.73,1411095.17,2583.3811,1492.3128,2201.51,0.851024,2.54571426,67.678881,24.697561,0,9.760456,0,290087.65,100337.2,0,12288.79,0,20659.42,1.111765,5,2,1345.78,4536.47,1211.64,1404.936178,158.26485,113.014075,23538.13,4514.64,0,0.78390741,46939.09,1.13046321,70532.8,0.80724339,45630.39,203.518476,312.315873,1.777453716,2732,3039.89,388555032.47,455103332.7162,415174352.5665,0.94454608,0,154014.03,1.79664781,5559154.54,0,0,2586.894448,Stark,3,2,2,0,0,103475.78,2650.728397,-0.024081663,0,0,1338,45,0,1428,0,0,1060,18,60.2833,1.2745,115.25,12,361256.7,1332970.4,0,0,109770.11,0,1295395.03,0,1442740.51,231369.98,22741195.26,2798196.6,194.822108,203.518476,20,0,25036255.75,0,22.982456,38.498404,0,0,0,13.122807,104630.1,215427.24,0,0,0,195458.26,515515.6
043505,Ashland City,2816.7482,5,192.99,636.3529,1145.4098,830.1678,11.8278,797.0235,114.54,18.78,13109878.44,22816077.14,8100.15,1129518.87,2901.7068,2824.092,2724.4459,273524.26,10367835.29,7352571.24,13326953.99,-100072.15,-19805.5,-80266.65,13226881.84,5401.4066,0.3331717,818740605.4,814171120,793687210,842084841.67,812075855,799100766,12461,47995.9288,54546.6375,1.46503636,0.0197978913,1608584.8,926775.71,323170.24,16715.65,131260.9,8756.75,43.7941,223.2645,6.7229,4,13.86,33.8286,29281.6,378806.99,27404.32,21760.48,102109.01,367413.31,1321.8365,898.7767,1173.77,0.430829,0.65243297,0,0,3.877258,0,9.214866,0,0,2742.35,0,4750.52,1263.89,0,32.686103,8.86,0,14153.86,2561.78,1468.4239,270.73853,187.178436,11741.69,2269.27,0,0.82558968,23593.81,1.93384664,57586.51,1.33698883,36069.61,172.909315,219.628608,1.038513721,3070.32,3308.65,808866311.8,817753820.8907,812421315.4363,0.48269451,0,293169.57,0.94385297,1608584.8,0,0,2724.44594,Ashland,4,2,2,1,141671.19,108977.84,2972.541717,-0.083462505,0,0,1328,9,4,1352,0,0,1178,18,53.1234,1.4024,17.644737,76,286270.95,903930.3,0,0,109122.47,82929.43,601073.69,0,1095982.2,131321.04,11497354.16,156084.63,183.645993,172.909315,20,0,12632783.52,39447.16,19.599043,32.72353,0,1.205882,2.182353,5.711765,82276.23,153664.13,0,7848.7,16240.84,52170.51,312200.41
043513,Ashtabula Area City,2524.9482,6,182.8,568.8351,977.5779,795.7352,0,772.568,102.45,16.83,11729270.18,20418459.71,8086.68,2872886.96,2698.2555,2506.6577,2369.9313,218189.54,18724512.77,9847159.39,25158132.29,-441530.21,-19331,-422199.21,24716602.08,3931.6443,0.5138125,598190931.2,597135480,588731130,670878250.91,644171661,634742581,11650,41281.53,54546.6375,1.46503636,0.0170282619,3635579.66,2369081.38,2638511.88,112693.28,121487.18,0,30.9,407.5141,47.9887,1.2457,10.0971,50.3938,31862.08,1066295.39,301672.56,10451.13,114719.13,844081.09,2479.4759,1548.8581,2153.76,0.908786,2.90301511,0,0,0,0,0,0,0,0,0,0,0,5.954286,150.218079,15.86,5305.08,100316.1,7072.1,1278.189084,123.207094,103.016237,15761.99,3044.25,0,0.718161,31651.35,0.88005067,40415.04,0.73583026,30614.55,55.956625,638.302923,1.459240137,3260.98,3944.96,594685847.07,649930830.971,616783840.6284,0.63580023,0,208917.97,1.32448621,3635579.66,0,0,2369.931311,Ashtabula,2,2,2,0,0,94797.25,2842.402896,-0.166222595,0,0,1382,79,68,1642,0,0,1352,23,53.6381,1.2394,24.66129,62,1920065.7,1128147.9,0,0,81023.58,30687.22,1303743.31,63884.61,1303743.31,905123.35,21597399.73,3467447.24,62.371596,55.956625,20,0,23719456.03,818312.99,10.417405,47.356282,0,0,1.222222,11.535622,45560.81,243473.69,0,0,11459.87,138261.29,438755.66
043521,Athens City,2184.7173,5,163.6727,496.2264,855.5349,648.2125,21.0708,642.6231,89.16,14.56,10199194.35,17690381.79,8097.33,0,2233.8287,2176.0552,2144.2679,346925.83,8201589.08,5174268.61,10246564.35,-196752.86,-14924,-181828.86,10049811.49,5684.2637,0.298008,783630260.8,780722300,774972870,730340871.68,697062552,663677493,10789,43004.7,54546.6375,1.46503636,0.017739054,0,1384457.67,1455440.35,24288.28,123309.18,39825,19.3668,368.3571,29.0634,1,11,64.9054,11582.37,559019.79,105966.19,4865.96,72485.87,630537.49,2156.7939,715.5585,1652.36,0.770594,2.08726354,13.765653,6.512621,0,2.550005,0,25188.18,11295.03,0,1370.58,0,1971.21,23,18,21,11885.39,6971.79,5431.1,1157.579861,307.511752,222.308791,8279.23,1597.52,0,0.64977816,16609.59,2.19651251,58504.9,1.58791994,38317.94,175.955359,144.771391,0.763094738,2539.12,2474.81,779775143.6,697026972.2264,746675875.0506,0.52519617,0,353358.36,0.78308313,0,0,0,2144.267927,Athens,4,5,5,1,139377.42,85770.72,2256.197217,-0.04960971,0,0,1266,9,0,1284,0,0,1980,20,52.88,1.2056,14.325843,89,217508.55,1223699.4,0,0,75477.78,184063.64,607932.18,0,1483240.82,99777.67,7360002.38,172036.44,211.206385,175.955359,21.12,116462.41,8258727.81,0,3.130103,23.123591,0,0.988506,1.988506,11.305592,13033.12,106579.2,0,6159.01,14049.49,96987.83,236808.64
043539,Barberton City,3105.8882,5,238.942,699.0292,1171.9427,903.0832,92.8911,981.754,127.83,20.71,14606520.73,25373956.34,8169.63,0,3228.3032,3038.4862,3050.8752,166560.49,27102466.5,15666427.36,29503578.5,-11879.6,-22808.5,10928.9,29491698.9,3034.5651,0.6285548,543531613.7,541027430,537707770,626189679.99,590255175,562719436,11623,42218.73,54546.6375,1.46503636,0.0174148484,5853651.86,3519633.77,1514144.93,39518.4,208730.58,300359.6,50.4884,348.7375,34.5493,3.1534,19.687,86.2849,63686.23,1116277.15,265689.8,32364.12,273624.86,1767991.61,2316.5516,1749.2592,2118,0.694227,1.69406099,37.696732,24.471318,12.67403,15.957223,11.967541,145485.21,89516.76,16911.71,18089.87,11639.43,18716.62,11.776955,24.637156,12.017442,12836.13,20126.93,6555.35,1613.135874,187.920922,149.49494,24334.66,4794.11,0,0.92450765,49844.75,1.3422923,75408.6,1.067821,54348.45,115.413549,281.914964,1.789547611,3616.71,3929.64,540755604.57,593054763.6626,561675268.205,0.69818155,0,174575.54,1.5850386,5853651.86,0,0,3050.87523,Summit,2.5,2,2,0,0,122035.01,3322.914707,-0.081867728,0,0,1197,75,0,1347,0,0,1044,23,62.1967,0.8892,141.333333,9,1084874.7,1132137,0,0,0,0,890753.2,0,1132137,625618.73,25978571.34,1484520.91,104.554903,115.413549,20,0,28023070.19,0,24.824123,19.422929,1.006329,0.474684,2,19.683545,111337.2,105355.59,7646.4,4198.28,21209.92,271573.86,521321.26
043547,Bay Village City,2292.7586,4,161.2015,506.6986,895.5308,679.7516,49.5761,708.5926,93.84,15.29,10731180.87,18609077.29,8116.46,1714022.23,2318.8431,2279.0247,2280.4079,324041.87,2160952.87,1850893.09,5179919.72,-223178.04,-15476.5,-207701.54,4956741.68,10292.7065,0.1000005,940409783.3,935444210,751402250,1313646260.4,1277206614,1320728826,8014,98405.4675,54546.6375,1.46503636,0.025,0,245524.24,1686.07,2123.54,48920.87,11805.06,24.8933,144.4101,6,1,10.7753,41.1629,4995.68,73541.08,7340.84,1632.84,23826.68,134187.12,208.1075,130.1142,180.81,0.079288,0.02209739,5.405755,3.540069,0,0,33.56616,3319.18,2060.24,0,0,5193.83,1231.81,0,13,5,0,1689.62,433.92,1225.159187,440.919993,195.955332,2940.4,570.1,0,0.6910327,5927.43,3.14942852,28149.1,1.39968094,11333.83,0,0.942857,0.576960184,2361.97,2465.04,875752081.1,1303860566.8004,1046995475.3801,0.37454919,0,458936.65,0.602935,0,0,0,2280.407919,Cuyahoga,5,4,4,1,148226.51,91216.32,2347.689367,-0.028658582,0,0,701,132,0,965,0,0,436,8,64.0501,1.6257,166.6,5,318530.1,645186.9,0,0,96778.04,0,204321.44,0,741964.94,146119.27,3874975.1,878.33,0,0,20,0,4203838.04,0,14.351546,23.253521,0,1.091549,0,3.577465,56995.21,95822.98,0,5091.98,0,19507.41,177417.58
043554,Beachwood City,1413.176,4,83.1314,283.1474,551.2429,489.8427,5.8117,493.8089,56.98,9.42,6529372.39,11479505.91,8123.2,0,1365.5798,1393.5133,1413.176,649467.77,1483152.27,1147951.17,3036836.27,296255.7,-9821.5,306077.2,3333091.97,16824.5766,0.1000001,1057232074,1049900070,886900060,1240906712.95,1154331826,1109470026,6313,93925.1298,54546.6375,1.46503636,0.025,0,271216.94,11890.58,12764.14,34695.29,4634.16,13.1808,136.1356,18.4146,0,12.2514,45.8987,2645.17,69326.98,22529.67,0,27090.51,149624.61,249.0466,257.5627,252.03,0.178343,0.11179907,2.61056,3.256405,0,4.615181,0,1602.9,1895.15,0,832.38,0,303.73,31.943607,31.460281,36.136729,5539.14,4088.9,3136.1,686.249903,309.650721,149.34,1647,353.29,0,0.5,4288.8,2.21179086,19768.56,1.06671429,8637.62,0,1.163326,0.332271154,1432.83,1492.21,998010734.67,1168236188.3167,1066100916.1267,0.36783695,0,753780.13,0.36709507,0,0,0,1413.176046,Cuyahoga,5,5,5,1,91856.44,56527.04,1392.7518,0.01466467,0,0,732,325,0,1382,0,3,1594,26,67.3364,0.6037,211.4,5,686743.05,985139.8,0,2005.76,0,0,192230.18,0,987145.56,315029.55,116640.24,1537.19,0,0,20,0,414935.27,0,5.230337,11.202247,0,0,1,5.730337,20771.57,46162.15,0,0,4945.01,31246.68,103125.41
043562,Bedford City,2689.5544,7,185.7492,600.0659,1013.238,802.0607,88.4407,877.4223,110.53,17.93,12631975.58,21934123,8155.3,0,2633.9287,2706.8383,2689.5544,325011.52,11050301.6,6116396.45,13851716.58,-381752.09,-17576,-364176.09,13469964.49,5881.1668,0.278853,1026165958.8,1025988670,856057170,784926467.67,752312697,710711485,13637,44903.8322,54546.6375,1.46503636,0.0185224291,741047.2,1677909.24,2246708.52,55517.58,62866.48,149856.13,41.0317,399.3524,40.2556,4,11.9314,94.4659,22961.82,567102.89,137339,18212.76,73569.88,858722.89,2660.244,1405.3873,2221.04,0.825802,2.39705446,37.040145,43.010917,0,9.304021,9.247994,63419.09,69800.39,0,4679.3,3990.31,7967.04,25.277754,114.116472,8,12222.83,41358.75,1936,1392.213742,104.041066,84.683119,9317.35,1874.98,0,0.8150165,19494.29,0.74315047,18521.78,0.60487942,13658.08,0,53.703734,0.920272225,3126.93,3372.6,969403932.93,749316883.2244,881369113.0498,0.44493425,0,321285.51,0.86125568,741047.2,0,0,2689.554446,Cuyahoga,3,4,4,1,139856.83,107582.18,2607.236898,0.031572715,1,672388.61,1180,20,0,1220,0,0,1256,32,56.2304,0.6669,60,20,1705269.3,815676.7,0,0,0,0,554882.88,0,815676.7,782257.97,5353006.8,498733.09,0,0,20,0,6118091.71,0,10.634147,30.111344,1,0,1,10.852791,44080.48,137364.09,5526.36,0,6860.23,89821.54,283652.69
