general_assembly,bill,fiscal_year,kind,source,documents,fund_group,fund,line_item,title,amount
124,hb94,1999,actual,hb94-greenbook,1,,006,200689,Hazardous Waste Removal,1443401.00
124,hb94,1999,actual,hb94-greenbook,1,,017,200612,Base Cost Funding,666093028.00
124,hb94,1999,actual,hb94-greenbook,1,,017,200670,School Foundation-Basic Allowance,0.00
124,hb94,1999,actual,hb94-greenbook,1,,017,200671,Special Education,0.00
124,hb94,1999,actual,hb94-greenbook,1,,017,200672,Vocational Education,0.00
124,hb94,1999,actual,hb94-greenbook,1,,017,200682,Lease Rental Payments Reimbursemen,32780000.00
124,hb94,1999,actual,hb94-greenbook,1,,017,200694,Bus Purchase One-Time Supplement,7438958.00
124,hb94,1999,actual,hb94-greenbook,1,,018,200649,Disability Access Project,0.00
124,hb94,1999,actual,hb94-greenbook,1,,018,200669,Judgment Loan,0.00
124,hb94,1999,actual,hb94-greenbook,1,,020,200620,Vocational School Building Assistance,3199035.00
124,hb94,1999,actual,hb94-greenbook,1,,138,200606,Information Technology,3690021.00
124,hb94,1999,actual,hb94-greenbook,1,,309,200601,Educationally Disadvantaged,10292033.00
124,hb94,1999,actual,hb94-greenbook,1,,366,200604,Adult Basic Education,14042937.00
124,hb94,1999,actual,hb94-greenbook,1,,367,200607,School Food Services,8542551.00
124,hb94,1999,actual,hb94-greenbook,1,,368,200614,Veterans' Training,581395.00
124,hb94,1999,actual,hb94-greenbook,1,,369,200616,Vocational Education,4903904.00
124,hb94,1999,actual,hb94-greenbook,1,,370,200624,Education of Exceptional Children,11272070.00
124,hb94,1999,actual,hb94-greenbook,1,,371,200631,EEO Title IV,492337.00
124,hb94,1999,actual,hb94-greenbook,1,,374,200647,ESEA Consolidated Grants,95444.00
124,hb94,1999,actual,hb94-greenbook,1,,375,200652,Tech Assistance Education Mobility,0.00
124,hb94,1999,actual,hb94-greenbook,1,,376,200653,Job Training Partnership Act,3104937.00
124,hb94,1999,actual,hb94-greenbook,1,,377,200657,Sex Equity,0.00
124,hb94,1999,actual,hb94-greenbook,1,,378,200660,Math/Science Technology Investments,12770717.00
124,hb94,1999,actual,hb94-greenbook,1,,3C5,200661,Federal Dependent Care Programs,4812611.00
124,hb94,1999,actual,hb94-greenbook,1,,3D1,200664,Drug Free Schools,16606288.00
124,hb94,1999,actual,hb94-greenbook,1,,3D2,200667,Honors Scholarship Program,1606090.00
124,hb94,1999,actual,hb94-greenbook,1,,3E2,200668,AIDS Education Project,512294.00
124,hb94,1999,actual,hb94-greenbook,1,,3H9,200605,Head Start Collaboration Project,204732.00
124,hb94,1999,actual,hb94-greenbook,1,,3L6,200617,Federal School Lunch,142992604.00
124,hb94,1999,actual,hb94-greenbook,1,,3L7,200618,Federal School Breakfast,29217174.00
124,hb94,1999,actual,hb94-greenbook,1,,3L8,200619,Child and Adult Care Programs,45126533.00
124,hb94,1999,actual,hb94-greenbook,1,,3L9,200621,Vocational Education Basic Grants,41727897.00
124,hb94,1999,actual,hb94-greenbook,1,,3M0,200623,ESEA Title I,297852913.00
124,hb94,1999,actual,hb94-greenbook,1,,3M1,200678,ESEA Innovative Education,12202996.00
