workbook,irn,district,column,label_fiscal_year,enrolled_adm
2026,000442,Manchester Local,a,,688.03772
2026,000442,Manchester Local,b1,2023,695.656506
2026,000442,Manchester Local,b2,2024,687.285465
2026,000442,Manchester Local,b3,2025,688.03772
2026,043489,Akron City,a,,19079.522746
2026,043489,Akron City,b1,2023,19445.885539
2026,043489,Akron City,b2,2024,19094.574808
2026,043489,Akron City,b3,2025,19079.522746
2026,043497,Alliance City,a,,2586.205778
2026,043497,Alliance City,b1,2023,2665.203346
2026,043497,Alliance City,b2,2024,2592.648481
2026,043497,Alliance City,b3,2025,2586.205778
2026,043505,Ashland City,a,,2824.091956
2026,043505,Ashland City,b1,2023,2934.860293
2026,043505,Ashland City,b2,2024,2901.706814
2026,043505,Ashland City,b3,2025,2824.091956
2026,043513,Ashtabula Area City,a,,2506.657739
2026,043513,Ashtabula Area City,b1,2023,2916.971036
2026,043513,Ashtabula Area City,b2,2024,2698.25546
2026,043513,Ashtabula Area City,b3,2025,2506.657739
2026,043521,Athens City,a,,2176.055222
2026,043521,Athens City,b1,2023,2267.796716
2026,043521,Athens City,b2,2024,2233.82866
2026,043521,Athens City,b3,2025,2176.055222
2026,043539,Barberton City,a,,3038.489707
2026,043539,Barberton City,b1,2023,3341.101544
2026,043539,Barberton City,b2,2024,3228.303211
2026,043539,Barberton City,b3,2025,3038.489707
2026,043547,Bay Village City,a,,2279.024722
2026,043547,Bay Village City,b1,2023,2401.277858
2026,043547,Bay Village City,b2,2024,2318.84307
2026,043547,Bay Village City,b3,2025,2279.024722
2026,043554,Beachwood City,a,,1393.507805
2026,043554,Beachwood City,b1,2023,1403.960815
2026,043554,Beachwood City,b2,2024,1365.579785
2026,043554,Beachwood City,b3,2025,1393.507805
2026,043562,Bedford City,a,,2706.858967
2026,043562,Bedford City,b1,2023,2623.155561
2026,043562,Bedford City,b2,2024,2633.928695
2026,043562,Bedford City,b3,2025,2706.858967
2026,043570,Bellaire Local,a,,1127.323629
2026,043570,Bellaire Local,b1,2023,1094.399154
2026,043570,Bellaire Local,b2,2024,1084.856757
2026,043570,Bellaire Local,b3,2025,1127.323629
2026,043588,Bellefontaine City,a,,2097.179555
2026,043588,Bellefontaine City,b1,2023,2184.022709
2026,043588,Bellefontaine City,b2,2024,2117.330856
2026,043588,Bellefontaine City,b3,2025,2097.179555
2026,043596,Bellevue City,a,,1636.109674
2026,043596,Bellevue City,b1,2023,1746.830215
2026,043596,Bellevue City,b2,2024,1706.146777
2026,043596,Bellevue City,b3,2025,1636.109674
2026,043604,Belpre City,a,,881.499264
2026,043604,Belpre City,b1,2023,951.312891
2026,043604,Belpre City,b2,2024,892.965051
2026,043604,Belpre City,b3,2025,881.499264
2026,043612,Berea City,a,,4828.522935
2026,043612,Berea City,b1,2023,5231.043548
2026,043612,Berea City,b2,2024,4946.353386
2026,043612,Berea City,b3,2025,4828.522935
2026,043620,Bexley City,a,,2492.743482
2026,043620,Bexley City,b1,2023,2464.296255
2026,043620,Bexley City,b2,2024,2534.102086
2026,043620,Bexley City,b3,2025,2492.743482
2026,043638,Bowling Green City School District,a,,2384.773551
2026,043638,Bowling Green City School District,b1,2023,2450.468031
2026,043638,Bowling Green City School District,b2,2024,2389.377224
2026,043638,Bowling Green City School District,b3,2025,2384.773551
2026,043646,Brecksville-Broadview Heights City,a,,3411.755622
2026,043646,Brecksville-Broadview Heights City,b1,2023,3386.678767
2026,043646,Brecksville-Broadview Heights City,b2,2024,3434.992118
2026,043646,Brecksville-Broadview Heights City,b3,2025,3411.755622
2026,043653,Brooklyn City,a,,967.146695
2026,043653,Brooklyn City,b1,2023,1010.395209
2026,043653,Brooklyn City,b2,2024,972.173577
2026,043653,Brooklyn City,b3,2025,967.146695
2026,043661,Brunswick City,a,,5636.465049
2026,043661,Brunswick City,b1,2023,6187.328902
2026,043661,Brunswick City,b2,2024,5759.277212
2026,043661,Brunswick City,b3,2025,5636.465049
