fiscal_year,irn,district,enrolled_adm,special_education_1,special_education_2,special_education_3,special_education_4,special_education_5,special_education_6,english_learner_1,english_learner_2,english_learner_3,gifted_k_8,gifted_9_12,career_technical_1,career_technical_2,career_technical_3,career_technical_4,career_technical_5,school_buildings
2026,000442,Manchester Local,688.03772,15.494752,113.365485,6.574837,0.296722,8.972526,10.211183,0,0,0,16.251693,18.061901,23.715089,6.198714,0,2.806678,0,2
2026,043489,Akron City,19079.522746,108.623494,2806.490977,256.567366,14.156113,167.257816,449.041199,515.176346,1747.349159,359.032548,1229.174739,759.229756,360.530935,248.691463,171.880376,201.645865,131.859799,42
2026,043497,Alliance City,2586.205778,28.966632,405.525364,18.397744,4,14.980014,56.893669,3.874992,6,0,158.26485,113.014075,67.678881,24.697561,0,9.760456,0,5
2026,043505,Ashland City,2824.091956,49.035549,224.409208,4.912474,3.541248,15.350027,26.91371,9.681222,30.540453,5.107278,270.73853,187.178436,0,0,3.877258,0,9.214866,5
2026,043513,Ashtabula Area City,2506.657739,31.353137,433.674471,52.532129,1.933333,10.218182,48.469112,26.323978,161.172813,24.589455,123.207094,103.016237,0,0,0,0,0,6
2026,043521,Athens City,2176.055222,26.328578,352.483202,27.433159,2.788993,9.181258,72.397195,29.970419,34.676613,21.837684,307.511752,222.308791,13.765653,6.512621,0,2.550005,0,5
2026,043539,Barberton City,3038.489707,46.47093,357.889626,33.806961,6.377907,18.983109,81.069747,13.436047,22.678439,12,187.920922,149.49494,37.696732,24.471318,12.67403,15.957223,11.967541,5
2026,043547,Bay Village City,2279.024722,26.388572,144.934585,5.874286,1,11,36.594286,3,15.6,5,440.919993,195.955332,5.405755,3.540069,0,0,33.56616,4
2026,043554,Beachwood City,1393.507805,14.332968,118.695114,18.288399,0,13.01787,42.134883,36.678457,44.126695,29.066304,309.650721,149.34,2.61056,3.145918,0,0,0,4
2026,043562,Bedford City,2706.858967,40.657744,397.189173,35.142447,6.135204,13.827157,96.309129,61.209511,64.759642,8.328499,104.041066,84.683119,37.040145,43.010917,0,9.304021,9.247994,7
2026,043570,Bellaire Local,1127.323629,31.29081,169.083506,5.668586,2.713387,6,41.523254,0,0,0,70.756507,36.575128,0,0,0,0,0,3
2026,043588,Bellefontaine City,2097.179555,37.99225,238.135754,18.448857,0,12.909491,49.240421,12.241665,32.209187,18.369118,215.480252,87.839662,16.022614,0,0,0,8.259529,4
2026,043596,Bellevue City,1636.109674,36.513009,163.32688,10.432627,0,5.185426,39.119941,5.297363,2,0,104.144867,83.425637,21.652533,0,0,0,29.968733,3
2026,043604,Belpre City,881.499264,16.068298,118.043637,1.906469,0,3.945063,29.814369,0.499958,0.006126,0,57.831445,39.807508,0.087975,0,0,0,0,3
2026,043612,Berea City,4828.522935,95.050014,469.080657,55.007736,4.664706,15.611619,137.352679,57.029134,117.651554,48.015646,480.054902,260.712911,0,0,18.377481,0,33.053437,5
2026,043620,Bexley City,2492.743482,21.558139,237.489309,29.204421,2.616279,8.72093,62.528954,8.412793,20.386744,6.488372,582.617473,353.431198,2.717591,4.791738,0,8.941121,12.291617,6
2026,043638,Bowling Green City School District,2384.773551,28.435419,236.287458,32.258364,2.697863,10.86,57.086497,18.239603,35.594711,7,210.424833,80.635892,22.958031,2.414336,0,0,13.563002,5
2026,043646,Brecksville-Broadview Heights City,3411.755622,46.141537,206.088294,13.974989,0,19.584795,59.199666,34.909059,96.929825,34.51462,692.327437,423.299624,0,0,0,0,0,3
2026,043653,Brooklyn City,967.146695,3.742689,107.97957,7.947059,1,10.105073,19.437773,17.59751,105.254304,28.184846,44.779653,25.829746,0,0,0,0,0,2
2026,043661,Brunswick City,5636.465049,98.730914,474.993422,37.734087,3.088757,28.720185,119.771816,51.523437,97.382152,61.42136,645.993641,483.898056,0,0,0,0,0,8
2026,043679,Bryan City,1693.936351,29.486707,238.775233,20.144431,0,11.873236,27.413032,8.748715,22.804021,2,131.589173,81.313509,3.623811,7.25574,0,4.509369,9.112037,2
2026,043687,Bucyrus City,952.094076,22.44988,116.946642,8.665155,1.49702,4,40.98862,0.982119,4,1,79.073225,25.381021,2.169963,0,0,0,0,3
2026,043695,Cambridge City,1729.127084,55.825631,236.502212,8.283871,0,13.990481,45.37397,8.404799,5.452822,0,45.777814,32.53226,5.655935,8.48435,0,3.239231,12.212585,4
2026,043703,Campbell City,1009.476814,21.885398,121.37443,9.554883,1.848634,5,12.790701,21.990456,97.261362,27.475593,26.390026,11.023466,0,0,17.187001,0,0,3
2026,043711,Canton City,7025.541669,74.236432,794.176074,68.510446,3.264367,39.611217,139.057022,137.705938,380.628823,29.757898,265.502621,122.890803,143.355523,117.081001,11.19549,19.020758,20.863072,16
2026,043729,Celina City,2296.382001,32.875394,299.946667,18.760297,2,19.272032,31.236938,14.686163,88.206845,11,167.634571,107.490954,30.131426,9.012831,18.270462,7.895921,11.622249,4
2026,043737,Centerville City,7722.20589,73.499094,549.52885,46.722649,3.297938,40.753766,146.511775,73.329142,305.786635,86.445958,1177.086912,741.596308,117.98853,35.247101,37.477389,28.397802,18.32821,12
2026,043745,Chillicothe City,2400.215458,43.529056,258.146336,16.689715,0,15.285887,48.708141,4.031109,26.125757,2,118.601407,70.709484,5.452061,9.099618,0,0,0.248781,4
2026,043752,Cincinnati Public Schools,32446.401884,351.001136,4455.761228,529.454345,28.248575,364.780182,739.726785,703.764284,3194.917158,370.143374,2456.828906,1522.268467,391.855599,145.418072,0,39.414389,0,62
