workbook	model	calculation	variable	data_from
2026	2026	Base Cost	Average Salaries (s5a-s5j)	FY22
2026	2026	Base Cost	Average Annual Employer-Paid Insurance (s4)	FY22
2026	2026	Base Cost	Average Base Cost Per-Pupil for s6a-s6g	FY22
2026	2026	Base Cost	Base Cost Enrolled ADM (b)	Greater of FY25 or average of (FY25, 24, 23)
2026	2026	Base Cost	Number of School Buildings (a)	FY25
2026	2026	Base Cost	District Athletic Eligibility (E1)	FY26
2026	2026	Summary SFPR	General phase-in %	0.83330000000000004
2026	2026	Summary SFPR	DPIA phase-in %	0.83330000000000004
2026	2026	Detailed SFPR	Enrolled ADM (a)	FY26 (Aug #1)
2026	2026	Detailed SFPR	Categorical FTEs (b-g)	FY26 (Aug #1)
2026	2026	Detailed SFPR	Statewide Average Base Cost Per Pupil (s1)	8241.61
2026	2026	Detailed SFPR	Statewide Average CTE Base Cost Per  Pupil (s2)	9855.6200000000008
2026	2026	Detailed SFPR	Minimum State Share Percentage	0.1
2026	2026	Detailed SFPR	Statewide Economically Disadvantaged Percentage	0.56599024499999995
2026	2026	Detailed SFPR	FY26 Directly Certified ADM	FY25 Directly Certified from December 2024
2026	2026	Detailed SFPR	SpEd, EL and CTE Weights	Same as FY22
2026	2026	Detailed SFPR	Performance Supplement data	Uses 2023-2024 and 2024-2025 report cards
2026	2026	Local Capacity, Targeted Assistance	Property Valuation	TY24, TY23, TY22
2026	2026	Local Capacity, Targeted Assistance	Income	TY23, 22, 21
2026	2026	Local Capacity, Targeted Assistance	Median Weighted Wealth	TY24, 23, 22
2026	2026	Local Capacity, Targeted Assistance	Number of state returns filed	TY23
2026	2026	Local Capacity, Targeted Assistance	Statewide Federal Median Income	51456
2026	2026	Local Capacity, Targeted Assistance	Statewide Median Weighted Wealth	362326436.80000001
2026	2026	Local Capacity, Targeted Assistance	Statewide Median Weighted Wealth Per-Pupil	253337.38
2026	2026	Transportation	Statewide Average  Per-Rider amount	$1,275.00 (estimated)
2026	2026	Transportation	Statewide Average Per-Mile amount	$7.06 (estimated)
2026	2026	Transportation	Transportation T-1 data	FY25
2026	2026	Transportation	Transportation T-2 data	FY24 with 5% Inflation Factor
2026	2026	Transportation	Special Education Transportation Proration Factor	1
2026	2026	Transportation	Rider Capacity Target	FY25
2026	2026	Transportation	Minimum State Share	0.45829999999999999
2026	2026	Pre-K Special Education	ADM	FY26 (Aug #1)
2026	2026	Pre-K Special Education	Proration Factor	0.96853811000000001
2026	2024	Base Cost	Average Salaries (s5a-s5j)	FY22
2026	2025	Base Cost	Average Salaries (s5a-s5j)	FY22
2026	2024	Base Cost	Average Annual Employer-Paid Insurance (s4)	FY22
