edition	fund	ali	name	legal_basis
2006	GRF	200100	Personal Services	ORC 3301.13; Section 206.09 of Am. Sub. H.B. 66 of the 126th G.A.
2006	GRF	200320	Maintenance and Equipment	ORC 3301.13; Section 206.09.03 of Am. Sub. H.B.66 of the 126th G.A. (originally established by Am. Sub. H.B. 282 of the 123rd G.A.)
2006	GRF	200406	Head Start	Discontinued line item
2006	GRF	200408	Early Childhood Education	Section 206.09.06 of Am. Sub. H.B. 66 of the 126th G.A.
2006	GRF	200410	Educator Training	Section 206.09.09 of Am. Sub. H.B. 66 of the 126th G.A.
2006	GRF	200411	Family and Children First	Discontinued line item; ORC 121.37 (originally established by Am. Sub. H.B. 152 of the 120th G.A.)
2006	GRF	200416	Career-Technical Education Match	Section 206.09.10 of Am. Sub. H.B. 66 of the 126th G.A. (originally established by Am. Sub. H.B. 191 of the 112th G.A.)
2006	GRF	200420	Computer/Application/Network Development	Section 206.09.12 of Am. Sub. H.B. 66 of the 126th G.A. (originally established by Am. Sub. H.B. 282 of the 123rd G.A.)
2006	GRF	200421	Alternative Education Programs	Section 206.09.12 of Am. Sub. H.B. 66 of the 126th G.A. (originally established by Am. Sub. H.B. 640 of the 123rd G.A.)
2006	GRF	200422	School Management Assistance	ORC 3301.073 and 3316; Section 206.09.12 of Am. Sub. H.B. 66 of the 126th G.A. (originally established by Am. H.B. 1285 of the 112th G.A.)
2006	GRF	200424	Policy Analysis	Section 206.09.12 of Am. Sub. H.B. 66 of the 126th G.A. (originally established by Am. Sub. H.B. 204 of the 113th G.A.)
2006	GRF	200425	Tech Prep Consortia Support	Section 206.09.12 of Am. Sub. H.B. 66 of the 126th G.A. (originally established by Controlling Board in FY 2001 and modified by Am. Sub. H.B. 94 of the 124th G.A.)
2006	GRF	200426	Ohio Educational Computer Network	ORC 3301.07; Section 206.09.12 of Am. Sub. H.B. 66 of the 126th G.A.
2006	GRF	200427	Academic Standards	ORC 3301.079; Section 206.09.12 of Am. Sub. H.B. 66 of the 126th G.A.
2006	GRF	200431	School Improvement Initiatives	ORC 3302.03 and 3302.04; Section 206.09.15 of Am. Sub. H.B. 66 of the 126th G.A. (originally established by Am. Sub. H.B. 111 of the 118th G.A.)
2006	GRF	200432	School Conflict Management	Discontinued line item (originally established by Sub. H.B. 715 of the 120th G.A.)
2006	GRF	200433	Reading/Writing Improvement - Professional Development	Section 206.09.15 of Am. Sub. H.B. 66 of the 126th G.A. (originally established by Am. Sub. H.B. 94 of the 124th G.A.)
2006	GRF	200437	Student Assessment	ORC 3301.0710, 3301.0711, and 3301.27; Section 206.09.15 of Am. Sub. H.B. 66 of the 126th G.A. (originally established by Am. Sub. H.B. 111 of the 118th G.A.)
2006	GRF	200438	Safe Schools	Discontinued line item
2006	GRF	200439	Accountability/Report Cards	ORC 3302.03; Section 206.09.15 of Am. Sub. H.B. 66 of the 126th G.A. (originally established by Am. Sub. H.B. 95 of the 125th G.A.)
2006	GRF	200441	American Sign Language	Discontinued line item (originally established by Am. Sub. H.B. 111 of the 118th G.A.)
2006	GRF	200442	Child Care Licensing	ORC 3301.52 through 3301.59; Section 206.09.15 of Am. Sub. H.B. 66 of the 126th G.A. (originally established by Controlling Board on October 16, 1995)
