edition,fund,ali,name,fiscal_year,kind,amount
2006,GRF,200100,Personal Services,2002,actual,10531142
2006,GRF,200100,Personal Services,2003,actual,10142648
2006,GRF,200100,Personal Services,2004,actual,11213947
2006,GRF,200100,Personal Services,2005,actual,11174342
2006,GRF,200100,Personal Services,2006,appropriation,9880406
2006,GRF,200100,Personal Services,2007,appropriation,10880655
2006,GRF,200320,Maintenance and Equipment,2002,actual,4367532
2006,GRF,200320,Maintenance and Equipment,2003,actual,3797203
2006,GRF,200320,Maintenance and Equipment,2004,actual,4989036
2006,GRF,200320,Maintenance and Equipment,2005,actual,4523134
2006,GRF,200320,Maintenance and Equipment,2006,appropriation,4344235
2006,GRF,200320,Maintenance and Equipment,2007,appropriation,4344235
2006,GRF,200406,Head Start,2002,actual,90945956
2006,GRF,200406,Head Start,2003,actual,88128462
2006,GRF,200406,Head Start,2004,actual,1945982
2006,GRF,200406,Head Start,2005,actual,0
2006,GRF,200406,Head Start,2006,appropriation,0
2006,GRF,200406,Head Start,2007,appropriation,0
2006,GRF,200408,Early Childhood Education,2002,actual,19645352
2006,GRF,200408,Early Childhood Education,2003,actual,18988832
2006,GRF,200408,Early Childhood Education,2004,actual,17825893
2006,GRF,200408,Early Childhood Education,2005,actual,18582811
2006,GRF,200408,Early Childhood Education,2006,appropriation,19002195
2006,GRF,200408,Early Childhood Education,2007,appropriation,19002195
2006,GRF,200410,Educator Training,2002,actual,20318867
2006,GRF,200410,Educator Training,2003,actual,22899551
2006,GRF,200410,Educator Training,2004,actual,23347712
2006,GRF,200410,Educator Training,2005,actual,27577601
2006,GRF,200410,Educator Training,2006,appropriation,19302057
2006,GRF,200410,Educator Training,2007,appropriation,19802057
2006,GRF,200411,Family and Children First,2002,actual,3610414
2006,GRF,200411,Family and Children First,2003,actual,3337000
2006,GRF,200411,Family and Children First,2004,actual,3324750
2006,GRF,200411,Family and Children First,2005,actual,3125265
2006,GRF,200411,Family and Children First,2006,appropriation,0
2006,GRF,200411,Family and Children First,2007,appropriation,0
2006,GRF,200416,Career-Technical Education Match,2002,actual,2514676
2006,GRF,200416,Career-Technical Education Match,2003,actual,2320440
2006,GRF,200416,Career-Technical Education Match,2004,actual,39269
2006,GRF,200416,Career-Technical Education Match,2005,actual,0
2006,GRF,200416,Career-Technical Education Match,2006,appropriation,2233195
2006,GRF,200416,Career-Technical Education Match,2007,appropriation,2233195
2006,GRF,200420,Computer/Application/Network Development,2002,actual,5444897
2006,GRF,200420,Computer/Application/Network Development,2003,actual,4777259
2006,GRF,200420,Computer/Application/Network Development,2004,actual,5423991
2006,GRF,200420,Computer/Application/Network Development,2005,actual,4418075
2006,GRF,200420,Computer/Application/Network Development,2006,appropriation,5361525
2006,GRF,200420,Computer/Application/Network Development,2007,appropriation,5361525
2006,GRF,200421,Alternative Education Programs,2002,actual,17916669
2006,GRF,200421,Alternative Education Programs,2003,actual,15463104
2006,GRF,200421,Alternative Education Programs,2004,actual,15304184
2006,GRF,200421,Alternative Education Programs,2005,actual,15136156
2006,GRF,200421,Alternative Education Programs,2006,appropriation,13907665
2006,GRF,200421,Alternative Education Programs,2007,appropriation,13732665
2006,GRF,200422,School Management Assistance,2002,actual,1357008
2006,GRF,200422,School Management Assistance,2003,actual,1488696
2006,GRF,200422,School Management Assistance,2004,actual,1822044
2006,GRF,200422,School Management Assistance,2005,actual,1623648
2006,GRF,200422,School Management Assistance,2006,appropriation,2683208
2006,GRF,200422,School Management Assistance,2007,appropriation,2710572
