irn,name,county,fiscal_year,unrestricted_aid,restricted_aid,property_tax,income_tax,property_tax_allocation,total_revenue,total_revenue_and_sources,total_expenditure,beginning_cash,ending_cash
000442,Manchester Local,Adams,2020,2758930,882635,2560695,0,1621613,9552360,9676086,10098802,6753196,6330480
000442,Manchester Local,Adams,2021,6616724,893703,1007393,0,1437006,11202681,11221102,10677371,6330480,6874211
000442,Manchester Local,Adams,2022,6492756,1105632,1159800,0,1251567,10829160,10854509,8883362,6874211,8845358
000442,Manchester Local,Adams,2023,6669803,1150952,1240582,0,1079705,11280441,11286818,9783668,8845358,10348508
000442,Manchester Local,Adams,2024,8230295,1349002,1295978,0,909281,13439160,13486750,10691094,10348508,13144164
000442,Manchester Local,Adams,2025,8208251,1329190,1349044,0,725810,13371432,13376732,12088475,13144164,14432421
043489,Akron City,Summit,2020,175445304,26506681,105646024,0,14079172,348410113,348462165,345231735,62100659,65331089
043489,Akron City,Summit,2021,177261112,26942244,105192445,0,13765272,348996926,349084135,311800406,65331089,102614818
043489,Akron City,Summit,2022,134994080,30672713,110659196,0,13435598,317395324,319277606,317593844,102614818,104298580
043489,Akron City,Summit,2023,141242855,35565374,114203270,0,13318175,331974513,342362493,351165814,104298592,95495272
043489,Akron City,Summit,2024,153766423,36572453,113430933,0,13002739,348665498,383507864,372418522,95495272,106584614
043489,Akron City,Summit,2025,158822219,34267532,127950351,0,13155184,365603595,365675612,383073891,106584614,89186335
043497,Alliance City,Stark,2020,23105255,3080002,7788259,0,960915,37163493,37460044,37405394,10018514,10073164
043497,Alliance City,Stark,2021,22999523,3424026,7783625,0,933598,37439879,37943669,35000404,10073164,13016429
043497,Alliance City,Stark,2022,21711059,4134695,8190749,0,943367,36027827,36027827,33031057,13016429,16013199
043497,Alliance City,Stark,2023,21726658,4971302,8684474,0,988617,37948089,37948089,40545784,16013197,13415502
043497,Alliance City,Stark,2024,23142366,5310232,8626395,0,967657,39936730,39936730,38880694,13415502,14471538
