channel,enrollment,parent
Community Schools,116973,
Inter-District Open Enrollment,79006,
Public Vouchers for Private School,150914,
EdChoice Scholarship,41234,Public Vouchers for Private School
EdChoice Expansion,88095,Public Vouchers for Private School
Cleveland Scholarship,8028,Public Vouchers for Private School
Jon Peterson Special Needs,8551,Public Vouchers for Private School
Autism Scholarship,5006,Public Vouchers for Private School
Home School,53051,
Chartered Private Schools,173156,
Joint Vocational School Districts,49524,
Brick-and-Mortar Community Schools,83959,Community Schools
Online Community Schools,33014,Community Schools
Total Enrollment,1665521,
