irn,district,county,opportunity_grant,targeted_assistance,k3_literacy,economic_disadvantaged,limited_english_proficiency,gifted,transportation,special_education_additional,capacity_aid,graduation_bonus,third_grade_reading_bonus,transitional_guarantee,career_technical,total_foundation_funding,funding_before_guarantee,funding_within_guarantee,guarantee_base,cap_ratio
000442,Manchester Local SD,Adams,1917736.84,218222.82,48538,776079.96,0,50094.38,239508.35,384565.37,0,9673.12,6191.7,0,61842.09,3712452.63,3712452.63,3650610.54,1505222.52,1
043489,Akron City SD,Summit,114481978.55,26692814.2,2264682.96,22125428.57,1610223.83,1195882.87,4130820.03,23929956.4,0,277303.8,92313.5,0,4038041.62,200839446.33,200839446.33,196801404.71,187756758.73,1
043497,Alliance City SD,Stark,14351482.12,3898714.66,235651.68,2802321.98,7766.32,151009.09,1295395.03,2651169.09,0,62329.54,19870.34,0,348848.19,25824558.04,25824558.04,25475709.85,24027201.91,1
043505,Ashland City SD,Ashland,9483856.37,1026267.98,212180.32,163719.58,12104.85,155497.68,601073.69,1040517.33,0,50875.5,26590.22,103445.25,80152.87,12956281.64,12852836.39,12772683.52,12876128.77,1
043513,Ashtabula Area City SD,Ashtabula,14785881.57,3297524.44,295977.53,3470431.13,145809.32,189764.1,1303743.31,3411195.21,0,44634.78,10053.2,0,25076.93,26980091.52,26980091.52,26955014.59,26134263.04,1
043521,Athens City SD,Athens,4891873.84,0,147403.53,172138.29,42371.08,120283.58,607932.18,1025505.89,0,24434.25,12934.34,559196.58,32651.76,7636725.32,7077528.74,7044876.98,7604073.56,1
043539,Barberton City SD,Summit,17494518.44,5062775.7,296641.93,1501184.69,21753.47,194387.88,890753.2,3490821.6,0,66326.39,37065.81,0,339865.99,29396095.1,29396095.1,29056229.11,28125180.92,1
043547,Bay Village City SD,Cuyahoga,3060953.51,0,103069.42,889.45,1437.02,120113.29,204321.44,378956.13,0,18964.55,15425.86,551533.52,28755.83,4484420.02,3932886.5,3904130.67,4455664.19,1
043554,Beachwood City SD,Cuyahoga,450657.2,0,51730.22,1548.06,6384.83,77065.12,192230.18,101755.02,0,3049.93,1382.72,140556.28,3511.54,1029871.1,889314.82,885803.28,1026359.56,1
043562,Bedford City SD,Cuyahoga,4762806.94,361507.04,119130.75,551590.14,16095.27,103409.11,554882.88,1618319.95,0,28543.1,9506.98,0,156149.96,8281942.12,11614473.18,11458323.22,7504811.52,0.6396122298
043570,Bellaire Local SD,Belmont,4456907.3,708948.51,96863.1,228429.8,0,69002.24,669284.27,906690.86,297390.2,15808.11,13270.27,1903980.28,13752.33,9380327.27,7476346.99,7462594.66,9366574.94,1
043588,Bellefontaine City SD,Logan,9485218.84,1850218.95,193919.44,275677.86,38583.2,121918.97,679329.91,1629878.89,0,52740.58,18418.22,0,99460.57,14445365.43,14445365.43,14345904.86,14161770.15,1
043596,Bellevue City SD,Huron,5772313.66,1579826.12,120744.18,129214.21,1107.47,97074.48,658640.58,768169.28,0,36059.51,18753.67,362255.5,112395.99,9656554.65,9294299.15,9181903.16,9544158.66,1
043604,Belpre City SD,Washington,2604746.62,227927.54,65441.33,160249.84,0,53100.68,168740.98,436130.54,326437,13165.95,6776.94,0,12697.2,4075414.62,4494049.07,4481351.87,3829798.54,0.8914481049
043612,Berea City SD,Cuyahoga,6636031.83,0,195348.44,143699.15,32495.72,183792.32,1036058.72,2135929.85,0,54942.33,28263.4,0,33988.22,10480549.98,14324703.83,14290715.61,9333387.37,0.6516563421
043620,Bexley City SD,Franklin,3433831.97,0,127601.14,2576.82,5746.7,117656.02,53655.01,594491.44,0,18309.16,16279.6,0,14205.1,4384352.96,4645156.57,4630951.47,3899260.14,0.9339439375
043638,Bowling Green City SD,Wood,5842011.75,119678.28,166918.17,280572.52,19620.59,147708.11,609494.52,1042824.26,0,29867.62,15422.8,49866.77,5864.99,8329850.38,8279983.61,8274118.62,8323985.39,1
043646,Brecksville-Broadview Height,Cuyahoga,1309190.81,0,117317.65,6068.41,5790.1,182930.64,502640.08,162391.38,0,9317.02,4936.07,2417798.41,2903.29,4721283.86,2303485.45,2300582.16,4718380.57,1
