irn,district,county,foundation_base,foundation_calculated,foundation_phase_in,foundation_state_funding,temporary_transitional_aid_guarantee,supplemental_targeted_assistance,transportation,formula_transition_supplement,total_formula_funding,preschool_special_education,special_education_transportation,total_state_support,net_state_funding,open_enrollment_adjustment
000442,Manchester Local,Adams,3512229.3,9902942.89,4260688.75,7772918.05,0,0,750549.27,0,8523467.32,10685.49,39445.44,8573598.25,7900093.93,0
043489,Akron City,Summit,152615894.06,187542631.13,23285655.6,175901549.66,0,2343437.96,6942213.77,0,185187201.39,1904562.76,4324074.35,191415838.5,189595705.78,0
043497,Alliance City,Stark,22741195.26,27657040.93,3277394.31,26018589.57,0,0,1417115.19,0,27435704.76,491682.22,198195.78,28125582.76,28344581.68,0
043505,Ashland City,Ashland,11497354.16,12957989.72,973805.73,12471159.89,0,0,886047.49,0,13357207.38,308854.77,81266.19,13747328.34,13616992.24,0
043513,Ashtabula Area City,Ashtabula,21597399.73,21652808.41,36940.97,21634340.7,0,0,1350871.51,734243.82,23719456.03,434902.81,900019.63,25054378.47,24630612.55,0
043521,Athens City School District,Athens,7360002.38,11365530.82,2670485.81,10030488.19,0,0,1239583.42,0,11270071.61,240892.73,70527.6,11581491.94,11361098.35,0
043539,Barberton City,Summit,25978571.34,28436894.79,1638964.25,27617535.59,0,0,1154395.82,0,28771931.41,509432.3,542249.58,29823613.29,29789820.66,660676.8
043547,Bay Village City,Cuyahoga,3874975.1,2149685.24,-1150250.75,2724724.35,1150250.75,0,561482.68,0,4436457.78,163356.66,92767.28,4692581.72,4476497.84,0
043554,Beachwood City,Cuyahoga,116640.24,1452499.13,890617.12,1007257.36,0,0,805197.5,0,1812454.86,94952.41,196495.69,2103902.96,2533474.9,0
043562,Bedford City,Cuyahoga,5353006.8,12902408.73,5033186.26,10386193.06,0,0,633024.05,0,11019217.11,276672.5,572923.91,11868813.52,11710987.05,0
043570,Bellaire Local,Belmont,7799969.16,7078782.27,-480815.31,7319153.85,480815.31,0,755242.47,292182.5,8847394.13,186076.84,0,9033470.97,8517231.4,0
