irn,district,enrolled_adm,base_cost_enrolled_adm,aggregate_base_cost,base_cost_per_pupil,capacity_per_pupil,state_share_percentage,valuation_per_pupil,local_capacity_percentage,benchmark_ratio,dpia_econ_disadvantaged_adm,dpia_directly_certified_adm,dpia_weighted_adm,dpia_percentage,dpia_aid,trans_reported_sped_cost,trans_special_education,trans_total,funding_base,foundation_calculated,foundation_phase_in,foundation_funding,temp_transitional_aid_guarantee,transportation,formula_transition_supplement,base_funding_supplement,enrollment_growth_supplement,total_formula_funding,performance_supplement,preschool_special_education,special_education_transportation,total_state_support
000442,Manchester Local,688.0377,688.0377,6353791.57,9234.66,2340.99,0.7464999,151409.55,0.017401250475,1.46670942,677.3963,414.4601,611.6622,0.888995,636802.67,64423.8,48092.360257619999,777501.17307826085,3512229.3,10009346.48,5414047.74,8926277.04,0,777501.17,0,18577.02,0,9722355.24,31305.72,10647.91,48092.36,9812401.22
043489,Akron City,19079.5227,19203.98,157342842.66,8193.24,2775.93,0.6611925,169574.84,0.016132958325,1.46670942,19077.4128,13511.7941,17686.0082,0.926963,20019313.41,7822972.5,5172490.744706249796,7072452.900000000373,152615894.06,184570964.79,26628160.44,179244054.5,0,7072452.9,0,515147.11,0,186831654.51,992135.18,2031581.43,5172490.74,195027861.87
043497,Alliance City,2586.2058,2609.86,21320069.38,8169.05,2246.79,0.7249634,134684.56,0.01611437445,1.46670942,2583.3811,1686.6631,2359.2016,0.912225,2586208.64,325287.9,235821.821962860035,1428637.919999999925,22741195.26,26965818.89,3520378.87,26261574.13,0,1428637.92,0,69827.56,0,27760039.6,0,524234.91,235821.82,28520096.34
043505,Ashland City,2824.092,2899.45,23514594.98,8110.02,4918.17,0.3935687,260341.85,0.019718108775,1.46670942,1321.8365,1112.5088,1269.5046,0.449527,337940.62,230209.35,105504.945105000006,970648.605900000082,11497354.16,12080022.87,485537.84,11982892,0,970648.61,0,76250.48,0,13029791.09,146852.78,325656.13,105504.95,13607804.94
043513,Ashtabula Area City,2506.6577,2682.44,21706170.04,8091.95,3476.61,0.5703619,206644.17,0.016949335275,1.46670942,2479.4759,1778.3742,2304.2005,0.919232,2564868.43,1804565.7,1029255.521326830029,1311389.70067096781,21597399.73,20674842.74,-768766.74,20828632.99,768766.74,1311389.7,810666.6,67679.76,0,23787135.79,0,456967.76,1029255.52,25273359.07
043521,Athens City,2176.0552,2222.03,18006285.93,8103.53,5331.55,0.3420707,336299.63,0.017654428125,1.46670942,2156.7939,827.816,1824.5494,0.838467,1689748.79,209761.65,96133.764195000011,1413531.277011236176,7360002.38,9588222.81,1856776.08,9216778.46,0,1413531.28,0,58753.49,0,10689063.23,141443.59,248600.68,96133.76,11175241.26
043539,Barberton City,3038.4897,3196.57,26121692.36,8171.79,2717.23,0.6674855,154374.02,0.017335004625,1.46670942,2316.5516,1957.0401,2226.6738,0.732823,1575249.44,952116.9,635524.225054949988,1146356.199999999953,25978571.34,27728771,1458441.38,27437012.72,0,1146356.2,0,82039.22,0,28665408.14,0,537431.01,635524.23,29838363.37
043547,Bay Village City,2279.0247,2315.19,18785959.95,8114.22,9599.68,0.1,350302.9,0.025,1.46670942,208.1075,165.9944,197.5792,0.086695,1956.25,275906.4,126447.903120000003,648462.920000000042,3874975.1,2146486.71,-1440349.38,2434625.72,1440349.38,648462.92,0,61533.67,0,4584971.69,148136.61,177416.34,126447.9,5036972.55
043554,Beachwood City,1393.5078,1393.5078,11330062.97,8130.61,16317.71,0.1,675530.94,0.025,1.46670942,249.0466,258.062,251.3005,0.180337,10766.08,584413.2,267836.569560000033,930270.199999999953,116640.24,1448521.87,1109856.96,1226497.2,0,930270.2,0,37624.71,0,2194392.11,90578.01,103124.71,267836.57,2655931.41
043562,Bedford City,2706.859,2706.859,22083325.52,8158.28,5516.47,0.3238193,335867.38,0.018498790125,1.46670942,2660.244,1684.5723,2416.3261,0.892668,2536471.77,1703977.8,780933.025739999954,731503.900000000023,5353006.8,12373322.94,5850029.44,11203036.24,0,731503.9,0,73085.19,0,12007625.33,140756.67,295906.64,780933.03,13225221.66
043570,Bellaire Local,1127.3236,1127.3236,9339651.36,8284.8,4737.9,0.4281226,309562.31,0.0186236298,1.46670942,805.3841,675.7795,772.9829,0.68568,478748.49,0,0,809079.326699999976,7799969.16,6932659.31,-722729.3,7077239.86,722729.3,809079.33,238345.64,30437.74,0,8877831.87,43965.62,198550.56,0,9120348.05
043588,Bellefontaine City,2097.1796,2129.57,17287460.96,8117.82,3835.29,0.527547,183313.42,0.0205646571,1.46670942,1250.8199,987.5474,1185.0018,0.565045,498401.84,219168.6,115621.737424199993,777383.329999999958,12819829.74,14642389.18,1518738.78,14338568.52,0,777383.33,0,56623.85,0,15172575.7,0,405008.63,115621.74,15693206.06
