school_year,fiscal_year,basis,source,buildings,k12_floor,k12_ceiling,k12_censored,race_floor,race_ceiling,race_censored,out_of_state_floor,out_of_state_ceiling,out_of_state_censored,published_in_state,published_out_of_state,published_total
1977-78,1978,wide-grade-and-race,nonpublic-1977-1978,788,243489,266736,2583,260867,270209,1038,,,,,,
1978-79,1979,wide-grade-and-race,nonpublic-1977-1978,789,243530,265706,2464,259189,269332,1127,,,,,,
1979-80,1980,wide-grade-and-race,nonpublic-1979-1988,769,234239,257090,2539,250216,260296,1120,,,,,,
1980-81,1981,wide-grade-and-race,nonpublic-1979-1988,774,236301,259278,2553,252141,262230,1121,,,,,,
1981-82,1982,wide-grade-and-race,nonpublic-1979-1988,767,231865,255391,2614,248458,258817,1151,,,,,,
1982-83,1983,wide-grade-and-race,nonpublic-1979-1988,798,228747,254298,2839,246405,257367,1218,,,,,,
1983-84,1984,wide-grade-and-race,nonpublic-1979-1988,799,226358,256616,3362,241332,252573,1249,,,,,,
1984-85,1985,wide-grade-and-race,nonpublic-1979-1988,820,221924,254963,3671,238464,249948,1276,,,,,,
1985-86,1986,wide-grade-and-race,nonpublic-1979-1988,811,216542,250085,3727,232729,243997,1252,,,,,,
1986-87,1987,wide-grade-and-race,nonpublic-1979-1988,800,208446,242754,3812,225518,236894,1264,,,,,,
1987-88,1988,wide-grade-and-race,nonpublic-1979-1988,829,206271,243657,4154,224503,236185,1298,,,,,,
1988-89,1989,wide-grade-and-race,nonpublic-1979-1988,826,203502,240474,4108,221714,233144,1270,,,,,,
1989-90,1990,wide-grade-and-race,nonpublic-1989-1998,823,200521,237106,4065,218594,230285,1299,,,,,,
1990-91,1991,wide-grade-and-race,nonpublic-1989-1998,838,200409,238479,4230,219294,231435,1349,,,,,,
1991-92,1992,wide-grade-and-race,nonpublic-1989-1998,848,202980,240546,4174,221529,233580,1339,,,,,,
1992-93,1993,wide-grade-and-race,nonpublic-1989-1998,823,204376,241132,4084,220833,232749,1324,,,,,,
