program	fiscal_year	measure	value	denominator	precision	source	quote
cleveland	2005	average_award	2325	unstated	exact	hb66-greenbook	the average scholarship was $2,325
cleveland	2005	average_tutoring_grant	298	unstated	exact	hb66-greenbook	the average tutoring grant was $298
cleveland	2005	participation	5710	students	exact	hb66-greenbook	In FY 2005, 5,710 students received scholarships
cleveland	2005	tutoring	2982	students	exact	hb66-greenbook	2,982 students received tutoring grants
autism	2012	participation	360	students	exact	hb59-greenbook	In FY 2012, 360 students received scholarships
cleveland	2012	average_award	3273	unstated	estimated	hb59-greenbook	an estimated average scholarship of $3,273
cleveland	2012	participation	5128	students	about	hb59-greenbook	approximately 5,128 students participated in the program
traditional-edchoice	2012	participation	15219	scholarships	exact	hb59-greenbook	In FY 2012, 15,219 scholarships were awarded
autism	2014	participation	2623	students	exact	hb64-greenbook	In FY 2014, 2,623 students received scholarships
cleveland	2014	average_award	4552	unstated	estimated	hb64-greenbook	an estimated average scholarship of $4,552
cleveland	2014	participation	6337	students	exact	hb64-greenbook	In FY 2014, 6,337 students participated in the program
cleveland	2014	schools	35	unstated	exact	hb59-greenbook	For FY 2014, there are 35 chartered nonpublic schools
edchoice-expansion	2014	participation	992	kindergarten	exact	hb64-greenbook	992 kindergarten students were awarded income-based scholarships
jon-peterson	2014	participation	2103	students	exact	hb64-greenbook	In FY 2014, 2,103 students received scholarships
traditional-edchoice	2014	participation	16987	scholarships	exact	hb64-greenbook	In FY 2014, 16,987 scholarships were awarded
cleveland	2016	schools	39	unstated	exact	hb64-greenbook	For FY 2016, there are 39 chartered nonpublic schools
cleveland	2018	participation	8362	students	exact	hb166-greenbook	In FY 2018, 8,362 students participated in the program
cleveland	2018	schools	42	unstated	exact	hb49-greenbook	For FY 2018, there are 42 chartered nonpublic schools
edchoice-combined	2018	schools	480	unstated	over	hb49-greenbook	For FY 2018, there are over 480 chartered nonpublic schools
autism	2019	participation	3500	students	about	hb166-greenbook	about 3,500 students received scholarships
autism	2019	payments	87000000	unstated	about	hb166-greenbook	amounting to about $87.0 million
autism	2019	providers	297	unstated	exact	hb166-greenbook	In FY 2019, 297 providers were registered to participate
cleveland	2019	schools	42	unstated	exact	hb166-greenbook	For FY 2019, there were 42 chartered nonpublic schools
edchoice-expansion	2019	participation	10800	k5	over	hb166-greenbook	over 10,800 K-5 students receive income-based scholarships
jon-peterson	2019	participation	6000	students	about	hb166-greenbook	about 6,000 students received scholarships
