program,fiscal_year,measure,total,new,renewal,new_low_income,renewal_low_income
cleveland,1997,applications,6233,6233,0,3657,
cleveland,1997,used,1994,1994,0,,0
cleveland,1997,tutoring,124,,,,
cleveland,1998,applications,8805,6811,1994,5669,
cleveland,1998,used,2914,1289,1625,,
cleveland,1998,tutoring,913,,,,
cleveland,1999,applications,7343,4429,2914,2658,
cleveland,1999,used,3674,1318,2356,,
cleveland,1999,tutoring,1360,,,,
cleveland,2000,applications,7355,3681,3674,2671,
cleveland,2000,used,3404,587,2817,,
cleveland,2000,tutoring,2421,,,,
cleveland,2001,applications,5011,1607,3404,1118,
cleveland,2001,used,3797,989,2808,,
cleveland,2001,tutoring,1997,,,,
cleveland,2002,applications,5897,2100,3797,1503,
cleveland,2002,used,4523,1276,3247,,
cleveland,2002,tutoring,2313,,,,
cleveland,2003,applications,7243,2720,4523,1830,
cleveland,2003,used,5281,1165,4116,,
cleveland,2003,tutoring,2925,,,,
cleveland,2004,applications,8474,3193,5281,2027,
cleveland,2004,used,5887,1644,4243,,
cleveland,2004,tutoring,2736,,,,
cleveland,2005,applications,8600,2713,5887,1559,
cleveland,2005,used,5710,912,4798,,
cleveland,2005,tutoring,3014,,,,
cleveland,2006,applications,8686,2976,5710,1701,
cleveland,2006,used,5813,1119,4694,,
cleveland,2006,tutoring,2919,,,,
cleveland,2007,applications,8498,2685,5813,1569,
cleveland,2007,used,6116,1275,4841,,
cleveland,2007,tutoring,3047,,,,
cleveland,2008,applications,8764,2648,6116,1711,
cleveland,2008,used,6272,1264,5008,,
cleveland,2008,tutoring,2778,,,,
cleveland,2009,applications,8458,2186,6272,1351,
cleveland,2009,used,5562,648,4914,,
cleveland,2009,tutoring,3173,,,,
cleveland,2010,applications,7376,2351,5025,1142,3545
cleveland,2010,used,5525,941,4584,941,3303
cleveland,2011,applications,6629,1837,4792,1096,3209
cleveland,2011,used,5319,902,4417,902,3033
cleveland,2012,applications,6220,1612,4608,1035,3119
cleveland,2012,used,5078,848,4230,848,2942
cleveland,2013,applications,6602,2243,4359,1315,3091
cleveland,2013,used,5964,1913,4051,1122,2918
traditional-edchoice,2007,applications,3655,3655,0,1516,0
traditional-edchoice,2007,used,3071,3071,0,713,0
traditional-edchoice,2008,applications,8125,5550,2575,2334,462
traditional-edchoice,2008,used,7033,4655,2378,861,454
traditional-edchoice,2009,applications,10917,4717,6200,1874,951
traditional-edchoice,2009,used,9845,4087,5758,754,935
traditional-edchoice,2010,applications,13196,4375,8821,1020,1313
traditional-edchoice,2010,used,11886,3606,8280,893,1258
traditional-edchoice,2011,applications,14724,4078,10646,777,2181
traditional-edchoice,2011,used,13395,3428,9967,1649,2076
traditional-edchoice,2012,applications,17160,5155,12005,889,3441
traditional-edchoice,2012,used,15574,4341,11233,1999,3244
traditional-edchoice,2013,applications,17516,3855,13661,713,3340
traditional-edchoice,2013,used,16065,3262,12803,1310,3155
autism,2004,used,70,,,,
autism,2005,used,300,,,,
autism,2006,used,475,,,,
autism,2007,used,734,,,,
autism,2008,used,900,,,,
autism,2009,used,1449,,,,
autism,2010,used,1781,,,,
autism,2011,used,2121,,,,
autism,2012,used,2413,,,,
autism,2013,used,2622,,,,
jon-peterson,2013,applications,2129,2129,,,
jon-peterson,2013,used,1779,1779,,,
