fiscal_year,series,position,value
2023,maximum,1,8941
2023,maximum,2,11632
2023,maximum,3,17863
2023,maximum,4,21433
2023,maximum,5,26480
2023,maximum,6,30000
2023,share,1,0.7
2023,share,2,3.8
2023,share,3,7.9
2023,share,4,7.8
2023,share,5,2.6
2023,share,6,77.2
2023,spending,1,2847779.10
2023,spending,2,12489008.78
2023,spending,3,6064060.61
2023,spending,4,750180.88
2023,spending,5,2801012.05
2023,spending,6,56821092.28
2024,maximum,1,8941
2024,maximum,2,11632
2024,maximum,3,17863
2024,maximum,4,21433
2024,maximum,5,26480
2024,maximum,6,30000
2024,share,1,3.63
2024,share,2,7.51
2024,share,3,6.79
2024,share,4,0.71
2024,share,5,2.69
2024,share,6,78.67
2024,spending,1,2991497.19
2024,spending,2,13702663.43
2024,spending,3,6704739.83
2024,spending,4,892350.40
2024,spending,5,3308496.37
2024,spending,6,67763210.31
2025,maximum,1,9585
2025,maximum,2,12470
2025,maximum,3,19150
2025,maximum,4,22977
2025,maximum,5,28387
2025,maximum,6,32445
2025,share,1,7.33
2025,share,2,6.43
2025,share,3,3.54
2025,share,4,0.65
2025,share,5,2.49
2025,share,6,79.57
2025,spending,1,3192938.55
2025,spending,2,14691869.72
2025,spending,3,7015533.82
2025,spending,4,936465.75
2025,spending,5,3160794.90
2025,spending,6,74946785.41
