general_assembly,bill,fiscal_year,fund_group,fund,line_item,title,amount
122,hb215,1998,General Revenue Fund,GRF,200100,Personal Services,10744925
122,hb215,1999,General Revenue Fund,GRF,200100,Personal Services,0
122,hb215,1998,General Revenue Fund,GRF,200200,Maintenance,8691111
122,hb215,1999,General Revenue Fund,GRF,200200,Maintenance,0
122,hb215,1998,General Revenue Fund,GRF,200300,Equipment,117449
122,hb215,1999,General Revenue Fund,GRF,200300,Equipment,0
122,hb215,1998,General Revenue Fund,GRF,200405,Primary and Secondary Education Funding,0
122,hb215,1999,General Revenue Fund,GRF,200405,Primary and Secondary Education Funding,4470135592
122,hb215,1998,General Revenue Fund,GRF,200406,Head Start,83739058
122,hb215,1999,General Revenue Fund,GRF,200406,Head Start,0
122,hb215,1998,General Revenue Fund,GRF,200408,Public Preschool,17468094
122,hb215,1999,General Revenue Fund,GRF,200408,Public Preschool,0
122,hb215,1998,General Revenue Fund,GRF,200411,Family and Children First,8500500
122,hb215,1999,General Revenue Fund,GRF,200411,Family and Children First,0
122,hb215,1998,General Revenue Fund,GRF,200412,Driver Education Administration,143429
122,hb215,1999,General Revenue Fund,GRF,200412,Driver Education Administration,0
122,hb215,1998,General Revenue Fund,GRF,200415,Consumer Education,500000
122,hb215,1999,General Revenue Fund,GRF,200415,Consumer Education,0
122,hb215,1998,General Revenue Fund,GRF,200416,Vocational Education Match,2245026
122,hb215,1999,General Revenue Fund,GRF,200416,Vocational Education Match,0
122,hb215,1998,General Revenue Fund,GRF,200417,Professional Development,14370077
122,hb215,1999,General Revenue Fund,GRF,200417,Professional Development,0
122,hb215,1998,General Revenue Fund,GRF,200422,School Management Assistance,550596
122,hb215,1999,General Revenue Fund,GRF,200422,School Management Assistance,0
122,hb215,1998,General Revenue Fund,GRF,200423,Teacher Recruitment,1289067
122,hb215,1999,General Revenue Fund,GRF,200423,Teacher Recruitment,0
122,hb215,1998,General Revenue Fund,GRF,200424,Simulation System,449796
122,hb215,1999,General Revenue Fund,GRF,200424,Simulation System,0
122,hb215,1998,General Revenue Fund,GRF,200426,Ohio Educational Computer Network,21698858
122,hb215,1999,General Revenue Fund,GRF,200426,Ohio Educational Computer Network,0
122,hb215,1998,General Revenue Fund,GRF,200429,Local Professional Development Block Grants,9259713
122,hb215,1999,General Revenue Fund,GRF,200429,Local Professional Development Block Grants,0
122,hb215,1998,General Revenue Fund,GRF,200431,School Improvement Models,16450000
122,hb215,1999,General Revenue Fund,GRF,200431,School Improvement Models,0
122,hb215,1998,General Revenue Fund,GRF,200432,School Conflict Management,392575
122,hb215,1999,General Revenue Fund,GRF,200432,School Conflict Management,0
122,hb215,1998,General Revenue Fund,GRF,200437,Student Proficiency,10555476
122,hb215,1999,General Revenue Fund,GRF,200437,Student Proficiency,0
122,hb215,1998,General Revenue Fund,GRF,200441,American Sign Language,226245
122,hb215,1999,General Revenue Fund,GRF,200441,American Sign Language,0
122,hb215,1998,General Revenue Fund,GRF,200442,Child Care Licensing,1359171
122,hb215,1999,General Revenue Fund,GRF,200442,Child Care Licensing,0
122,hb215,1998,General Revenue Fund,GRF,200446,Education Management Information System,12060657
122,hb215,1999,General Revenue Fund,GRF,200446,Education Management Information System,0
